packet_order	summary_id	paper_id	summary_path	summary_sha256	source_path	source_sha256
1	S061	10.1007/s11136-025-04150-3	summaries/S061.md	19e062b813b6014b8d70f92eda57e18e430a7bc53053b0faa94666bca8ff31f3	corpus/365-RA/doi_10.1007_s11136-025-04150-3.md	84b48b2cb480dfcce2baff045168cea58615e2e013c0c9a5d31243c1c6e472be
2	S065	10.1136/bmjopen-2025-100897	summaries/S065.md	fa20613afcef0f358ca405b244a2701dcc7a5df5b7349f7312c744ea2ede224a	corpus/1850-RA/doi_10.1136_bmjopen-2025-100897.md	f83ed58dfff092519efdabb2f3834c61508af16a0b7b7a77e0ef08e51413eed1
3	S019	10.1016/j.jval.2024.05.016	summaries/S019.md	64089fe1c5c08a149fc85cf06cef6b534cf8f9ce1495abefb68979b20311db36	corpus/341-RA/doi_10.1016_j.jval.2024.05.016.md	3d23652cd843eb24d67f4d5f361b7741bf57a508ed3b0145bfcb364655876248
4	S098	10.1136/bmjopen-2020-048176	summaries/S098.md	b6d9dfdf8677cb8f246abe07423dd097a92ebf647e81cc5e94fe322ba5bc9ce1	corpus/2016480/doi_10.1136_bmjopen-2020-048176.md	b89de0d7ad8c1f7cb18997088bba2c234c2d02c91fc6d68e0da63a4b50b6d0ff
5	S072	10.1007/s11136-020-02688-y	summaries/S072.md	00243fb07dd8da94fcfe057d495161930a684117b42d21217e58b604167ad720	corpus/2016170/doi_10.1007_s11136-020-02688-y.md	5d7c04ab1bf4b1d87968b8d8cc575c55820c8c1ea3019acf189a876b1f32bb96
6	S058	10.1007/s10198-021-01306-z	summaries/S058.md	65c73b4279900d9f746007e516eaed4123c0beaf76d6d6554aa47e652cdbf97c	corpus/2016710/doi_10.1007_s10198-021-01306-z.md	3fd5eca21b9429c79f5c0947e286ee07919dea027a79fd7f4a03fd45cd902b0b
7	S004	10.1016/j.jval.2025.01.003	summaries/S004.md	87695bcc8b50df4ea0fa171636b70080f2f5a270643801a6076e456ffaf77be8	corpus/1465-VS/doi_10.1016_j.jval.2025.01.003.md	07a0075a4ee33d29a3bfdc40aa6889f0bc254adfc081b8a886489db500b8fcf3
8	S023	10.1007/s40258-021-00639-3	summaries/S023.md	4008222b93f49f632e67a2c95a2c0588e8088b560ffbb577ba065dd4c13f7f6f	corpus/20170401/doi_10.1007_s40258-021-00639-3.md	f819b66a1c448d8dbf462e19758f9dff61963137d65bba82baacc1a9905aeb57
9	S017	10.1007/s10198-018-0993-z	summaries/S017.md	d9aea75744d9f50fb0a6414866a96e04b3c1bc3cb69447665a6ff7da633a1ffa	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741
10	S049	10.3389/fpubh.2021.744405	summaries/S049.md	64c1b57f9dbbfb0124008586016342abf2e98b14e6c038687f362e05e8b908f5	corpus/20180630/doi_10.3389_fpubh.2021.744405.md	258a976ef51d38c150d4eefacb68da9c595ee44aeaf7e6c510ea7c7bb767b414
11	S074	10.1186/s12955-024-02305-3	summaries/S074.md	b8d3c15d7d7c80db5e33dd09b4e365b5fc7802374008768a3e78f92ad98b2fff	corpus/343-RA/doi_10.1186_s12955-024-02305-3.md	757e1baa4498c9417d49250c5778c3779767e29089b5a2c1f1d4a0b177bb0748
12	S066	10.1007/s11136-025-03917-y	summaries/S066.md	0ae90cfc91016283f2bb8045a64d10b88bb8919fea2a08699f21c50d55dae5e2	corpus/401-RA/doi_10.1007_s11136-025-03917-y.md	eeabd3663904bad836797acd1c6fc8c8a5c04853c21884595173876738829651
13	S054	10.1007/s11136-021-02922-1	summaries/S054.md	9b0bc801671e3aead2774c4c9d97281752990606c3f62660717e2d5f882b5ea4	corpus/20170130/doi_10.1007_s11136-021-02922-1.md	8fa7e4ee78bbb8bd6bf393a22c7728963cb473780518d3d64ebd4ec65dd7fe76
14	S013	10.1007/s40273-019-00876-4	summaries/S013.md	97bbe370b5431888e4c960d36addfcabe2cba58e1112fb9aaa0c9ffcfbd73558	corpus/20170510/doi_10.1007_s40273-019-00876-4.md	8bd8f189f9c3e73dae9d85dda89b1ce5bdb9175a9a8d009d3abe13f5643fbcfc
15	S033	10.1007/s40271-025-00749-3	summaries/S033.md	a0d513c0cf75aa4c51d2e684be690af97462dd9b407e3ef77bea821dc1ce2aeb	corpus/1559-RA/doi_10.1007_s40271-025-00749-3.md	9b7d8c90c5ec3545b24746ae62fa16778a3e6e71881d4d2579a9100f9586e981
16	S070	10.1186/s12955-024-02323-1	summaries/S070.md	aa5ea557b165e7f79c0bb3f207e3c567bbdd255fb8d8c214f5bdc5965d12fa94	corpus/341-RA/doi_10.1186_s12955-024-02323-1.md	0799a7ca241ea73db2689a91cd923cc608fd84703978215f058bca66c700cf9a
17	S046	10.1002/hsr2.70308	summaries/S046.md	e026325834ba29caa03845b423bc6ad28831dff0ee1f67b4436b55f82d6540ad	corpus/20190690/doi_10.1002_hsr2.70308.md	343051bd13c04d48c1fad267f6e6fe42b1b3d09fb2b7ba32a4ad0bfb36f4cf79
18	S039	10.1007/s11136-024-03618-y	summaries/S039.md	9ba638c41953ef5886d76d757faa43e436a1e6bc6d9d9aa9799808683f66aa64	corpus/342-RA/doi_10.1007_s11136-024-03618-y.md	d6179a7caa21fee0c9f0805d48adbbcae6b63fb84f3fc2894fa9ed1d66f5de18
19	S027	10.1186/s12955-023-02144-8	summaries/S027.md	fe34257c1fae4e1b1c534e9c2b125382cf1419e90215f8c4dcfbb3210c206827	corpus/20180030R1/doi_10.1186_s12955-023-02144-8.md	4751d9ab38892ef830f5ae1ab94182ed96f643ae720b545fb4b4f1f1cdfd7832
20	S093	10.1007/s11136-025-04053-3	summaries/S093.md	9ea2418c2e80a44308d6a0451f8d66d008c010f64bd719446b855554cc0c2dea	corpus/464-RA/doi_10.1007_s11136-025-04053-3.md	3fa162d26ae19af9e943bd2a95c295b5e88cb9e245bac2cc14f9cab2cdd7e653
21	S097	10.1371/journal.pone.0290606	summaries/S097.md	ae8766980d4931f5014ae5c2029497af00b84ce2172da691d9bed6aa96420df3	corpus/2015200/doi_10.1371_journal.pone.0290606.md	8f3b3dda23875e9d2ec60f0423b8f9d5775938eca2c192e31dac8e6aaa3e6824
22	S064	10.1007/s11136-019-02115-x	summaries/S064.md	208497384ff2dab13c2ddceab5ce5dbf9757227be879e221c65d1830612c5eda	corpus/2014160/doi_10.1007_s11136-019-02115-x.md	04548203cbc5d71bba6264c57524d711ef2883c370edc52006135a39e0eab645
23	S037	10.1007/s40273-021-01109-3	summaries/S037.md	c87c5c6afd558ad304bfdeb6dae73455e17956be1cde8e7b8d5cf72de52ab920	corpus/20190220/doi_10.1007_s40273-021-01109-3.md	cf31a37b75f604d90ea7bd64f93d855ddb880c59808428bcdbe9bafde22baa16
24	S050	10.1007/s11136-026-04285-x	summaries/S050.md	8256052d914da3f512dc81a3bf49fb31d459f3038a8e6f0ed4547ed85c3c0ad3	corpus/460-RA/doi_10.1007_s11136-026-04285-x.md	d62ced1967083428bb2c81d5a06b79c932bc7ad0e62f8d7f596dd038ff9ef1fc
25	S069	10.1186/s41687-025-00928-8	summaries/S069.md	cb60fac273ab808f24500c021999f9bcc6554b09e6396a8c88e032d2cb447778	corpus/436-RA/doi_10.1186_s41687-025-00928-8.md	544b05d801a8cf385f60d4784e189a2bd1bb54e8148c9072199907de1e38775c
26	S002	10.1007/s40273-016-0404-1	summaries/S002.md	973123bebfaf0a0f7becb09dbaf4b40fb52401bafde1530e0400a44d58d62293	corpus/2015410/doi_10.1007_s40273-016-0404-1.md	467cb82e557941064c134149dbaf410ed7cffd108084fcd2507a051db5c532c9
27	S092	10.1007/s11136-026-04242-8	summaries/S092.md	a42259a80ee8a1d0290333f17b8bfc85bc181a4848f57bfff8d4cab9e88776ea	corpus/464-RA/doi_10.1007_s11136-026-04242-8.md	a95441ee959867de73c67af105bd93c343dc4453809d7455737e8f433770316a
28	S031	10.1371/journal.pone.0319227	summaries/S031.md	32f60b586c5d506a0a64d6888fbc2fee85932126728f6fad86f8421437d92d3d	corpus/348-PHD/doi_10.1371_journal.pone.0319227.md	87a2c313ac7b1cdde3152331e303e0015897a8f79614135163db1d1f16701e70
29	S011	10.1007/s40273-018-0694-6	summaries/S011.md	376a1c21b70afe884a92aac4af36f2493a4c24bb5a8fff50166591d08689f3b5	corpus/2015300/doi_10.1007_s40273-018-0694-6.md	8faf1d25d9d2ce761d7ee8a04c18a3ef15fb82c2e9d1dc14d4f3613d98191762
30	S007	10.1007/s40273-022-01210-1	summaries/S007.md	7d774bf04d670e3906159539940561a8ed19ee818fe4b6ef9a61e8fcb9ba59ab	corpus/20180490/doi_10.1007_s40273-022-01210-1.md	2d9a0b8e02c0f5c456e661027b22c536aed26c1a76529ec00e1001cb8fd003f2
31	S089	10.1007/s11136-025-04074-y	summaries/S089.md	0d91ae16d72450e4f39a99f0640df8b205766d86841a84cc7ad8d150f66f436e	corpus/367-RA/doi_10.1007_s11136-025-04074-y.md	228dc3ca0c53db29e5f6de64f2702c80bcdf1e110f3a67319d213c77b3859e02
32	S032	10.1007/s40273-025-01493-0	summaries/S032.md	ed107aa9d748a8c3cd4c1e44d897c52c638e4d1dfc803d60961d57ea22a53eed	corpus/348-PHD/doi_10.1007_s40273-025-01493-0.md	5b830978c69c11c5a256b6b3e293431ef260509a9877c79d634e97896f725209
33	S060	10.1007/s10198-025-01804-4	summaries/S060.md	05f8da9ce228bb045bd71dd6a10239cb5d2c182670ca0de73920b84d33e38c19	corpus/361-RA/doi_10.1007_s10198-025-01804-4.md	be0916097ef976b47526e6d5f9f4d6cfbd00e87452fabd3b0a581e02da37db6a
34	S079	10.1007/s11136-025-04077-9	summaries/S079.md	9feeba302eccba9b73a12c50df6131c0e6ad1a9c8575dc78a41a7b5d090fd365	corpus/337-RA/doi_10.1007_s11136-025-04077-9.md	c9d991ea736c679c545b095bb80a894864796b8403649cedc05be2522930889f
35	S021	10.1007/s11136-020-02712-1	summaries/S021.md	7f9d824aea6055e054263baf071f6d8270d63d2c59bae75c926c92672dd14adc	corpus/2016470/doi_10.1007_s11136-020-02712-1.md	4f1a49da1d95d6c19834368504c32de36b541e51310ed101e8616eaf45d850c7
36	S077	10.1186/s12955-021-01719-7	summaries/S077.md	8ef83f6cc2e35182f95294cad82c617c1f0140019fb24a615cb0ea2b1e3e1a10	corpus/2015200/doi_10.1186_s12955-021-01719-7.md	4c6b2739bc907147316f2fe0db47f10f23607ce62818c8a55f6d2eb25e0d3be8
37	S042	10.1007/s40271-025-00787-x	summaries/S042.md	512192ac7f5b7cd3c476fa5d9a4dfd0a37c9608782c8b90bbbb31357d111f2ac	corpus/150-RA/doi_10.1007_s40271-025-00787-x.md	e7965b5dc59a53e55c9373ecc2a8034e0713aaa36b63d68d2a22598e838f5219
38	S071	10.1007/s40273-018-0642-5	summaries/S071.md	9cc99740937c5c9117d88ee2783c214a9ac8ea281f4f2cb98641859c838829a6	corpus/2016170/doi_10.1007_s40273-018-0642-5.md	2db101c7ed9e576690145c64ba93fbb06f684053fb8ed9af2058f27508d0b6fa
39	S075	10.1186/s13561-022-00374-y	summaries/S075.md	ec44000643f9e1b7dbfb6ed7b01041454337717944a6c48e4a5ee58b5661db47	corpus/2015200/doi_10.1186_s13561-022-00374-y.md	1c7fb39d9cffe89541b94fa518ae8afd94f822b4b2d8792b199dd741b9cc4580
40	S073	10.1186/s12955-022-02031-8	summaries/S073.md	e22a331a0bb5d8202b25eb3bb4b06eb3f631f78a4a13871bd2c477a128e83e1a	corpus/20190360/doi_10.1186_s12955-022-02031-8.md	a9ce9d98d6772f8ca2c8259be4b7241093c38ab84eef10fb7e0b5ec909864ba8
41	S068	10.1007/s40273-022-01172-4	summaries/S068.md	fa535a16a16e669f9a032d79964b0a2ce7e07f280fa20167dd2a8d07ad2bcf07	corpus/20170600/doi_10.1007_s40273-022-01172-4.md	c9264d51f9a9d96f1625217f05572b96dee60905081203f8f5e7cc21248f6c7f
42	S085	10.1186/s12955-022-01996-w	summaries/S085.md	7cd390f6f6af4cb6a32921525f5ca6f9b938087fdf963ea6812b2031f0f2a27c	corpus/20180140/doi_10.1186_s12955-022-01996-w.md	c9dffe6ec38add6ccc58bd6db7acdfa367a47db3c9b57783046d620661f520fb
