selection_order	paper_id	project_id	article_path	assignment	source_sha256	bytes	summary_path	broad_reason
1	10.1186/s12955-022-02083-w	20180770	corpus/20180770/doi_10.1186_s12955-022-02083-w.md	A	433c19b4233623ebee107171a139f4a803ed9ad41f54ad87c609cb809daf46ee	60251	summaries/S001.md	National EQ-5D-5L social value set; cTTO and DCE; hybrid models; population sample
2	10.1007/s40273-016-0404-1	2015410	corpus/2015410/doi_10.1007_s40273-016-0404-1.md	B	467cb82e557941064c134149dbaf410ed7cffd108084fcd2507a051db5c532c9	56286	summaries/S002.md	TTO protocol comparison; task design; iteration; interviewer and data quality controls
3	10.1007/s40273-019-00811-7	2015240	corpus/2015240/doi_10.1007_s40273-019-00811-7.md	A	b713bf6250a5ec2757ca41dd56367116db3502403d833dd13b183b8fb0a1a98d	78010	summaries/S003.md	Polish EQ-5D-5L value set; EQ-VT; face-to-face cTTO and DCE; Bayesian and hybrid selection
4	10.1016/j.jval.2025.01.003	1465-VS	corpus/1465-VS/doi_10.1016_j.jval.2025.01.003.md	shared	07a0075a4ee33d29a3bfdc40aa6889f0bc254adfc081b8a886489db500b8fcf3	55884	summaries/S004.md	UAE EQ-5D-5L value set; national valuation; cTTO and DCE; model and sample fields
5	10.1371/journal.pone.0209344	2016440	corpus/2016440/doi_10.1371_journal.pone.0209344.md	A	e3c6d471fd5c00c37cf3bf480e0f7c0d902962d069a59b2e573d3a43a6f9465b	62503	summaries/S005.md	Taiwan EQ-5D-5L value set; valuation protocol; population; cTTO and DCE findings
6	10.1186/s12955-022-01989-9	2016220	corpus/2016220/doi_10.1186_s12955-022-01989-9.md	A	209283abeeae1c8a093dc950bb4818a5d88633d08160d2d163675feedf806a04	130037	summaries/S006.md	Dutch EQ-5D-5L valuation; heteroskedasticity and preference heterogeneity; model comparison
7	10.1007/s40273-022-01210-1	20180490	corpus/20180490/doi_10.1007_s40273-022-01210-1.md	shared	2d9a0b8e02c0f5c456e661027b22c536aed26c1a76529ec00e1001cb8fd003f2	61466	summaries/S007.md	EQ-5D-Y-3L value set; Indonesia; DCE mapped to TTO; mapping and child instrument
8	10.1007/s11136-025-03930-1	1411-VS	corpus/1411-VS/doi_10.1007_s11136-025-03930-1.md	B	06cd47ce7b8c4e8d26327e3407a25539e756606d602863d3d907f73fd8c71dc7	73318	summaries/S008.md	Morocco EQ-5D-5L value set; national valuation; cTTO and DCE; hybrid model product
9	10.1186/s12955-017-0617-9	2014030	corpus/2014030/doi_10.1186_s12955-017-0617-9.md	C	025bf4d94deafd76836a36f85386dd1ed8eee4b927f54724add93d07d78eeb88	64738	summaries/S009.md	German EQ-5D-5L exploratory valuation; composite TTO; early protocol and model variation
10	10.1007/s10198-023-01612-8	237-RA	corpus/237-RA/doi_10.1007_s10198-023-01612-8.md	C	06d4f20b17ef523a1b289e2113a5f8f395a30a6eed56a88a55f6d51442f47185	80820	summaries/S010.md	Adult versus child TTO values; duration and time preference; perspective and valuation effects
