record_id	doi	article_path	article_sha256	article_bytes	xml_path	xml_sha256	candidate_project_ids	reference_path	xml_bytes	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes	reference_sha256
H01	10.1007/s40273-018-0615-8	corpus/2012020/doi_10.1007_s40273-018-0615-8.md	ce4008f8960d9f27e76693f2f31fd1b2b043c3b86ccef599e799a745c444849f	48419	input/projects/2012020/papers/doi_10.1007_s40273-018-0615-8.xml	a4d85be57bdad3a0ea02b266175df164eb45cee73db85f8631839be04e84969c	2012020	pilot/ontology-development-v3/validation/records/H01.md	83414	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H01.json	733ac87850a696854b07a577b7cb38b36c8de46b1029d10bbb306ec7d51bf6a3	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H01.md	890e972c10631e070198981e35ddbcf13e8d8750a1256c0de7ee1c6acda899b3	64661	04867aa1aecb0ab5f8821878270dc085ffa7d8cac192031d45a2fa2ff3fba43b
H02	10.1007/s40271-025-00735-9	corpus/2016260/doi_10.1007_s40271-025-00735-9.md	de80a5d62b8403bae87fb1884f304bbf58adb21e38e37f84f3f2ec339559ca42	112933	input/projects/2016260/papers/doi_10.1007_s40271-025-00735-9.xml	627e3aa895a17583b844b0fcab39ad9b7d4d37a905f5d1e020708e78569c1b65	2016260	pilot/ontology-development-v3/validation/records/H02.md	178252	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H02.json	1a31eb095ea5711307453b82a6913fd8d4222226df15cecb556429bdce43d167	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H02.md	e7a6557c894fb16b8d4e176f8c2a76ca61bcc447169d586c2503bf97aab417b7	133212	b30452e621b3e1efa87d6b3debf90fc36869dc407daf17406b578852a96e2673
H03	10.1007/s10198-025-01769-4	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	5aeb8d6b2307857d7cfd092368a992685d86ab149249d8db3b4d03dc4468c324	78866	input/projects/1508-RA/papers/doi_10.1007_s10198-025-01769-4.xml	425cbde1851b620a1a1ef8d597d4ae33c1e1672d14c08674b4e9609a48617dd2	1508-RA	pilot/ontology-development-v3/validation/records/H03.md	142977	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H03.json	d582de0112755cb4f60edc6d8755a1e4a2345cde8cc72613a51c8b6c8bef5029	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H03.md	35e50518bb2532f2c1d502a7a4a515d39630615f41e8b4a0a537fdd6d22791fd	97564	1267bde8254e289df5e4cd694e907a521de6dc469cf59aed71049a6a79c354a2
H04	10.1007/s11136-026-04223-x	corpus/429-RA/doi_10.1007_s11136-026-04223-x.md	5266d9a9ea95e329ff9e5e1e46f124ffe129051b75fd16ce030459f108d798fe	49434	input/projects/429-RA/papers/doi_10.1007_s11136-026-04223-x.xml	65ae57046de369fa94d69b7ba772e367a6e666ecf03b434067c7afe07f579194	429-RA	pilot/ontology-development-v3/validation/records/H04.md	81976	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H04.json	cb1c5cd172451b514192d3d452d8ac204c03eb39b47e4669d9cf78808a8342bb	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H04.md	54639ca758469cc520ea72e51a96a66b6d65b15b128eb38f30cdc262d7f145aa	72477	24b7ab371a5e658f731a936915447d085049efa815ae364f40ee80c162eff310
H05	10.1007/s40271-024-00715-5	corpus/150-RA/doi_10.1007_s40271-024-00715-5.md	19259d3a21512fdd2c1e447fe6e44febcbd2388f57eabe3431d298282c222d05	62053	input/projects/150-RA/papers/doi_10.1007_s40271-024-00715-5.xml	3229a5eede9e1230b0b20cb28fa6587ba5269688e0ec8ad7f27417badf07061b	150-RA	pilot/ontology-development-v3/validation/records/H05.md	95270	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H05.json	2088bd3f00ea46025fe9208f8ba95b563a0c82e64beaf246fa616d6dde105507	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H05.md	503e20ddc95fde988ffc63fd110c70aca0162501d45a6a7e85136f4d1c566794	82493	4676a8c38d43abb3fdba6080cf8319e15f952d7227dbbb76595d76609dbd763d
H06	10.1007/s11136-018-1985-2	corpus/2015400/doi_10.1007_s11136-018-1985-2.md	363625c754d379c479f786321eb244e48678aacfa36d92fe001dd38ac3247539	71162	input/projects/2015400/papers/doi_10.1007_s11136-018-1985-2.xml	19dbf59e5b15b068173889c41d6bbdab5b34ab08b194adbff790c1964731ebb5	2015400	pilot/ontology-development-v3/validation/records/H06.md	147707	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H06.json	fcc0855626f84e615deaae95e11aa6733908521d0ad3709a79aa081849446e32	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H06.md	9b9ce7412f4eff62cde3f5999c8b9cf7f032a7a74de4cf3e5290d8697c2aa9d8	89237	322f3508e53848c3c744661de6b5bc1263c318e9a0b8d3977884ab441f47ee49
H07	10.1007/s40273-019-00854-w	corpus/2016230/doi_10.1007_s40273-019-00854-w.md	68f45ea10e7e3e77cad9ebad14637b5c1f2f2109e34b67f380cce6c050127b6c	113530	input/projects/2016230/papers/doi_10.1007_s40273-019-00854-w.xml	a2f7a83ddbccff96e0bf913327025b2e1f1a9f01caa399629d767fbd414eee98	2016230	pilot/ontology-development-v3/validation/records/H07.md	208051	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H07.json	c78fa9d782e66c4a204d1693f407a217b5bb075eafab2939bd496210075cdd58	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H07.md	837fc2fc262270e270a08910437d818497ca87ab68aff9bcc44a0841cfe689bf	130980	4f165c018005a26d4602dc6b62ce835fd60fc3f6c78d827ac775271e6e96afc2
H08	10.1186/s41687-023-00560-4	corpus/20190200/doi_10.1186_s41687-023-00560-4.md	2b0b92df4d11b6cf42011484f45492f87ed69e4b0c6e74f8fd40ebe4fd6dd74b	116878	input/projects/20190200/papers/doi_10.1186_s41687-023-00560-4.xml	ebefe1f5e2a7334d236022e14d9f2d872ba6ab0090c525e006ef33986dd6910f	20190200	pilot/ontology-development-v3/validation/records/H08.md	189500	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H08.json	77a4d37d96866bf713dba46e82368a22012fc3b31ba963168adfe5be50c8f923	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H08.md	b0190b5e55504d9b531b6acc347796a77305e01550fdbf14a61df0b88e146b82	136276	215ea56045a0463ac2485661854fb3de730f29b6a3299cb4ad994894dda0f6c3
H09	10.1038/s41433-023-02860-x	corpus/341-RA/doi_10.1038_s41433-023-02860-x.md	6a27dd1b66faeb7e4095b044a2f9b8df67dc165bf02ff8811dbcc59b536643d6	71413	input/projects/341-RA/papers/doi_10.1038_s41433-023-02860-x.xml	f0cfc7babf470ce52123902331f18766b073f6fb9ef5bf99ff37355be5b08b53	341-RA;357-RA	pilot/ontology-development-v3/validation/records/H09.md	117778	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H09.json	c03c5609ccd4dd562acb50c85a9417076ba67997783037e3fa77cd04c81cc419	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H09.md	52257db1932b35d7f8d8c907259769029673ea0977e0d5fdc3d9671febd63265	96250	ac6aff35d2455a7bc659ea543357f5dff09041d2fce41e1f0b2e00070879b712
H10	10.1186/s12891-024-07304-5	corpus/445-RA/doi_10.1186_s12891-024-07304-5.md	866438ce4bdc844c0cc7a3929828e48acfe2aab09c5d6b7461a5fec9219f4997	57114	input/projects/445-RA/papers/doi_10.1186_s12891-024-07304-5.xml	920a122e8165a0c90167182b4c75534aa72af47dd9064bd7d6b133633bb6dc02	445-RA	pilot/ontology-development-v3/validation/records/H10.md	87207	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/H10.json	d4fc3cba9ba65de83fee52857a7b1301872c5a89f8b7dea7811640b82eba95bb	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/H10.md	b44fc79934c7ca26db64ee6af705f6eb358a36cb74a24bd5fb5f735ad305abbb	75484	cb2afb02e2f8a0031126ef7563eff9c43ee6e85a06e9ad6e358b4b22dd7cba8a
B01	10.1213/ANE.0000000000007107	corpus/1483-TVG/doi_10.1213_ane.0000000000007107.md	46894a0a2caf783ddeed15e6c822abcc1444a18dc7b1ad824a631c826f233f5a	93921	input/projects/1483-TVG/papers/doi_10.1213_ane.0000000000007107.xml	29b8e49882800ec858ac6d8027cb8d474b27e857dd132b9b4b10f05886bab8a0	1483-TVG	pilot/ontology-development-v3/broader/records/B01.md	141944	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B01.json	1ba30f6e219a15c30637b0466320a0e47e976f9f57ccc29053a46947a882c2f9	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B01.md	6a1d7d61652b756dacca66178da03408d9e6e18e932eaea1d8af081b262d802e	114900	b809e8e80ff960eac013f7d8e0534c66ae93b852e722b22c500872ccd416db27
