record_id	doi	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	candidate_project_ids	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes
P001	10.1002/ppul.71031	corpus/20170330/doi_10.1002_ppul.71031.md	04112260f0204a00ba5e708792e20e92983ed59872c66ba9604b9c6353f760c8	97991	input/projects/20170330/papers/doi_10.1002_ppul.71031.xml	7e71f2901184c8fe4ecb8cc87aa8e373f94228d74ac7085fda2e6340c4e51ee0	161340	20170330	pilot/ontology-development-v3/production-calibration/production-50/metadata/P001.json	aab9dbec2f0295a467b07f88d76699420bee09d46362895a36bdcdca2dfd320c	pilot/ontology-development-v3/production-calibration/production-50/inputs/P001.md	663447abfc8a87cd8492ee1542015c2d50e1fe1786e144ba018b829265db2727	115701
P002	10.1007/s10198-021-01377-y	corpus/20190890/doi_10.1007_s10198-021-01377-y.md	57250a97f739fa5d4c81b213313ae376cc98f670ef1f80444769917babf91e0d	63193	input/projects/20190890/papers/doi_10.1007_s10198-021-01377-y.xml	c9e1d25c65f4fa23177a2b31f974a8c1b6b0aad7a9699d623d17d5df586e1f12	117685	20190890	pilot/ontology-development-v3/production-calibration/production-50/metadata/P002.json	2643b2bd4a4803f745a1796079fe452cf396dc3a52e7255efc2d75119500b441	pilot/ontology-development-v3/production-calibration/production-50/inputs/P002.md	9efd0b2658cf9ac6920a20b46ae2b528f27a4d5d45ab9da5f6880b196dea435b	80262
P003	10.1007/s10198-023-01569-8	corpus/289-RA/doi_10.1007_s10198-023-01569-8.md	24228d6512e596b6305ca3270a003707a2c2a527854d1b441c26720f84ccce03	264026	input/projects/289-RA/papers/doi_10.1007_s10198-023-01569-8.xml	910d85f3960ff21c9a98913e94d2d952f6080dbb12a2b86628061ec9135df07c	424416	289-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P003.json	1917e668a6181d97ce35a73d6fb4045a3aa1abb668e39102803ae3625cac2a92	pilot/ontology-development-v3/production-calibration/production-50/inputs/P003.md	461250ab02fc3e52009bfe91a0d72cef06d54d79a12a8b3525bf654790b16dd9	280364
P004	10.1007/s10198-023-01612-8	corpus/237-RA/doi_10.1007_s10198-023-01612-8.md	06d4f20b17ef523a1b289e2113a5f8f395a30a6eed56a88a55f6d51442f47185	80820	input/projects/237-RA/papers/doi_10.1007_s10198-023-01612-8.xml	ce0f554e8bc7a7711ceee5310c780d9b4ab2bab912610dc2662bb4a47039bb14	156262	237-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P004.json	367abd0341b452b2846ced27648fa364bd36197794ea202e5115bc490dd3f875	pilot/ontology-development-v3/production-calibration/production-50/inputs/P004.md	32ecb56b093f4160729743f5910dfefcc6976df073553ddd47f90ee2304d7f8d	98016
P005	10.1007/s10198-024-01710-1	corpus/1654-TVG/doi_10.1007_s10198-024-01710-1.md	77dcbb5088ba73693c16ca81f7cf2df09cde7d1252d684a13f84b10c8ac5fc5d	114399	input/projects/1654-TVG/papers/doi_10.1007_s10198-024-01710-1.xml	fbfa00b6b8d3552027a8ff1492f54f9087f80b767856f57817b64c7a6747a73b	185003	1654-TVG	pilot/ontology-development-v3/production-calibration/production-50/metadata/P005.json	49243c638d3ab2b9ffeaece5aa689e6545c3d8db6cf7c4871e3065b982339365	pilot/ontology-development-v3/production-calibration/production-50/inputs/P005.md	857bbcc173783a87cc7fd07f87b8e0c609a03128f17033bae9982ef246fd0a95	135816
P006	10.1007/s10198-024-01719-6	corpus/238-RA/doi_10.1007_s10198-024-01719-6.md	7ca37497aa5ba3a9bab94fe0156583e85bd35a99d4934ff5af8381837dda5394	101030	input/projects/238-RA/papers/doi_10.1007_s10198-024-01719-6.xml	a328b636b560990e08c18a4c89ca1185ed4899191f7de4117b7c6bd9e56844d5	172618	238-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P006.json	f1fc4d86af5ebb329f561767d47b207daea7beb4c0414dbe5da0ab4df467e097	pilot/ontology-development-v3/production-calibration/production-50/inputs/P006.md	9a80467c1f8e53835cfbb5c793986100af042b69c7dabf1f09749439738a07c4	118458
P007	10.1007/s10198-025-01804-4	corpus/361-RA/doi_10.1007_s10198-025-01804-4.md	be0916097ef976b47526e6d5f9f4d6cfbd00e87452fabd3b0a581e02da37db6a	99398	input/projects/361-RA/papers/doi_10.1007_s10198-025-01804-4.xml	8060ea67581f07ff90a74057d81c47172391b6d96756d03f377f93506367fac1	160750	361-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P007.json	ec2d799e8c0ac01e700e6c2d8640a1ef94122974ca815e6eb3e9f4e916551a02	pilot/ontology-development-v3/production-calibration/production-50/inputs/P007.md	c874179be879a5ceb9f15f62335b041350e1de7f9868ce50934f7700d5b214c5	117048
P008	10.1007/s10198-025-01812-4	corpus/435-RA/doi_10.1007_s10198-025-01812-4.md	52340c45b044888faadc128e4de57aa592df90c1866b0c551f09bf9b32192fe4	152625	input/projects/435-RA/papers/doi_10.1007_s10198-025-01812-4.xml	cbe1b66764375104a037f96c6a7f65913245e334ee4870eadd83a24d1ccb0d23	331408	435-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P008.json	7e303ad607da5c167df3db4c0a807ae75bc398d75f7fe210b66e2cf9fe12cc61	pilot/ontology-development-v3/production-calibration/production-50/inputs/P008.md	8a888aa1ad2dac17a1511abf9e93305cd8bfb374b142402abe6dd98fd2f0e5d0	170826
P009	10.1007/s10198-025-01823-1	corpus/1462-PHD/doi_10.1007_s10198-025-01823-1.md	949690fcd6808e4d6dd65cd7417fd63e83f446e6ede0a3fce9fdfadf605ffe91	48411	input/projects/1462-PHD/papers/doi_10.1007_s10198-025-01823-1.xml	656eac5a600d3e37a992378ab104f8fb15a1de950ada17b0daa03ebbbdc3047f	88860	1462-PHD	pilot/ontology-development-v3/production-calibration/production-50/metadata/P009.json	47d628e372ec6dff222968be6eb71bbe097220dc64a87f2e731443c384a0b76b	pilot/ontology-development-v3/production-calibration/production-50/inputs/P009.md	c7cf3ede67a8ab0f4194cdc998846d1a95d7fa7025083ad190637fc58a8655e5	65710
P010	10.1007/s10198-025-01857-5	corpus/2003-RA/doi_10.1007_s10198-025-01857-5.md	b53e9b61e4713e6b1daf9bd625975ad834cc7f2abe0b2c94972735a7541c073b	58123	input/projects/2003-RA/papers/doi_10.1007_s10198-025-01857-5.xml	96f2d67bf07bfe743e95bb6a3f729349281c851fad33d82b8700a54488019652	92342	2003-RA	pilot/ontology-development-v3/production-calibration/production-50/metadata/P010.json	032b57227013cfdbe85e9470a917f4c86976d584bf23ccd35604879365775468	pilot/ontology-development-v3/production-calibration/production-50/inputs/P010.md	0026801f71c0e341e47d0a01e9d56fb9cc8a36b720fdd12d6cb0d11f71075a92	74183
P011	10.1007/s11136-016-1445-9	corpus/2013240/doi_10.1007_s11136-016-1445-9.md	f908c91c08b380a0eccedaf7100b6f909ca4908c16ce1ecb076e5c7371c186e8	60714	input/projects/2013240/papers/doi_10.1007_s11136-016-1445-9.xml	70ce25ed2466f0010c5f2da6ed8e603ddbd2584c6ba1c3547361239f4226ddf2	98541	2013240	pilot/ontology-development-v3/production-calibration/production-50/metadata/P011.json	ba1521936d606084cbf4c7aeca4a54ec4fff94fe3f826e93c8fc406233d3de56	pilot/ontology-development-v3/production-calibration/production-50/inputs/P011.md	5870d4a0a5f03b10c4cd03433e54e33a5c16c4712b359c3f1ba903dbff3465da	80008
P012	10.1007/s11136-019-02156-2	corpus/2016670/doi_10.1007_s11136-019-02156-2.md	e77f4bf23685b0d13690d0f76104898ee4a0985661de8ad78980ddf20e2c26f6	49777	input/projects/2016670/papers/doi_10.1007_s11136-019-02156-2.xml	8c3c80e8349ee8184f686ac0159ba70d7a0b7b490554cfab0f41fc87aad69df5	88452	2016670	pilot/ontology-development-v3/production-calibration/production-50/metadata/P012.json	04399ef089c62a57a189ef9bdc9ffc326abf71df3c3017d8f252826ac7c783f7	pilot/ontology-development-v3/production-calibration/production-50/inputs/P012.md	c4815c7a1382812139eb816b90123d2e6550bee9524615584bb2203ba9563200	67363
P013	10.1007/s11136-020-02496-4	corpus/2016670/doi_10.1007_s11136-020-02496-4.md	6acb8bc2ef722590ce60586781b89d8691c8a201d3e2c0d88a983f0bf85a7a36	56550	input/projects/2016670/papers/doi_10.1007_s11136-020-02496-4.xml	0d216a910ceabbe95c6e992b79ce10ba1344ea1038eb944ffe4f7b278411961d	107568	2016670	pilot/ontology-development-v3/production-calibration/production-50/metadata/P013.json	d4881b72941a8b537e0924a0e95d1a7bd546612f0bfbbbf21945eab56fb1bd1e	pilot/ontology-development-v3/production-calibration/production-50/inputs/P013.md	86ef9f9006d7f30ac9eec0c49d35c2cfdc902b4dc8c321ac7e7764d50e9ba1b1	73922
