record_id	doi	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	candidate_project_ids	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes	graph_sha256	task_sha256	addon_sha256
P001	10.1002/hec.4529	corpus/20190080R1/doi_10.1002_hec.4529.md	24e34bf2461ce3ff26ab79718ac248685993a16e57942331dda5fcca6450c417	97490	input/projects/20190080R1/papers/doi_10.1002_hec.4529.xml	ec5d3c6548102af9949816354ec9702e332f373e215702bd15cc0ff3d99402e5	226736	20190080R1	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P001.json	4bbf074db34d5b5908ad051998f4a9d6c51628a01480ba433b369432f832cd01	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P001.md	0d4330f69fa358ce2b5c3125cbbe1a616f669e8b971d1b3ce99d93951ae0bd74	113203	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P002	10.1002/hsr2.70308	corpus/20190690/doi_10.1002_hsr2.70308.md	343051bd13c04d48c1fad267f6e6fe42b1b3d09fb2b7ba32a4ad0bfb36f4cf79	58585	input/projects/20190690/papers/doi_10.1002_hsr2.70308.xml	e5c106eb9ec417ba5c636ae86dabe9944319c6643e3594008b1c7328ee503edc	107682	20190690	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P002.json	d301b48e9dd91c6f48b30db272aefc626d32ffbcd109b3463768442d69f624e7	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P002.md	cf286091f12f6a717140abeb7bb4aba6748f33aa01e80bfd60d584b5917da07a	76367	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P003	10.1007/s10198-018-0987-x	corpus/20170450/doi_10.1007_s10198-018-0987-x.md	fc488afa7b1a983ed266cae605368061b0e9fb85c5648b5e2a1ee89cec5aa645	39487	input/projects/20170450/papers/doi_10.1007_s10198-018-0987-x.xml	e14d5224491c287f9b87e33a2179419cb35353da74b99a0c18011d61f11aadb6	77612	20170450	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P003.json	5b1409dc8039d9f5a8f0e25c469eb27d29dfe9511ad70278df863a285ab7dbe9	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P003.md	9cddba6533a4f450dffa0e8cce4f005d8551ad1d61e2096cb1346b470c5dc90c	56356	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P004	10.1007/s10198-018-0993-z	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741	80616	input/projects/2014170/papers/doi_10.1007_s10198-018-0993-z.xml	dec669d4343395a111005589a7c0b37c718f02cf6620fff4ba7f9f09009b7789	131975	2014170	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P004.json	3c1b4652b820460e23bb2cf3d8f2701c327f4b853d4ec7753b81ca6689686215	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P004.md	70871381787d9bdc140d0813e49ff960076eae0ffb9a1f9a809ccd25015d247c	99927	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P005	10.1007/s10198-020-01205-9	corpus/2016570/doi_10.1007_s10198-020-01205-9.md	e0ec77f46624ebf9052b6ffb529918fbfd19e7affd57f7dd8583b72758151a0c	93389	input/projects/2016570/papers/doi_10.1007_s10198-020-01205-9.xml	8d9db24ac445adf37316e26f1bc8264d38faf465726d243c34ee73ed851c60eb	133497	2016570	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P005.json	3705228bff514da0b4cb455c40bc8f936d6a2f0fd19b04a2e89109057a5e68c5	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P005.md	8d179f06f9f926aca4a1d15665c459c951ceacdf544a5b9fb60364904c1bc7ab	111479	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P006	10.1007/s10198-021-01306-z	corpus/2016710/doi_10.1007_s10198-021-01306-z.md	3fd5eca21b9429c79f5c0947e286ee07919dea027a79fd7f4a03fd45cd902b0b	92752	input/projects/2016710/papers/doi_10.1007_s10198-021-01306-z.xml	4635a42ac27ffc95d4f09a228cd0f585a258727259ec5e5792840555c56a2f12	159101	2016710;20180350	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P006.json	ef17d18f29471c169551f8fe899f8141d7024c32fd9efdd672ba74d9e0ddaea1	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P006.md	51d447bbda0c8e454931ed3fce643c6026db45320eb4ba343e323c15edafecdb	117629	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P007	10.1007/s10198-021-01309-w	corpus/20170330/doi_10.1007_s10198-021-01309-w.md	35f7b7dbe33f5a60c39aa8891f623a655e9d2d45373b0da90ea86c71f36ed3a6	68283	input/projects/20170330/papers/doi_10.1007_s10198-021-01309-w.xml	c1ebc30a1a23e2fb60c1ba11dee5994e65d62817a582b4085ea230d569db3dc9	104328	20170330	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P007.json	3ba14a6b7e96c1d7cb44f92fff9d6032aa3af8642b7430af17f543ed11685223	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P007.md	fb55e81e117487fd72a3fea21532bc67d535e67a4fd437c7b840273f193431fd	86305	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P008	10.1007/s10198-022-01481-7	corpus/20180030R1/doi_10.1007_s10198-022-01481-7.md	fcd9d9072d1a4642b7bf7fe9c1d5bbf6b1a5d9a7a545b31c8fdb0498bc6665e4	57058	input/projects/20180030R1/papers/doi_10.1007_s10198-022-01481-7.xml	1d43766b183a4abf40ac2e65a1ab5cc75d3653182d139c8d45e818b0a097ac6e	121152	20180030R1	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P008.json	ba221d8a1234043214a4221e1b220e1dd6195ebeab7f366e49380a2eb68d17a5	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P008.md	31df3a2a4791814d087f2b415fd42476bce1d8e45bfcf11a921cd73c804b553a	76407	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P009	10.1007/s10198-023-01668-6	corpus/417-RA/doi_10.1007_s10198-023-01668-6.md	6a9173e4d10243356fbe6ec8bb7373ba7bccbe3639324c38ae6337476fb90e1d	97711	input/projects/417-RA/papers/doi_10.1007_s10198-023-01668-6.xml	33073694eb0b31d537862471764ab168776206884db393b66b657d0ec85eaa10	156611	417-RA	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P009.json	c50c23083f32ed1864ee6e74a087edc87c7f3f6f63e27b60200491335942e0bb	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P009.md	8a2b1a4dfdb76a14dfa53ae7c81c8713a5196c2f776dbfc95b8abd8baeb8650f	113748	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
P010	10.1007/s10198-024-01682-2	corpus/444-RA/doi_10.1007_s10198-024-01682-2.md	3d8470dfc1520b9b531b28b99ba49d0ce187e0e0861fb15bc2979418effaf7c2	74791	input/projects/444-RA/papers/doi_10.1007_s10198-024-01682-2.xml	71c82e502fd5912693182e8c6882846f3a9b086b2ac787645f3057278ff852c4	144581	444-RA	pilot/ontology-development-v3/production-calibration/production-remaining-129/metadata/P010.json	8ddaba3f5f18a391dc1c83641b94e5228dd639a518580b1f0a9c1cc4445f7b74	pilot/ontology-development-v3/production-calibration/production-remaining-129/inputs/P010.md	60570067a6f0d21a4bba20fa32124888fe5aade383cb8ce790a13502346fdc51	92165	710868dc831cfe94cb1fbcb4dbd7398ff0a5f5c766c7f3b67f39a6ddf5b14d36	29348912865b84c52f532a6c0e729897c6951f490869160960ddc6e7ff6d3764	469a12954bfaac2ce46db20db6a1cec9c04550234651ce50ba2e5d70f7dbad39
