summary_id	paper_id	assignment	source_path	source_sha256	summary_path	summary_sha256	bytes	words
S001	10.1186/s12955-022-02083-w	A	corpus/20180770/doi_10.1186_s12955-022-02083-w.md	433c19b4233623ebee107171a139f4a803ed9ad41f54ad87c609cb809daf46ee	summaries/S001.md	11cd7564af90b174d1ca7ebebba3df9d72f9fa87904976f72092a49c297a4a0e	5885	812
S002	10.1007/s40273-016-0404-1	B	corpus/2015410/doi_10.1007_s40273-016-0404-1.md	467cb82e557941064c134149dbaf410ed7cffd108084fcd2507a051db5c532c9	summaries/S002.md	973123bebfaf0a0f7becb09dbaf4b40fb52401bafde1530e0400a44d58d62293	5573	744
S003	10.1007/s40273-019-00811-7	A	corpus/2015240/doi_10.1007_s40273-019-00811-7.md	b713bf6250a5ec2757ca41dd56367116db3502403d833dd13b183b8fb0a1a98d	summaries/S003.md	ff9094951660297ea713e41b9d84637357c0175bab1122c838d4c1ab90434309	5696	786
S004	10.1016/j.jval.2025.01.003	shared	corpus/1465-VS/doi_10.1016_j.jval.2025.01.003.md	07a0075a4ee33d29a3bfdc40aa6889f0bc254adfc081b8a886489db500b8fcf3	summaries/S004.md	87695bcc8b50df4ea0fa171636b70080f2f5a270643801a6076e456ffaf77be8	5723	778
S005	10.1371/journal.pone.0209344	A	corpus/2016440/doi_10.1371_journal.pone.0209344.md	e3c6d471fd5c00c37cf3bf480e0f7c0d902962d069a59b2e573d3a43a6f9465b	summaries/S005.md	0a5b5ae80e1ac2a280417b56792163899c621bd3312083441d9906b0c42b21cf	5336	720
S006	10.1186/s12955-022-01989-9	A	corpus/2016220/doi_10.1186_s12955-022-01989-9.md	209283abeeae1c8a093dc950bb4818a5d88633d08160d2d163675feedf806a04	summaries/S006.md	d8c0a1b1bee7dd4f201c48f9a14c4171344cc29e2271755039dd99154e07796a	5226	694
S007	10.1007/s40273-022-01210-1	shared	corpus/20180490/doi_10.1007_s40273-022-01210-1.md	2d9a0b8e02c0f5c456e661027b22c536aed26c1a76529ec00e1001cb8fd003f2	summaries/S007.md	7d774bf04d670e3906159539940561a8ed19ee818fe4b6ef9a61e8fcb9ba59ab	5187	726
S008	10.1007/s11136-025-03930-1	B	corpus/1411-VS/doi_10.1007_s11136-025-03930-1.md	06cd47ce7b8c4e8d26327e3407a25539e756606d602863d3d907f73fd8c71dc7	summaries/S008.md	f6c90f26724a1fc98c695b7a4ee453268e63ea38467e3fa9a8069bb4680f8b4d	4761	656
S009	10.1186/s12955-017-0617-9	C	corpus/2014030/doi_10.1186_s12955-017-0617-9.md	025bf4d94deafd76836a36f85386dd1ed8eee4b927f54724add93d07d78eeb88	summaries/S009.md	03d68ec98abc9bb46c63926eaee5905bf185353bf7cfb654f98cccb7c48c74a9	4261	592
S010	10.1007/s10198-023-01612-8	C	corpus/237-RA/doi_10.1007_s10198-023-01612-8.md	06d4f20b17ef523a1b289e2113a5f8f395a30a6eed56a88a55f6d51442f47185	summaries/S010.md	2093ff6610be777d5f69040c73f01dc98bf5a6ba38886e4361469f006031b164	4458	595
S011	10.1007/s40273-018-0694-6	shared	corpus/2015300/doi_10.1007_s40273-018-0694-6.md	8faf1d25d9d2ce761d7ee8a04c18a3ef15fb82c2e9d1dc14d4f3613d98191762	summaries/S011.md	376a1c21b70afe884a92aac4af36f2493a4c24bb5a8fff50166591d08689f3b5	4686	618
S012	10.1007/s40273-025-01545-5	C	corpus/432-RA/doi_10.1007_s40273-025-01545-5.md	2ab6929abda8f2912cf56f267942426f5c602b188f8d6491fd348fa3df46ea30	summaries/S012.md	93b427dedafa20d79a3b30b59339aa9517bf2146365342bbce56487adb8e811a	4503	609
S013	10.1007/s40273-019-00876-4	B	corpus/20170510/doi_10.1007_s40273-019-00876-4.md	8bd8f189f9c3e73dae9d85dda89b1ce5bdb9175a9a8d009d3abe13f5643fbcfc	summaries/S013.md	97bbe370b5431888e4c960d36addfcabe2cba58e1112fb9aaa0c9ffcfbd73558	6052	818
S014	10.1007/s11136-016-1445-9	A	corpus/2013240/doi_10.1007_s11136-016-1445-9.md	f908c91c08b380a0eccedaf7100b6f909ca4908c16ce1ecb076e5c7371c186e8	summaries/S014.md	f35f51f5173bd0fd92d6578621f4fd9625f053f0b882b18ae993b4f7592d597c	5875	720
S015	10.1007/s40271-024-00708-4	C	corpus/304-PHD/doi_10.1007_s40271-024-00708-4.md	88a8fbfa8c75bcf902b77e17a48a32df69935d546d0db120706f518d4569bf76	summaries/S015.md	8786d401228a810a5c428a2bd7f067c1d6ae31a5a8d43f9ce9e8e576b71628ab	5669	739
S016	10.1136/bmjopen-2023-077256	A	corpus/304-PHD/doi_10.1136_bmjopen-2023-077256.md	cec51b4b9a428e0f544c14391873d8e6205951570ac55ebcf88f886f2563cb36	summaries/S016.md	ce44b944c8f25f1af226a286e6e0d5a78c34d8450f1bb8bf891f93662fbaee4a	5915	783
S017	10.1007/s10198-018-0993-z	shared	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741	summaries/S017.md	d9aea75744d9f50fb0a6414866a96e04b3c1bc3cb69447665a6ff7da633a1ffa	5920	808
S018	10.1186/s12955-024-02266-7	C	corpus/341-RA/doi_10.1186_s12955-024-02266-7.md	fc29e562638e700d12dcdb40596879f0dde16b982ea6e0f13fce2dc1d2d341ff	summaries/S018.md	f0b937ad75d201004ad44b8992c353c53344416ff63c92bd374aafe0e6c24d27	5415	724
S019	10.1016/j.jval.2024.05.016	shared	corpus/341-RA/doi_10.1016_j.jval.2024.05.016.md	3d23652cd843eb24d67f4d5f361b7741bf57a508ed3b0145bfcb364655876248	summaries/S019.md	64089fe1c5c08a149fc85cf06cef6b534cf8f9ce1495abefb68979b20311db36	4801	655
S020	10.1007/s10198-020-01205-9	C	corpus/2016570/doi_10.1007_s10198-020-01205-9.md	e0ec77f46624ebf9052b6ffb529918fbfd19e7affd57f7dd8583b72758151a0c	summaries/S020.md	cc6e19c5343dbfc819a8a2882b629051da81b7fb5b16002768b3e91b357eb1c8	5238	704
S021	10.1007/s11136-020-02712-1	B	corpus/2016470/doi_10.1007_s11136-020-02712-1.md	4f1a49da1d95d6c19834368504c32de36b541e51310ed101e8616eaf45d850c7	summaries/S021.md	7f9d824aea6055e054263baf071f6d8270d63d2c59bae75c926c92672dd14adc	4863	645
S022	10.1007/s40273-021-01100-y	B	corpus/20180130/doi_10.1007_s40273-021-01100-y.md	06530b94e4e1d06f6722be7b04dff4bddc1770ac22632530caa38a12f6bc002e	summaries/S022.md	8086603769e5cde2c3536cd453e1c57f5e06e05920907f349179eaa89f759ff5	5394	692
S023	10.1007/s40258-021-00639-3	shared	corpus/20170401/doi_10.1007_s40258-021-00639-3.md	f819b66a1c448d8dbf462e19758f9dff61963137d65bba82baacc1a9905aeb57	summaries/S023.md	4008222b93f49f632e67a2c95a2c0588e8088b560ffbb577ba065dd4c13f7f6f	6003	803
S024	10.1007/s40258-025-00954-z	C	corpus/1767-RA/doi_10.1007_s40258-025-00954-z.md	de0405964ea0d43d90d3fa0acc825ce046c65bff84aef08a44942b8040365452	summaries/S024.md	e8b7f1782bf88b0e74cb2457db347459991c86ec0665e4386880e260a8d85048	4971	681
S025	10.1002/hec.4529	A	corpus/20190080R1/doi_10.1002_hec.4529.md	24e34bf2461ce3ff26ab79718ac248685993a16e57942331dda5fcca6450c417	summaries/S025.md	a2f6b22fa91e74724b083dface5fb2406429852f886cf8918d47e260cf02e30a	6979	980
S026	10.1007/s40271-020-00490-z	A	corpus/20190080R1/doi_10.1007_s40271-020-00490-z.md	a84df7d92de7535ed71babcf68e6aae70a1145abe782288271a6a7f82557c06f	summaries/S026.md	2dc6754ed5256327211c0863f1bab8629f3bfba180261e5cd9055629962ac471	6006	787
S027	10.1186/s12955-023-02144-8	B	corpus/20180030R1/doi_10.1186_s12955-023-02144-8.md	4751d9ab38892ef830f5ae1ab94182ed96f643ae720b545fb4b4f1f1cdfd7832	summaries/S027.md	fe34257c1fae4e1b1c534e9c2b125382cf1419e90215f8c4dcfbb3210c206827	5429	728
S028	10.1007/s40273-025-01519-7	C	corpus/1741-RA/doi_10.1007_s40273-025-01519-7.md	42eb455e48c118aebbb880a56da2157e3236918ebc16f09c140f8d91399f8507	summaries/S028.md	d0deeb501c6b02aa504837d596ba5faacaa57a9a71ff6173a6337187d4b87b25	5590	733
S029	10.1007/s40273-017-0538-9	A	corpus/2013240/doi_10.1007_s40273-017-0538-9.md	0b9f6fafcfa8ad499c3fa45890a2f65f47f9c033f161472248c4d2e5f1832ed9	summaries/S029.md	b059ef6dbad0475276b0acbd0ebece29de7cd02855a2b2d1cdedf629429cb402	5521	716
S030	10.1007/s40258-022-00772-7	A	corpus/20190460/doi_10.1007_s40258-022-00772-7.md	a7845f657f23302e62c6915868cbcf0c8530bab59d535c2ddd02031a21b3d02f	summaries/S030.md	a58a7ff3114c645bfd4dc4655a0cce186118d7acb6021eac58e986225dc3c64a	5324	708
S031	10.1371/journal.pone.0319227	B	corpus/348-PHD/doi_10.1371_journal.pone.0319227.md	87a2c313ac7b1cdde3152331e303e0015897a8f79614135163db1d1f16701e70	summaries/S031.md	32f60b586c5d506a0a64d6888fbc2fee85932126728f6fad86f8421437d92d3d	6109	774
S032	10.1007/s40273-025-01493-0	shared	corpus/348-PHD/doi_10.1007_s40273-025-01493-0.md	5b830978c69c11c5a256b6b3e293431ef260509a9877c79d634e97896f725209	summaries/S032.md	ed107aa9d748a8c3cd4c1e44d897c52c638e4d1dfc803d60961d57ea22a53eed	6364	814
S033	10.1007/s40271-025-00749-3	shared	corpus/1559-RA/doi_10.1007_s40271-025-00749-3.md	9b7d8c90c5ec3545b24746ae62fa16778a3e6e71881d4d2579a9100f9586e981	summaries/S033.md	a0d513c0cf75aa4c51d2e684be690af97462dd9b407e3ef77bea821dc1ce2aeb	6298	813
S034	10.1007/s11136-020-02718-9	shared	corpus/2016710/doi_10.1007_s11136-020-02718-9.md	421a9be9357f6020c7cdb5b8a40e84634618ef1aa32c23b36bae42cc2dd59006	summaries/S034.md	d851bf3e0a471a41d2775f1760250df92b9955948169f35cf5a4f541c6ae65d0	5993	798
