record_id	paper_id	article_path	sha256	bytes	coverage_reason
D001	10.1007/s10198-025-01769-4	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	5aeb8d6b2307857d7cfd092368a992685d86ab149249d8db3b4d03dc4468c324	78866	OPUF reliability and valuation-method boundary
D002	10.1007/s40273-019-00854-w	corpus/2016230/doi_10.1007_s40273-019-00854-w.md	68f45ea10e7e3e77cad9ebad14637b5c1f2f2109e34b67f380cce6c050127b6c	113530	review of measurement properties across instruments
D003	10.1186/s41687-024-00761-5	corpus/20190200/doi_10.1186_s41687-024-00761-5.md	b8f909cd41f6e78a60f33357e8ead8d5b7e5956785ab9364a33cd4c0a446d693	72470	funded non-EQ translation and psychometric validation
D004	10.1007/s40271-022-00573-z	corpus/20180510/doi_10.1007_s40271-022-00573-z.md	87546967999f6c5a21fc8bd2b7a96493080b09695f502b89787aedec94405c7d	89014	face-to-face and video cTTO comparison
D005	10.1007/s40273-024-01444-1	corpus/304-PHD/doi_10.1007_s40273-024-01444-1.md	e27029b44386f096dd26fc2f449114b07773a788ad1181b4378639882a3f53d2	32807	experience scaling as an alternative to QALYs
D006	10.1097/mlr.0000000000002315	corpus/1787-RA/doi_10.1097_mlr.0000000000002315.md	1357ec5e1968fa90e5d089d20bce9aa717a605af481776e7fdac726471b62dad	55617	PROM prediction of hospital readmission
D007	10.1177/0272989x251380556	corpus/399-RA/doi_10.1177_0272989x251380556.md	91d4c02e7b1d5b43b84e82c49838fbe2ba6ba78ac4449304a1a9504b078b3ae4	59876	conceptual taxonomy of health-state-value uncertainty
D008	10.3961/jpmph.22.151	corpus/2016290/doi_10.3961_jpmph.22.151.md	85bc7bba2624710564b9b3dc97c953f6f5d533bc9381b4390a897dce7d41f6f2	58582	qualitative public understanding of HRQoL and EQ-5D
D009	10.1186/s12955-023-02115-z	corpus/2016480/doi_10.1186_s12955-023-02115-z.md	7af13a637ee2fdaaa6015f33bf75811e8838652bb8eec73539e501c32d572762	110575	experience-based EQ VAS health-state valuation
D010	10.1007/s10198-023-01612-8	corpus/237-RA/doi_10.1007_s10198-023-01612-8.md	06d4f20b17ef523a1b289e2113a5f8f395a30a6eed56a88a55f6d51442f47185	80820	duration and time-preference valuation experiment
D011	10.1007/s10198-025-01823-1	corpus/1462-PHD/doi_10.1007_s10198-025-01823-1.md	949690fcd6808e4d6dd65cd7417fd63e83f446e6ede0a3fce9fdfadf605ffe91	48411	conceptual case for child involvement in valuation
D012	10.1007/s11136-025-04038-2	corpus/1485-RA/doi_10.1007_s11136-025-04038-2.md	168d53aed9f5436771a17e2560de98f312835ceea2df0b76cf64f31f8de92608	76716	lay quality-of-life framework and EQ-HWB comparison
D013	10.1007/s40271-024-00708-4	corpus/304-PHD/doi_10.1007_s40271-024-00708-4.md	88a8fbfa8c75bcf902b77e17a48a32df69935d546d0db120706f518d4569bf76	53929	Kaizen-task evidence synthesis
D014	10.1017/s0266462326103602	corpus/1505-RA/doi_10.1017_s0266462326103602.md	4f26cab992adb34e099c71814ee81c54b02de2bffc8ad03c5f824627b93901be	101826	HTA agency practice and evidence-needs survey
D015	10.1186/s12889-018-5706-0	corpus/2013240/doi_10.1186_s12889-018-5706-0.md	a87301d2f9843a690a82156a6439327902948364a5d42df83c2150818f23262f	67215	environmental exposure and population health outcomes
