record_id,status,evidence,merge_into_record_id
P067c2cbcf426,exclude_non_journal,EuroQol Working Paper Series 17003,
P43f8184d18dc,exclude_non_journal,Chapter in Improving the Valuation of the EQ-5D-5L,
Pcaf7874e2cc9,candidate_full_journal_article,PharmacoEconomics 26(8):633-648,
P5bf723f80dae,exclude_non_journal,NHG guideline published by Bohn Stafleu van Loghum,
Pc6b0a60e2e38,candidate_full_journal_article,Circulation 109(9):1114-1120,Pa97548661585
Pef3ced106aeb,candidate_full_journal_article,Jurnal Ilmu Kefarmasian Indonesia 23(1):165-174,
P6750cba8862d,candidate_full_journal_article,European Journal of Health Economics 26(3):487-501,P93749e68c902
P3315d77a0fef,candidate_full_journal_article,Majalah Farmasi dan Farmakologi 25:28-31,
P4c1287d63267,candidate_full_journal_article,GUIDENA 10(2):144-150,
P11ca9f832962,candidate_full_journal_article,Pratiques et organisation des soins 39(1):43-45,
P8769bd1ebab9,exclude_non_journal,French ministry report,
P3c675cbc2488,exclude_non_journal,Methodological guide issued by Collège des économistes de la santé,
P857f6174eb43,candidate_full_journal_article,Gastroenterology International 12:186-215,Pc7195d8ec694
P8689b1754aac,candidate_full_journal_article,Revue d'épidémiologie et de santé publique 42(1):68-78,Pfb017e256591
Pb73a5655a261,exclude_non_journal,Chapter in The Migration of Managerial Innovation,
Pa34fd38811e9,candidate_full_journal_article,Gastroentérologie clinique et biologique 15(5):399-404,P2ec34b258d4f
