name,institute,member_id,profile_url
Abraham Gebregziabiher,"1School of Pharmacy, College of Health Science, Mekelle University.",17787,https://euroqol.org/about-us/our-members/member-detail/?memberid=17787
Agota Szende,Covance Health Economics & Outcomes Services,17789,https://euroqol.org/about-us/our-members/member-detail/?memberid=17789
Aki Tsuchiya,University of Sheffield,17790,https://euroqol.org/about-us/our-members/member-detail/?memberid=17790
Alice Yu,Centre for Health Economics and Research Evaluation (CHERE),21551,https://euroqol.org/about-us/our-members/member-detail/?memberid=21551
Andrew Lloyd,Acaster Lloyd,17791,https://euroqol.org/about-us/our-members/member-detail/?memberid=17791
Anna Krabbe-Lugner,"Ministry of Infrastructure and Water Management, the Netherlands",17793,https://euroqol.org/about-us/our-members/member-detail/?memberid=17793
Arto Ohinmaa,"School of Public Health, University of Alberta, Edmonton, Canada",17795,https://euroqol.org/about-us/our-members/member-detail/?memberid=17795
Ataru Igarashi,The University of Tokyo,17797,https://euroqol.org/about-us/our-members/member-detail/?memberid=17797
Aureliano Finch,"EuroQol Office, EuroQol Research Foundation",19003,https://euroqol.org/about-us/our-members/member-detail/?memberid=19003
Barbara Spady,University of Calgary,17798,https://euroqol.org/about-us/our-members/member-detail/?memberid=17798
Bas Janssen,,19005,https://euroqol.org/about-us/our-members/member-detail/?memberid=19005
Ben Van Hout,Open Health/University of Sheffield,17799,https://euroqol.org/about-us/our-members/member-detail/?memberid=17799
Benjamin Matthew Craig,"University of South Florida, Tampa, USA",19813,https://euroqol.org/about-us/our-members/member-detail/?memberid=19813
Bernhard Michalowsky,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",17803,https://euroqol.org/about-us/our-members/member-detail/?memberid=17803
Bram Roudijk,EuroQol Research Foundation,17805,https://euroqol.org/about-us/our-members/member-detail/?memberid=17805
Brendan Mulhern,University of Technology Sydney,17807,https://euroqol.org/about-us/our-members/member-detail/?memberid=17807
Caitlyn Solem,GSK,17809,https://euroqol.org/about-us/our-members/member-detail/?memberid=17809
Carlos Wong,London School Hygiene & Tropical Medicine,17811,https://euroqol.org/about-us/our-members/member-detail/?memberid=17811
Cate Bailey,University of Melbourne,21677,https://euroqol.org/about-us/our-members/member-detail/?memberid=21677
Chris Sampson,Office of Health Economics,17815,https://euroqol.org/about-us/our-members/member-detail/?memberid=17815
Claire Gudex,University of Southern Denmark,17817,https://euroqol.org/about-us/our-members/member-detail/?memberid=17817
Clara Mukuria,University of Sheffield,17819,https://euroqol.org/about-us/our-members/member-detail/?memberid=17819
David Mott,Office of Health Economics,17821,https://euroqol.org/about-us/our-members/member-detail/?memberid=17821
David Parkin,,17823,https://euroqol.org/about-us/our-members/member-detail/?memberid=17823
David Whitehurst,Simon Fraser University,17825,https://euroqol.org/about-us/our-members/member-detail/?memberid=17825
Deborah Street,University of Technology Sydney,17827,https://euroqol.org/about-us/our-members/member-detail/?memberid=17827
Des Scott,University of Cape Town,17829,https://euroqol.org/about-us/our-members/member-detail/?memberid=17829
Dominik Golicki,Medical Univeristy of Warsaw,17831,https://euroqol.org/about-us/our-members/member-detail/?memberid=17831
Donna Rowen,University of Sheffield,17833,https://euroqol.org/about-us/our-members/member-detail/?memberid=17833
Edward Webb,University of Leeds,18646,https://euroqol.org/about-us/our-members/member-detail/?memberid=18646
Eleanor Pullenayegum,The Hospital for Sick Children,17835,https://euroqol.org/about-us/our-members/member-detail/?memberid=17835
Elly Stolk,EuroQol Research Foundation,17837,https://euroqol.org/about-us/our-members/member-detail/?memberid=17837
Erica Lubetkin,City University of New York School of Medicine,17839,https://euroqol.org/about-us/our-members/member-detail/?memberid=17839
Ernest Law,Pfizer,17841,https://euroqol.org/about-us/our-members/member-detail/?memberid=17841
Fan Yang,Analysis Group,17843,https://euroqol.org/about-us/our-members/member-detail/?memberid=17843
Fanni Rencz,"Corvinus University of Budapest, Department of Health Policy",17845,https://euroqol.org/about-us/our-members/member-detail/?memberid=17845
Fatima Al Sayah,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",17847,https://euroqol.org/about-us/our-members/member-detail/?memberid=17847
Federico Augustovski,Institute for Clinical Effectiveness and Health Policy (IECS),17849,https://euroqol.org/about-us/our-members/member-detail/?memberid=17849
Feng Xie,McMaster University,17851,https://euroqol.org/about-us/our-members/member-detail/?memberid=17851
Frank de Charro,,17853,https://euroqol.org/about-us/our-members/member-detail/?memberid=17853
Fredrick Purba,Universitas Padjadjaran,17855,https://euroqol.org/about-us/our-members/member-detail/?memberid=17855
Gouke Bonsel,EuroQol Research Foundation,17861,https://euroqol.org/about-us/our-members/member-detail/?memberid=17861
Hannah Penton,,17863,https://euroqol.org/about-us/our-members/member-detail/?memberid=17863
