name,raw_names,n_projects,project_ids
Aaron Winn,Aaron Winn,1,2349-BT
Abdelghafour MARFAK,Abdelghafour MARFAK,1,1411-VS
Abdulhamid Musa,Abdulhamid Musa,1,20210010
Abdulmuminu Isah,Abdulmuminu Isah,1,2236-VS
Abdulrasheed Hassan Yusuf,Abdulrasheed Hassan Yusuf,1,1731-VS
Abeer Al Rabayah,Abeer Al Rabayah,1,60-VS
Abraham Gebregziabiher,Abraham Gebregziabiher; Abraham Gebregziabiher Welie; Abraham Welie,10,225-RA;20180500;340-RA;313-PHD;133-RA;1798-RA;20191010;20170480;89-RA;2124-RA
Ademola Itiola,Ademola Itiola,1,1753-PHD
Afewerki Gebremeskel,Afewerki Gebremeskel,1,396-RA
Agota Szende,Agota Szende,2,20191120;2015470
Ahmed Hamdan AlJedai,Professor Ahmed Hamdan AlJedai,1,1666-VS
Akanksha Akanksha,Akanksha Akanksha,2,1799-RA;2511-RA
Aki Tsuchiya,Aki Tsuchiya,3,2013170;2015180;20190840
Alex Bató,Alex Bató,2,2441-RA;2260-RA
Alexander Arons,Alexander Arons,5,2013260;2013120;2014140;2013250;2016220
Alexander Geissler,Alexander Geissler,1,301-SG
Alexander van Heusden,Alexander van Heusden,1,1739-EO
Alice Yu,Alice Yu,5,20180150;1888-RA;1890-RA;2335-RA;2584-RA
Andrea L. Monteiro,Andrea L. Monteiro,1,161-RA
Andrew Lenny,Andrew Lenny,1,239-RA
Andrew Lloyd,Andrew Lloyd,3,1475-RA;1806-RA;20190510
Ann Charlotte Egmar,Ann Charlotte Egmar,1,2013060
Anna Krabbe-Lugner,Anna Lugner,1,2015010
Annette Regan,Annette Regan,3,384-RA;1796-RA;260-RA
Annushiah Vasan Thakumar,Annushiah Vasan Thakumar,2,2629-RA;2297-EO
Antony Martin,Antony Martin,1,319-RA
Arjun Bhadhuri,Arjun Bhadhuri,1,2506-RA
Arthur Attema,Arthur Attema,4,236-RA;237-RA;1602-RA;435-RA
Arto Ohinmaa,Arto Ohinmaa,2,2015380;1744-EO
Asrul Shafie,Asrul Shafie,3,2016190;20190290;2016100
Aureliano Finch,A Finch; Aureliano Finch; Aureliano Paolo Finch,4,122-RA;20190460;20170210;1927-RA
Ava Hoogenboom,Ava Hoogenboom,1,1934-TVG
Aysenur Ahsen,Aysenur Ahsen,1,2206-RA
Bas Janssen,Bas (MF) Janssen; Bas Janssen,10,240-RA;157-RA;155-RA;461-RA;20170600;458-RA;2594-RA;2015450;2016620;2012040
Beata Koń,Beata Koń,1,91-RA
Begashaw Melaku Gebresillassie,Begashaw Melaku Gebresillassie,2,436-RA;1591-RA
Ben Van Hout,Ben Van Hout,2,20190940;2014025
Benedicte Lescrauwaet,Benedicte Lescrauwaet,1,2403-BT
Benjamin Matthew Craig,Benjamin Craig; Benjamin M. Craig,15,302-EO;464-RA;2016720;1769-RA;2015030;1850-RA;20170260;2266-TVG;2013130;304-PHD;2015290;2016020;2337-RA;2013100;2501-RA
Bernhard Michalowsky,"Bernhard Michalowsky; Michalowsky, Bernhard",6,152-RA;2002-RA;244-RA;1791-RA;349-RA;1592-RA
Bernhard Slaap,Bernhard Slaap,1,20200050
Birol Yetim,Birol Yetim,1,2247-VS
Bosiljka Djikanovic,Bosiljka Djikanovic,1,2128-VS
Bram Roudijk,Bram Roudijk,7,100-RA;20180340R1;169-RA;1694-RA;2647-RA;1923-RA;20190780
Brendan Mulhern,Brendan Mulhern,13,99-RA;2014010;20180300;2016260;322-RA;1903-RA;1976-TVG;2016650;1926-RA;2015460;234-VS;20180460;20170670
Brigitte Essers,Brigitte Essers,1,2016740
Camilla Falivena,Camilla Falivena,1,354-RA
Carlos Wong,Carlos Wong,6,20190250;2421-RA;2012030;333-RA;2014050;20180530
Carrie-Anne Ng,Carrie-Anne Ng,1,2157-RA
Cate Bailey,Cate Bailey; Dr Cate Bailey,9,2440-RA;295-RA;1872-RA;2439-RA;1559-RA;1772-RA;2032-RA;2096-RA;1566-RA
Cathrine Elgaard Jensen,Cathrine Elgaard Jensen,1,1606-RA
Chris Flood,Professor Chris Flood,1,2005-SG
Chris Sampson,Chris Sampson,3,2112-EOI;116-RA;427-RA
Christine Mpundu-Kaambwa,Christine Mpundu-Kaambwa; Dr Christine Mpundu-Kaambwa,2,1709-RA;2129-RA
Ciaran O'Neill,Ciaran O'Neill,1,2013280
Claire Gudex,Claire Gudex,1,20170400
Clara Mukuria,Clara Mukuria,6,1892-RA;326-RA;20190310;2217-TR;2016240;2234-TVG
Clement Cheuk Wai Ng,Clement Cheuk Wai Ng,3,1691-RA;211-RA;1703-RA
Corneliu Bolbocean,Corneliu Bolbocean,1,1869-SG
Cristina Guttierez,Cristina Guttierez,1,20180290
Cynthia L. Gong,Cynthia L. Gong,1,328-RA
Daliya Kaskirbayeva,Daliya Kaskirbayeva,1,2013-RA
Darshini Govindasamy,Darshini Govindasamy,1,144-RA
David Mott,David Mott,2,432-RA;104-RA
David Parkin,David Parkin,1,20170440
David Whitehurst,David Whitehurst,1,2016350
Deborah Marshall,Deborah Marshall,1,1752-RA
