name,raw_names,is_project_leader,is_member,n_projects,project_ids,member_id,member_affiliation,member_profile_url,possible_same_person
Aaron Winn,Aaron Winn,1,0,1,2349-BT,,,,
Abdelghafour MARFAK,Abdelghafour MARFAK,1,0,1,1411-VS,,,,
Abdulhamid Musa,Abdulhamid Musa,1,0,1,20210010,,,,
Abdulmuminu Isah,Abdulmuminu Isah,1,0,1,2236-VS,,,,
Abdulrasheed Hassan Yusuf,Abdulrasheed Hassan Yusuf,1,0,1,1731-VS,,,,
Abeer Al Rabayah,Abeer Al Rabayah,1,0,1,60-VS,,,,
Abraham Gebregziabiher,Abraham Gebregziabiher;Abraham Gebregziabiher Welie;Abraham Welie,1,1,10,133-RA;1798-RA;20170480;20180500;20191010;2124-RA;225-RA;313-PHD;340-RA;89-RA,17787,"1School of Pharmacy, College of Health Science, Mekelle University.",https://euroqol.org/about-us/our-members/member-detail/?memberid=17787,
Ademola Itiola,Ademola Itiola,1,0,1,1753-PHD,,,,
Afewerki Gebremeskel,Afewerki Gebremeskel,1,0,1,396-RA,,,,
Agota Szende,Agota Szende,1,1,2,2015470;20191120,17789,Covance Health Economics & Outcomes Services,https://euroqol.org/about-us/our-members/member-detail/?memberid=17789,
Ahmed Hamdan AlJedai,Ahmed Hamdan AlJedai;Professor Ahmed Hamdan AlJedai,1,0,1,1666-VS,,,,
Akanksha Akanksha,Akanksha Akanksha,1,0,2,1799-RA;2511-RA,,,,
Aki Tsuchiya,Aki Tsuchiya,1,1,3,2013170;2015180;20190840,17790,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17790,
Alex Bató,Alex Bató,1,0,2,2260-RA;2441-RA,,,,
Alexander Arons,Alexander Arons,1,0,5,2013120;2013250;2013260;2014140;2016220,,,,
Alexander Geissler,Alexander Geissler,1,0,1,301-SG,,,,
Alexander van Heusden,Alexander van Heusden,1,0,1,1739-EO,,,,
Alice Yu,Alice Yu,1,1,5,1888-RA;1890-RA;20180150;2335-RA;2584-RA,21551,Centre for Health Economics and Research Evaluation (CHERE),https://euroqol.org/about-us/our-members/member-detail/?memberid=21551,
Andrea L. Monteiro,Andrea L. Monteiro,1,0,1,161-RA,,,,
