review_required,review_reason,status,name,is_project_leader,is_member,n_projects,project_ids,member_id,member_affiliation,member_profile_url,chosen_id,openalex_url,chosen_name,orcid,orcid_url,openalex_affiliation,eq_works,total_works,alternatives,override_id,manual_note
1,High-work-count profile: verify identity,ok,Jeffrey Johnson,1,1,13,1871-RA;1989-SG;2016500;2016520;20170610;20180170R1;20190690;20190810;216-RA;2257-RA;2553-RA;367-RA;445-RA,17879,University of Alberta,https://euroqol.org/about-us/our-members/member-detail/?memberid=17879,A5067514299,https://openalex.org/A5067514299,Jeffrey Johnson,0000-0001-8290-2857,https://orcid.org/0000-0001-8290-2857,Dakota State University,142,1277,A5068867603=Jeffrey L. Johnson(1 eq); A5056814298=Jeffrey G. Johnson(2 eq); A5016249965=Jeffrey D. Johnson(4 eq),,
1,High-work-count profile: verify identity,ok,Richard Xu,1,1,12,1495-RA;1549-RA;1804-RA;1897-RA;2181-RA;2183-RA;2184-RA;2351-BT;2375-RA;2409-RA;444-RA;85-RA,21678,The Hong Kong Polytechnic University,https://euroqol.org/about-us/our-members/member-detail/?memberid=21678,A5057171540,https://openalex.org/A5057171540,Richard Huan Xu,0000-0002-4720-5172,https://orcid.org/0000-0002-4720-5172,Hong Kong Polytechnic University,50,143,A5101613292=Rui‐Hua Xu(12 eq),,
1,ambiguous,ambiguous,Samar Farid,1,0,11,1492-RA;1594-RA;20180130;2063-RA;2145-RA;2341-RA;2402-BT;2492-RA;2522-EO;335-RA;338-EO,,,,A5091305227,https://openalex.org/A5091305227,Samar Farid,0000-0002-6048-847X,https://orcid.org/0000-0002-6048-847X,Cairo University,10,81,A5003458011=Samar M. Farid(1 eq); A5001251189=Samar Farid(5 eq); A5137593163=Samar Farid(2 eq); A5140654507=Samar F. Farid(1 eq),,
1,ambiguous,ambiguous,pei wang,1,0,4,1863-RA;20170530;2454-RA;401-RA,,,,A5100462615,https://openalex.org/A5100462615,Pei Wang,0000-0001-7787-6498,https://orcid.org/0000-0001-7787-6498,Southwest University,4,228,A5051368106=Pei Wang(3 eq),,
1,ambiguous,ambiguous,Clement Cheuk Wai Ng,1,0,3,1691-RA;1703-RA;211-RA,,,,A5102680222,https://openalex.org/A5102680222,Clement Cheuk Wai Ng,,,Chinese University of Hong Kong,3,3,A5001642847=Charis Wei Ling Ng(2 eq); A5079557144=Clement Cheuk-Wai Ng(1 eq),,
1,ambiguous,ambiguous,Jonathan Nazari,1,0,3,2264-EO;2414-RA;2583-EO,,,,A5076426425,https://openalex.org/A5076426425,Jonathan Nazari,0000-0002-4758-7588,https://orcid.org/0000-0002-4758-7588,Pfizer (United States),3,19,A5083342500=Jonathan L. Nazari(2 eq); A5120416926=Jonathan Nazari(1 eq); A5058527781=J Nazari(2 eq); A5137981527=Jonathan L. Nazari(1 eq),,
1,ambiguous,ambiguous,Paul Schneider,1,0,3,1508-RA;1596-RA;2582-SG,,,,A5086411644,https://openalex.org/A5086411644,Paul M. Schneider,0000-0003-2776-4441,https://orcid.org/0000-0003-2776-4441,The University of Melbourne,2,354,A5009816526=Bryan P. Schneider(2 eq); A5028665038=Paul Schneider(1 eq),,
1,Common-name OpenAlex profile appears contaminated,ok,yaling Yang,1,1,3,1807-RA;2130-PHD;2172-RA,18014,Oxford University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18014,A5008455417,https://openalex.org/A5008455417,Yaling Yang,0000-0002-9529-1685,https://orcid.org/0000-0002-9529-1685,Shanghai Public Health Clinical Center,28,163,A5000074603=Yi Yang(2 eq),,
1,unresolved,unresolved,Jarinne Woudstra-de Jong,1,0,2,2289-BT;2326-RA,,,,,,,,,,,,,,
1,ambiguous,ambiguous,Maresa Buchholz,1,0,2,1582-RA;2057-TVG,,,,A5061680498,https://openalex.org/A5061680498,Maresa Buchholz,0000-0002-4486-8632,https://orcid.org/0000-0002-4486-8632,Universitätsmedizin Greifswald,16,40,A5126533651=Maresa Buchholz(8 eq); A5121100821=Maresa Buchholz(1 eq); A5125998044=Maresa Buchholz(1 eq); A5134006794=Maresa Buchholz(1 eq),,
