name,openalex_id,orcid,openalex_count,orcid_count,count_difference,doi_overlap,title_overlap
Margreet Franken,A5089696059,0000-0003-4207-510X,104,38,66,35,35
Philip Powell,A5072704582,0000-0003-1169-3431,116,127,-11,82,80
Nyantara Wickramasekera,A5077076014,0000-0002-6552-5153,58,27,31,25,25
Gerard De Pouvourville,A5085975930,0000-0002-5941-6823,356,180,176,148,115
Maksat Jumamyradov,A5067862987,0009-0008-0180-7224,10,7,3,7,7
Ciaran O'Neill,A5016414995,0000-0001-7668-3934,306,44,262,41,40
Ben Van Hout,A5032690231,0000-0001-9698-6094,120,1,119,1,1
Piyameth Dilokthornsakul,A5013970219,0000-0002-6981-1771,175,156,19,124,116
Elly Stolk,A5033903811,0000-0001-5968-0416,161,129,32,115,116
Fredrick Purba,A5059806422,0000-0002-7336-3043,148,48,100,45,44
