record_id,year,doi,title,disposition,revisit,basis
P94e1c2d512e0,2012,10.3109/17518423.2012.711781,The effect of the Nintendo Wii Fit on balance control and gross motor function of children with spastic hemiplegic cerebral palsy,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P306cf92b0950,2013,10.3109/02770903.2013.853080,Experiences of living with asthma – a focus group study with adolescents and parents of children with asthma,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P036826a75189,2015,10.2519/jospt.2015.6015,The Incremental Effects of Manual Therapy or Booster Sessions in Addition to Exercise Therapy for Knee Osteoarthritis: A Randomized Clinical Trial,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P10b5b110d6d5,2017,10.1055/s-0037-1598413,"Wirksamkeit des „Assessment of Burden of COPD“ (ABC) Instruments bezüglich gezundheitsbezogener Lebensqualität bei COPD Patienten: eine Cluster-randomisierte, kontrollierte Studie",outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pb5b2b8080910,2017,10.1136/annrheumdis-2016-042193,Subsequent Injury Study (SInS): Improving outcomes for injured New Zealanders.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P9741cbbef775,2018,10.1001/jamainternmed.2018.4710,Evaluating Progression-Free Survival as a Surrogate Outcome for Health-Related Quality of Life in Oncology,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pa9a6b5d71b39,2018,10.1089/neu.2017.5257,"Divergent Classification Methods of Post-Concussion Syndrome after Mild Traumatic Brain Injury: Prevalence Rates, Risk Factors, and Functional Outcome",outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pe1bedb4b598e,2018,10.1210/jc.2018-01787,Pre-Conception Characteristics Predict Obstetrical and Neonatal Outcomes in Women With Polycystic Ovary Syndrome,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P6f651b9db598,2019,10.37532/2041-6792.2019.9(2).152,"Binge eating disorder among obese/overweight in Pakistan: Under-diagnosed, undertreated and misunderstood",outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P7db87ac9c8a9,2019,10.1183/13993003.01568-2018,Surgery or radiotherapy for stage I lung cancer? An intention-to-treat analysis.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
