alias,canonical_name,reason
goitom molalign,Goitom Molalign Takele,Same OpenAlex ID and ORCID
Edward JD Webb,Edward Webb,Same OpenAlex ID and ORCID
Peep FM Stalmeier,Peep Stalmeier,Same OpenAlex ID and ORCID
Michal Jakubczyk,Michał Jakubczyk,Same OpenAlex ID and ORCID
Peasgood,Tessa Peasgood,Same OpenAlex ID and ORCID
Benjamin Craig,Benjamin Matthew Craig,Project-name variants resolve to the same OpenAlex author
Benjamin M. Craig,Benjamin Matthew Craig,Project-name variants resolve to the same OpenAlex author
Elske van den Akker-van Marle,Elske van den Akker-van Marle,Canonical spelling
M. Elske van den Akker-van Marle,Elske van den Akker-van Marle,Same OpenAlex ID and ORCID
Dewilde Sarah,Sarah Dewilde,Same OpenAlex ID and ORCID
Juan Manuel Ramos-Goñi,Juan M. Ramos-Goñi,Same OpenAlex ID and ORCID
Aureliano Paolo Finch,Aureliano Finch,Same OpenAlex ID and ORCID
A Finch,Aureliano Finch,Same OpenAlex ID and ORCID
Richard Huan XU,Richard Xu,Same OpenAlex ID and ORCID
Ricahrd Xu,Richard Xu,Typo in project register
Fredrick Dermawan Purba,Fredrick Purba,Same OpenAlex ID and ORCID
Abraham Gebregziabiher Welie,Abraham Gebregziabiher,Same OpenAlex ID and ORCID
Abraham Welie,Abraham Gebregziabiher,Same OpenAlex ID and ORCID
Lucky Gift Ngwira,Lucky Ngwira,Same OpenAlex ID and ORCID
Luo Nan,Nan Luo,Same OpenAlex ID and ORCID
Jeff Johnson,Jeffrey Johnson,Same OpenAlex ID and ORCID
Jeffrey A Johnson,Jeffrey Johnson,Same OpenAlex ID and ORCID
Jeffrey A. Johnson,Jeffrey Johnson,Name variant
Stefan A. Lipman,Stefan Lipman,Same OpenAlex ID and ORCID
Valentina Rupel,Valentina Prevolnik Rupel,Same OpenAlex ID and ORCID
Vivian Reckers - Droog,Vivian Reckers-Droog,Same OpenAlex ID
Desiree Scott,Des Scott,Full-name and shortened-name variant
Marisa Santos,Marisa Da Santos,Member and project-name variant
Ulrike Ravens-Sieberer Ravens-Sieberer,Ulrike Ravens-Sieberer,Duplicated surname in project register
María Belizan,María Belizán,Accent variant
Anna Lugner,Anna Krabbe-Lugner,Former/current surname variant
Martine Hoogendoorn-Lips,Martine Hoogendoorn,Name variant in project register
