research_type,portfolio_project_count,portfolio_share_pct,project_id,working_groups,paper_title,doi,publication_year,journal,fulltext_format,retrieval_method,license,repository_path,github_url
Valuation,266,26.0,20170400,Valuation,The Danish EQ-5D-5L Value Set: A Hybrid Model Using cTTO and DCE Data,10.1007/s40258-021-00639-3,2021,Applied Health Economics and Health Policy,XML,epmc_xml,cc-by-nc,input/projects/20170400/papers/doi_10.1007_s40258-021-00639-3.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/20170400/papers/doi_10.1007_s40258-021-00639-3.xml
Descriptive Systems,167,16.3,2016170,Descriptive Systems,Psychometric properties of the EQ-5D-5L: a systematic review of the literature,10.1007/s11136-020-02688-y,2020,Quality of Life Research,XML,epmc_xml,cc-by,input/projects/2016170/papers/doi_10.1007_s11136-020-02688-y.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/2016170/papers/doi_10.1007_s11136-020-02688-y.xml
Populations and Health Systems,115,11.2,367-RA,Populations and Health Systems,EuroQol data for assessment of population health needs and instrument evaluation (EQ-DAPHNIE): a study for enhancing population health assessment,10.1007/s11136-025-03983-2,2025,Quality of Life Research,XML,epmc_xml,cc-by-nc-nd,input/projects/367-RA/papers/doi_10.1007_s11136-025-03983-2.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/367-RA/papers/doi_10.1007_s11136-025-03983-2.xml
Education and Outreach,103,10.1,1505-RA,Education and Outreach,What do HTA agencies need for generating health-related quality of life evidence? Findings from a global survey,10.1017/S0266462326103602,2026,International Journal of Technology Assessment in Health Care,XML,epmc_xml,cc-by-nc-nd,input/projects/1505-RA/papers/doi_10.1017_s0266462326103602.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1505-RA/papers/doi_10.1017_s0266462326103602.xml
Youth,79,7.7,2014160,Youth,EQ-5D-Y-5L: developing a revised EQ-5D-Y with increased response categories,10.1007/s11136-019-02115-x,2019,Quality of Life Research,XML,epmc_xml,cc-by,input/projects/2014160/papers/doi_10.1007_s11136-019-02115-x.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/2014160/papers/doi_10.1007_s11136-019-02115-x.xml
Valuation + Youth,69,6.7,20191020,"Valuation, Youth",Estimating an EQ-5D-Y-3L Value Set for China,10.1007/s40273-022-01216-9,2022,PharmacoEconomics,XML,epmc_xml,cc-by-nc,input/projects/20191020/papers/doi_10.1007_s40273-022-01216-9.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/20191020/papers/doi_10.1007_s40273-022-01216-9.xml
EQ-HWB,50,4.9,1811-RA,EQ-HWB,Frequency and severity response scales for pain and discomfort: psychometric insights from EQ-HWB,10.1007/s11136-025-04003-z,2025,Quality of Life Research,XML,epmc_xml,cc-by,input/projects/1811-RA/papers/doi_10.1007_s11136-025-04003-z.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1811-RA/papers/doi_10.1007_s11136-025-04003-z.xml
Descriptive Systems + EQ-HWB,44,4.3,1485-RA,"Descriptive Systems, EQ-HWB",Developing a quality of life framework from the perspective of laypeople: a qualitative comparison with the EQ-HWB framework,10.1007/s11136-025-04038-2,2025,Quality of Life Research,XML,epmc_xml,cc-by,input/projects/1485-RA/papers/doi_10.1007_s11136-025-04038-2.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1485-RA/papers/doi_10.1007_s11136-025-04038-2.xml
Others,27,2.6,345-PHD,Others,Statistical Methods for Analyzing EQ-5D in Randomized Clinical Trials: A Systematic Literature Review,10.1016/j.jval.2025.02.001,2025,Value in Health,PDF,manual_browser,cc-by-nc-nd,input/projects/345-PHD/papers/doi_10.1016_j.jval.2025.02.001.pdf,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/345-PHD/papers/doi_10.1016_j.jval.2025.02.001.pdf
Descriptive Systems + Youth,21,2.1,218-RA,"Descriptive Systems, Youth","Comparing the measurement properties of the EQ-5D-Y-3L, EQ-5D-Y-5L and CHU9D in children and adolescents: a measurement property study",10.1007/s10198-025-01770-x,2025,The European Journal of Health Economics,XML,epmc_xml,cc-by,input/projects/218-RA/papers/doi_10.1007_s10198-025-01770-x.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/218-RA/papers/doi_10.1007_s10198-025-01770-x.xml
National value set,,,1465-VS,"Valuation, Populations and Health Systems",A Value Set for EQ-5D-5L in the United Arab Emirates,10.1016/j.jval.2025.01.003,2025,Value in Health,PDF,manual_browser,cc-by-nc-nd,input/projects/1465-VS/papers/doi_10.1016_j.jval.2025.01.003.pdf,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1465-VS/papers/doi_10.1016_j.jval.2025.01.003.pdf
Valuation-method comparison,,,341-RA,Valuation,A Direct Comparison Between Discrete Choice With Duration and Composite Time Trade-Off Methods: Do They Produce Similar Results?,10.1016/j.jval.2024.05.016,2024,Value in Health,PDF,repository_pdf,cc-by,input/projects/341-RA/papers/doi_10.1016_j.jval.2024.05.016.pdf,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/341-RA/papers/doi_10.1016_j.jval.2024.05.016.pdf
Clinical psychometrics,,,333-RA,Descriptive Systems,Psychometric properties of EQ-5D-5L for use in patients with Graves’ disease,10.1186/s12955-023-02177-z,2023,Health and Quality of Life Outcomes,XML,epmc_xml,cc-by,input/projects/333-RA/papers/doi_10.1186_s12955-023-02177-z.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/333-RA/papers/doi_10.1186_s12955-023-02177-z.xml
Instrument development,,,365-RA,Youth,Developing the EuroQol toddler and infant populations (EQ-TIPS) instrument: qualitative analysis of expert views on content validity and conceptual challenges,10.1007/s11136-025-04150-3,2026,Quality of Life Research,XML,epmc_xml,cc-by-nc-nd,input/projects/365-RA/papers/doi_10.1007_s11136-025-04150-3.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/365-RA/papers/doi_10.1007_s11136-025-04150-3.xml
Translation and cultural adaptation,,,1492-RA,Descriptive Systems,Translation and cultural adaptation of the EQ-5D-Y-5L into Modern Standard Arabic for use in Egypt,10.1186/s41687-025-00985-z,2026,Journal of Patient-Reported Outcomes,XML,epmc_xml,cc-by,input/projects/1492-RA/papers/doi_10.1186_s41687-025-00985-z.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1492-RA/papers/doi_10.1186_s41687-025-00985-z.xml
Bolt-ons,,,458-RA,Descriptive Systems,Testing the Psychometric Properties of 9 Bolt-Ons for the EQ-5D-5L in a General Population Sample,10.1016/j.jval.2024.03.2195,2024,Value in Health,PDF,repository_pdf,cc-by-nc-nd,input/projects/458-RA/papers/doi_10.1016_j.jval.2024.03.2195.pdf,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/458-RA/papers/doi_10.1016_j.jval.2024.03.2195.pdf
Mapping and economic evaluation,,,20170450,Descriptive Systems,Impact of mapped EQ-5D utilities on cost-effectiveness analysis: in the case of dialysis treatments,10.1007/s10198-018-0987-x,2018,The European Journal of Health Economics,XML,epmc_xml,cc-by,input/projects/20170450/papers/doi_10.1007_s10198-018-0987-x.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/20170450/papers/doi_10.1007_s10198-018-0987-x.xml
Health inequality,,,20180630,Populations and Health Systems,Health Inequality Analysis in Europe: Exploring the Potential of the EQ-5D as Outcome,10.3389/fpubh.2021.744405,2021,Frontiers in Public Health,XML,epmc_xml,cc-by,input/projects/20180630/papers/doi_10.3389_fpubh.2021.744405.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/20180630/papers/doi_10.3389_fpubh.2021.744405.xml
Routine clinical implementation,,,1456-PD,Populations and Health Systems,"Patient Experiences Regarding Feasibility of Implementing Real-World EQ-5D Collection at an Oncology Centre in Ontario, Canada",10.3390/curroncol32060308,2025,Current Oncology,XML,epmc_xml,cc-by,input/projects/1456-PD/papers/doi_10.3390_curroncol32060308.xml,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1456-PD/papers/doi_10.3390_curroncol32060308.xml
Broader wellbeing,,,1455-RA,"Descriptive Systems, Valuation",Psychometric Performance of the EQ Health and Wellbeing Short in a United Kingdom Population Sample,10.1016/j.jval.2024.05.007,2024,Value in Health,PDF,repository_pdf,cc-by,input/projects/1455-RA/papers/doi_10.1016_j.jval.2024.05.007.pdf,https://github.com/shoulders-ai/eq-graph/blob/main/input/projects/1455-RA/papers/doi_10.1016_j.jval.2024.05.007.pdf
