"Project Id","Title","Abstract","Project PI / Applicant Name","Working Group","Approved Budget (EUR)","Status","Start Year","End Year"
"1489-RA","Estimating interactions between the health domains in stand-alone DCE valuation studies","OBJECTIVE: In a previous EQ sponsored study (i.e. EQ Project 415-RA), we proposed a parsimonious modelling approach that allows for a full set of two-way interactions between the EQ-5D health domains. In the absense of a discrete choice experiment (DCE) dataset that was suitably optimized to identify a full set of two-way interactions, the proposed modelling approach was applied to an existing EQ-5D-3L dataset without duration. In this project, the previously developed modelling approach has been applied to a stand-alone EQ-5D-5L DCE with duration and EQ-5D-EQ-5D-3L composite time trade-off (cTTO) dataset. These analyses are aimed at providing important input for a) the anchoring process in the upcoming stand-alone DCE duration protocol, and b) provide evidence that the valuation of the 5 health domains are potentially not independent, which has ramifications for a bolt-on valuation strategy that the VWG needs to develop in the near future. METHODS: Instead of supplementing a main effects model with interactions between each and every level, a more parsimonious optimal scaling approach was used. This approach is based on the mapping of health-state levels onto domain-specific continuous scales. The attractiveness of health states is then determined by the importance-weighted optimal scales (i.e. main effects) and the interactions between these domain-specific scales (i.e. interaction effects). The number of interaction terms only depends on the number of health domains. As a result, interactions between dimensions can be included with only a few additional parameters. EMPIRICAL APPLICATIONS: The proposed models with and without interactions are fitted on three valuation datasets from two different countries, i.e. an Australian EQ-5D-3L time-trade-off (TTO) dataset with N=400 respondents, and a Dutch EQ-5D-5L DCE with duration dataset with N=788 respondents - and a Dutch latent-scale discrete choice experiment (DCE) dataset with N=3,699 respondents that was already analyzed in the previous project. RESULTS: Important interactions between health domains were found in all three applications. The results confirm that the accumulation of health problems within health states has a decreasing marginal effect on health state values. Moreover, conform the prior hypothesis, particularly the DCE with duration value set depends strongly on the inclusion of interaction effects. CONCLUSIONS: The proposed interaction model is parsimonious, produces estimates that are straightforward to interpret, and accommodates the estimation of interaction effects in health state valuation studies with realistic sample size requirements. Not accounting for interactions is shown to result in profoundly biased QALY tariffs, particularly in stand-alone DCE with duration studies.","Marcel Jonker, PhD","Valuation","44500","Completed","2022","2023"
"20190670","Cross-cultural Validity and Reliability Testing of the Toddler and Infant (TANDI) Health Related Quality of Life Measure, an experimental version of the EQ-5D-Y Proxy","Background The EuroQol Group is exploring the development of a Health-Related Quality of Life measure for Toddlers and Infants (EQ-TANDI) aged 0-36 months. This study aims to report on the cross-cultural adaptation and validity of the South African Afrikaans EQ-TANDI. Methods The development of the Afrikaans EQ-TANDI followed the EuroQol guidelines including forward-backward translation and cognitive interviews with 10 caregivers of children aged 0-36 months. Thereafter 162 caregivers of children 0-36 months of age were recruited from a paediatric hospital in-patient (inpt) and outpatient (outpt) facility. The EQ-TANDI, Ages and Stages Questionnaire, FLACC and dietary information were completed by all caregivers. The distribution of dimension scores, Spearman’s correlation, analysis of variance and regression analysis were used to explore the validity of the EQ-TANDI. Results The descriptive system of the EQ-TANDI was generally well understood and accepted by caregivers. The correlation coefficients for concurrent validity were significant and moderate for pain and weak and significant for the other dimensions hypothesised to correlate. Known groups were compared and inpts had a significantly higher report of pain (X^2=7.47, p=0.024), more problems reported across all EQ-TANDI dimensions (recorded on the level sum score) (KW-H=3.809, p=0.05) and reported significantly worse health on the Visual Analogue Sale (VAS) (KW-H=15.387, p<0.001). There were no age-related differences except for a lower report of problems with movement in the 0-12 month group (X^2=10.57, p=0.032). Conclusion: The Afrikaans version of the EQ-TANDI is well understood and accepted by caregivers and valid for use with children 0-36 months in South Africa.","Janine Verstraete","Descriptive Systems, Youth","8851","Completed","2019","2020"
"239-RA","A review of the methodologies implemented in the valuation of generic and condition-specific measures of child and adolescent health states","This research seeks to provide an up-to-date review of the methods currently being used to value child/adolescent health states. Primary objective: • To perform a comprehensive review of the methodologies implemented in the valuation of preference-based, generic and condition-specific measures of child/adolescent health Secondary objective: • To review the extent to which debrief and follow-up questions are used to understand respondents’ valuations of child/adolescent health states Strategic scoping searches will be run in the Embase and Medline electronic databases to identify valuation studies of generic and disease-specific measures of child and adolescent health. General hand-searching will also be performed to identify further studies of interest to ensure the completeness of the review. Relevant studies will be identified and selected for full-text review and data extraction. In particular, we are interested in extracting information regarding who valued the child/adolescent health states, the perspectives through which they were valued, how their preferences were elicited, and the age(s) of the children/adolescents whose health was valued. Measures will be taken to ensure the rigour of the review at each stage of the study. This research will provide the EuroQol Group with an up-to-date picture of the methodologies that have been implemented in the valuation of generic and disease-specific measures of child and adolescent health states, the results of which will inform future versions of the EQ-5D-Y valuation protocol.","Andrew Lenny","Valuation, Youth","14840","Completed","2021",""
"1485-RA","Content and face validity of the EQ-HWB China and HongKong","Introduction The EuroQol Health and Well-being instrument (EQ-HWB TM) is a new EuroQol instrument for assessing Quality of Life (QoL) outcomes in health, public health, and social care settings. Its conceptual framework is rooted in QoL theory, a multidimensional concept encompassing social, psychological, and physical aspects, which may be influenced by cultural factors. Neither the content validity nor face validity of the experimental version of EQ-HWB has been explored in China (simplified Chinese) or Hong Kong (traditional Chinese). This study addresses this gap by: 1) conducting qualitative interviews with laypeople from China and Hong Kong, respectively, to reveal their QoL conceptual framework and comparing it with the EQ-HWB’s framework to evaluate its adequacy in capturing health and well-being; and 2) examining the understandability of the experimental version of the EQ-HWB. Notably, independent yet coordinated research teams in Mainland China and Hong Kong undertook the exploration of the EQ-HWB’s content and face validity. This separation accounted for linguistic differences (Simplified versus Traditional Chinese) and distinct social contexts. Both teams followed the same protocol and topic guide. The Mainland China team completed their research earlier and provided support and shared experiences to assist the Hong Kong team with data collection and analysis. Methods Quota sampling was employed to recruit respondents from two regions in China, ensuring diversity in age, gender, education, health conditions, and caregiving experience. Targeted respondents were consisted of three target groups: patients with physical or mental illnesses, healthy individuals, and informal caregivers. For each group, we recruited 10 people. Semi-structured qualitative interviews were conducted in four steps: 1) introduction and warm-up questions; 2) exploring the concepts of ‘quality of life,’ ‘health,’ and their interrelationship; 3) using the think-aloud method to complete the EQ-HWB questionnaire and discussing each item using six fixed questions; and 4) using the QQ-10 questionnaire to assess EQ-HWB among patient subgroups. Each interview was transcribed verbatim and analyzed for content validity (steps 1-2) and face validity (step 3). For content validity, two coders analyzed the data using a thematic framework approach. Following each interview, coders refined codes through consensus, excluded irrelevant ones based on predefined criteria, and organized the retained codes into sub-themes and themes, resulting in a Chinese QoL conceptual framework. This QoL framework was then compared with the EQ-HWB conceptual framework (accepted in the 2025 ECR meeting, draft paper attached). For face validity, respondents’ feedback during the think-aloud process and their comments on six specific questions were systematically recorded and analyzed. While both Mainland China and Hong Kong research teams employed the same protocol and steps, there were minor adjustments in implementation. The Mainland China team completed the project earlier and provided training to three Hong Kong interviewers, sharing research background, interview techniques, and experiences. The Hong Kong team conducted five pilot interviews, progressively improving interview quality. Based on pilot findings and collaboration discussions, the Hong Kong team adjusted the interview order by asking about “well-being” before “health” and removed the concept of “quality of life” to reduce potential confusion and response bias. Despite these refinements, both teams adhered to the same quota sampling criteria and core interview steps. Results Each of the two research teams recruited 30 respondents to achieve the criteria of quota sampling respectively. The results of content and face validity from two research team were reported below with the order of mainland China to Hong Kong. Both the mainland China and Hong Kong teams conducted content validity studies with 30 participants each, reaching data saturation. The mainland team identified 189 codes forming eight domains—feeling and emotion, cognition, self-identity, coping, physical sensation, relationship, activity, and a newly emerged “mindset,” which was absent from the original EQ-HWB framework. Similarly, the Hong Kong team identified seven main domains aligning with the EQ-HWB, and also found “mindset” as an inductive theme, reflecting introspective thinking and the dynamic interplay between personal health and the social environment. Face validity analysis revealed that while some items (e.g., items 5, 10, and 20 in Hong Kong; items 6 and 23 in mainland China) received no comments, several items (especially items 18, 19, 17, and 13) generated the most feedback, mainly concerning clarity, relevance, and response scale confusion. Respondents had difficulty distinguishing between similar items (e.g., items 9 and 19) and interpreting severity vs. frequency levels. Minor issues were noted for several other items, offering insights into wording, cultural fit, and potential social desirability bias. Conclusion The mainland China and Hong Kong research have similar results of generating QoL framework. The QoL framework revealed a unique theme, ‘mindset,’ potentially reflecting Chinese cultural characteristics and demonstrated that the EQ-HWB’s conceptual framework is well-represented within this QoL framework. These findings support the content validity of the EQ-HWB. Regarding face validity, the results suggest that while several items of the EQ-HWB were well-understood by respondents, others highlighted the importance of reviewing item translation and cultural nuances to ensure clarity in interpretation. See the attached file with two tables summarizing the face validity and content validity results in Hong Kong and China.","Zhihao Yang","Descriptive Systems, EQ-HWB","57760","Completed","2023","2025"
"1573-RA","Exploring inequalities in HRQoL in long COVID in Aotearoa New Zealand","Long COVID – COVID-19 symptoms or sequelae that persist for longer than three months – is a significant public health problem. Marginalised and deprived groups have been shown to be at greater risk of COVID-19 infection and severe disease, but little is known about the relationship between deprivation and long COVID. This project successful extended a New Zealand Ministry of Health funded long COVID registry project by expanding recruitment, increasing the frequency of data collection with respect to the EQ-5D-5L and extending the analysis to explore long COVID inequalities. Mātauranga Raranga | Long COVID Registry Aotearoa was designed in partnership with those with lived experience of long COVID. Comprehensive data are collected from participants in the registry, including the Index of Multiple Deprivation (IMD2018) area deprivation score and domain ranks [funded by this grant], and information on symptoms, their severity using symptom scales, self-reported health (SRH) and HRQoL using the EQ-5D-5L. Participants have been followed up monthly using the EQ-5D-5L [funded by this grant] and 6-monthly for symptom scales and other impacts of long COVID. The registry remains open and data collection is ongoing, analyses of collected data as of the end of March 2024 have formed the bases of this final funding report (8.6% Māori; 91.4% non-Māori). Nationally, each IMD2018 Quintile comprises 20% of Aotearoa’s population. In the registry 45% of non-Māori respondents lived in less deprived Quintile 1(Q1) and Q2 areas. The deprivation pattern for Māori respondents is variable, with fewer Q1 (15%) participants, but an overrepresentation in both Q2 and Q5 (25% each). Compared to participants living in Q1 areas, participants in more deprived areas (Q4+Q5) were statistically more likely to have poorer symptoms, particularly for breathlessness, depression, anxiety, psychological distress, fatigue, and stigma. However, there was little or no difference in HRQoL across deprivation Quintiles. The EQ-5D-5L index pre-COVID was 0.856 (0.887) for Māori (non-Māori) respondents; at enrolment with long COVID symptoms the mean value was 0.488 (0.529). The difference in EQ-5D-5L is significant across those two time points. Analysis of the monthly follow-up data shows the disutility associated with long COVID symptoms persists. A recent systematic review to assess the prevalence and symptomology of long COVID found few studies that considered ethnicity and no studies which considered indices of deprivation. This project addresses that evidence gap and additionally explores the relationship between EQ-5D-5L and deprivation. The results suggest a complex relationship between HRQoL and deprivation which is variable for Māori and non-Māori.","Paula Lorgelly","Populations and Health Systems","138600","Completed","2023","2024"
"147-RA","Exploring the EQ-5D adult and youth descriptive systems","Objectives: To investigate whether the same health state results in the same distribution of responses on the youth and adult descriptive systems (Y-3L vs 3L and 5L, and Y-5L vs 5L) Methods: Adolescents with and without a health condition were recruited from South Africa (SA) (3L, Y-3L and 5L) and Ethiopia (ET) (5L and Y-5L). The order of questionnaires was randomised and separated by a cognitive task. Adult and youth descriptive systems were compared by analysing differences in unique health states, redistribution of dimension responses, inconsistencies, discriminative power by Shannon index (H’), agreement of dimension scores with Gwet’s AC, and known-group validity on the level sum score (LSS). Results: Data from paired adult and youth EQ versions from 592 SA (3L, Y-3L and 5L) and 693 Ethiopian (5L and Y-5L) adolescent respondents were analysed. There were slightly more unique health states reported on 3L (n=64) compared to Y-3L (n=61) (X2=0.097, p=0.755). Conversely Y-5L (n=133) had more unique health states than 5L (n=120 (X2= 0.696, p=0.040). There were 10.5% inconsistent responses between SA 3L versions, 35.1% between Y-3L and 5L and 12.3% between Ethiopian 5L versions. The highest % inconsistencies were reported between pain/discomfort and anxiety/depression. In those with a health condition the ceiling (percentage 11111) was lower on Y-3L (37.2%) than 3L (45.0%) (X2=3.67, p=0.056) whereas Y-5L (43.2%) was slightly higher than 5L (42.3%) (X2=0.055, p=0.815). In SA discriminatory power was higher for Y-3L compared to 3L for pain/discomfort (Δ H’=0.11) and anxiety/depression (Δ H’=0.04) and across all dimensions for Y-3L compared to 5L with the largest differences for usual activities (ΔH’=0.32) and anxiety/depression (Δ H’=0.38). Similarly, in ET discriminatory power was higher across all dimensions for Y-5L compared to 5L (Δ H’ range 0.05-0.09). Gwet’s AC showed very good agreement across all paired (SA) 3L and (ET) 5L dimensions except for anxiety/depression on 3L which showed good agreement [0.68 (0.63, 0.73)]. The LSS of all versions were able to differentiate between known disease groups (school, cardiac, diabetes, functional disability, HIV and respiratory disease). In SA there were significant differences on the 3L, Y-3L and 5L LSS between the general school group and those living with functional disability and HIV. Additionally the 5L could differentiate between the school and diabetes mellitus groups. In ET both the 5L and Y-5L LSS could significantly differentiate between the general school group and all other condition groups except those living with HIV. Conclusion: Despite the generally mild self-reported health state of the sample, both the Y-3L and Y-5L showed a more severe health state compared to the corresponding adult descriptive systems under the same conditions. The differences were most notable for pain/discomfort and anxiety/depression. When comparing the transition between the Y-3L and 5L versions there is a high percentage of inconsistencies, particularly between anxiety/depression and worried/sad/unhappy. The difference in dimension headings and level qualifiers between the adult and youth versions yielded different results. These differences in the descriptive systems need to be taken into consideration for descriptive analysis and comparison of preference-weighted scores.","Janine Verstraete","Descriptive Systems, Youth","61503","Completed","2020","2021"
"99-RA","How much do the EQ-5D-5L and bolt-on dimensions contribute to the overall measurement of quality of life? A psychometric investigation","In this study we examined the dimensionality of commonly used measures with the aim to identify a set of potential bolt-ons for the EQ-5D-5L. To do this we used an Australian dataset that collected health, social care and wellbeing measures online from patients and members of the general public. We conducted a content analysis to provide a theoretical framework to support the interpretation of the quantitative results. Quantitative analyses were based on a pool of 79 items from 7 measures. Confirmatory factor analysis was used to assess the dimensionality of health, social care and wellbeing measures, and understand their contribution to quality of life. The relationship between EQ-5D-5L items and the identified factors was used to inform the identification of bolt ons. The dimensionality analysis identified seven factors defined as physical functioning, psychological symptoms, energy/sleep, physical pain, social functioning, needs and satisfaction. This enabled us to present a list of candidate bolt-ons for the EQ-5D-5L.","Brendan Mulhern","Descriptive Systems","15400","Completed","2020","2021"
"20180380","The added value of bolt on dimensions: a systematic review of studies that analyzed the performance of proposed bolt-ons for the EQ-5D","Abstract of researchBackground: The question whether dimensions should be added to the EQ-5D from a generic perspective has been debated and researched since its launch in the beginning of the 1990s. Several authors suggested valuable add-ons and subsequently the performance of severalof these bolt-ons were tested in varying (patient) populations. However, currently, an overview of bolt-on studies, performanceand the metrics that have been used to test performance is lacking. Study aim: The aim of this study is to systematically review all published studies on the (psychometric) performance of EQ-5D bolt-ons. This includes both descriptive and valuation studies. Methods: First, a systematic literature search will be conducted in EMBASE, MEDLINE and other databases. This search will be appended with a search of key papers and the EuroQol Plenary Meeting Proceedings from 1991. Second, two reviewers will screen, titles, abstracts and full-text articles independently. Third, information on the bolt on (description of the items, response categories (3L, 5L, other), language, source/origin of the bolt on, study population, cognitive debriefing of the bolt-on and (psychometric) performance metrics)will be extracted. We willcategorizethe psychometric methods that were used to test performance intothe following groups: descriptive data/preference weighted data, cross-sectional vs longitudinal-intervention-panel data, and redundance vs. predictive value vs. Shannon’s indices.Results:The study will provide an overview of bolt-on studies, format and origin of bolt-onsthat were tested,setting in which these bolt ons were studied, andan overview ofpsychometric methods and performance of these bolt-ons.","Juanita Haagsma","Descriptive Systems","21054","Completed","2018",""
"2016280","Valuing EQ-5D-5L in Australia: A comparison of the EQ-VT protocol and DCE with duration","The EQ-5D is widely used to inform Australian health care reimbursement decisions. An Australian study to value EQ-5D-5L using DCE with duration (DCETTO) funded by the National Health and Medical Research Council (NHMRC) is currently underway, led by the proposed investigators. However no data based on the preferences of the Australian population collected using cTTO and DCE without duration as recommended by the EQ-VT protocol are available. It is important for both methodological development and decision science to compare values generated using different methods. This study aims to: 1). Collect preference data in Australia using the EQ-VT protocol. 2). Compare valuation data and the values produced by c-TTO and DCE data (from EQ-VT) and online DCETTO valuation data (from the NHMRC study) to inform ongoing research around the development of TTO and DCE. 3). To compare the application of the two methods in terms of practical issues around the administration of the tasks, respondent and data collection burden. We will collect preference data from an Australian general population sample using the EQ-VT protocol. The sample for the EQ-VT will be drawn from the sample undertaking the online DCETTO, enabling within person comparison of methods. To estimate utility values, we will model the TTO and DCE data separately, and also use -5D-5L value sets produced using the EQ-VT and DCETTO protocols will be compared statistically to disentangle the extent to which different valuations (using similar functional forms) are driven by elicitation method, and the underlying model of preferences.","Rosalie Viney","Valuation","80000","Completed","2016","2024"
"20190070","Making both ends neat: exploring the effects of modifying the TTO on non trading and all in trading","The corner answers in time trade-off, TTO, non-trading, NT; and assigning utility of -1 —all-in-trading, AIT) occur frequently and impact the resulting modelsand value sets. NT resultsin poor discriminatory power for mild states. AIT means the average utility estimates are biased upwards(censoring may help but requires parametric assumptions).We aim to test if modifying the TTO protocol lowersthe frequency of NT/AIT (if yes, it would shed light on the reasons behind). Specifically, we hypothesise that NT may stem froma coarse-grained list of answers in TTO(half-a-year intervals) or psychological biases(e.g., reluctance to give up years because of the loss aversion as in Prospect Theory). AIT may result fromutilityfor severe statesbeing discontinuous at 0 (i.e.,the sole fact of having to endure 55555, for whatever short 𝑇, reduces the utility),analogously to present bias or certainty effectobserved in behavioural economics.We will use four arms in online TTO data collection: a control arm (resemblingcTTO) and three experimental arms (ca. 200 respondents in each arm). In the experimental arms,we will ask respondents if finer granularity would get them to trade or add years in full health to a diseased state or use diseased state in both compared profiles in the worse-than-dead part. We will compare the proportion of NT/AIT answers in groups of mild/severe states between the arms and also see if modifications improve the association(counterintuitive in the current protocol)between state severity and utilityin worse-than-dead part.","Michał Jakubczyk","Valuation","83200","Completed","2019",""
