order	paper_id	format	article_path	article_sha256	bytes
1	10.1016/j.jval.2025.01.003	pdf	corpus/1465-VS/doi_10.1016_j.jval.2025.01.003.md	07a0075a4ee33d29a3bfdc40aa6889f0bc254adfc081b8a886489db500b8fcf3	55884
2	10.1016/j.jval.2024.05.016	pdf	corpus/341-RA/doi_10.1016_j.jval.2024.05.016.md	3d23652cd843eb24d67f4d5f361b7741bf57a508ed3b0145bfcb364655876248	48268
3	10.1186/s12955-023-02177-z	xml	corpus/333-RA/doi_10.1186_s12955-023-02177-z.md	da767530ccafa9572fb9983794d0964e7287e5a70c13a6960ec7a9413aa135dd	44049
4	10.1007/s11136-025-04150-3	xml	corpus/365-RA/doi_10.1007_s11136-025-04150-3.md	84b48b2cb480dfcce2baff045168cea58615e2e013c0c9a5d31243c1c6e472be	101717
5	10.1186/s41687-025-00985-z	xml	corpus/1492-RA/doi_10.1186_s41687-025-00985-z.md	975b85316c338820d1694979d7df6a5fde53cfa68dc0bfab4a9609330c958d7f	49236
6	10.1016/j.jval.2024.03.2195	pdf	corpus/458-RA/doi_10.1016_j.jval.2024.03.2195.md	1ed5c8dfc241309b6ff7617221574e2437ea750aa6d942522b69938d473900d6	61107
7	10.1007/s10198-018-0987-x	xml	corpus/20170450/doi_10.1007_s10198-018-0987-x.md	fc488afa7b1a983ed266cae605368061b0e9fb85c5648b5e2a1ee89cec5aa645	39487
8	10.3389/fpubh.2021.744405	xml	corpus/20180630/doi_10.3389_fpubh.2021.744405.md	258a976ef51d38c150d4eefacb68da9c595ee44aeaf7e6c510ea7c7bb767b414	134250
9	10.3390/curroncol32060308	xml	corpus/1456-PD/doi_10.3390_curroncol32060308.md	b41f30156f7d0c2ff1846461be46a8a612149492a2cd74a9b561c9b49b3f17e5	50596
10	10.1016/j.jval.2024.05.007	pdf	corpus/1455-RA/doi_10.1016_j.jval.2024.05.007.md	a55842c5bb3a6a511e2fee5390afac23f8a040010f4a9eaae079177352cde411	47849
