record_id	doi	project_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes
B01	10.1213/ANE.0000000000007107	1483-TVG	corpus/1483-TVG/doi_10.1213_ane.0000000000007107.md	46894a0a2caf783ddeed15e6c822abcc1444a18dc7b1ad824a631c826f233f5a	93921	input/projects/1483-TVG/papers/doi_10.1213_ane.0000000000007107.xml	29b8e49882800ec858ac6d8027cb8d474b27e857dd132b9b4b10f05886bab8a0	141944
B02	10.1186/s41687-024-00761-5	20190200	corpus/20190200/doi_10.1186_s41687-024-00761-5.md	b8f909cd41f6e78a60f33357e8ead8d5b7e5956785ab9364a33cd4c0a446d693	72470	input/projects/20190200/papers/doi_10.1186_s41687-024-00761-5.xml	f95d7846564d18d6ef81cb1a105f19785e6dfe0bc4732926b472f4e4166fb4fb	109477
B03	10.1007/s11136-026-04230-y	1557-RA	corpus/1557-RA/doi_10.1007_s11136-026-04230-y.md	fc3cd1d5d1f416d96c470f1e6fc896d0e2611608d2b9ce61e6f558da9d16ef1b	68823	input/projects/1557-RA/papers/doi_10.1007_s11136-026-04230-y.xml	ab6a51b16fd7785ff1e29018cd5e659f8f0aaaa276dab7480be8c88b2b5911fc	177976
B04	10.1186/s12955-025-02421-8	1627-RA	corpus/1627-RA/doi_10.1186_s12955-025-02421-8.md	4537712ebff158ad24bb9a223e9000698a6355d4538599d3bb44287adc91f7e5	219415	input/projects/1627-RA/papers/doi_10.1186_s12955-025-02421-8.xml	69f528610fb97eb60c0542a9778eaf007491e7722fbf685732feb7d3b1e8c694	580961
B05	10.3390/cancers16111952	285-PHD	corpus/285-PHD/doi_10.3390_cancers16111952.md	988ed7c0fbcde3d5739aa46e55f11b691a9cf0cfc7adaa248e24427f931a764a	92054	input/projects/285-PHD/papers/doi_10.3390_cancers16111952.xml	a234cc4cc87528c5139eefd7aae433906b6ff3ef1fb655875d45011c7d336296	187669
B06	10.1007/s40271-022-00573-z	20180510	corpus/20180510/doi_10.1007_s40271-022-00573-z.md	87546967999f6c5a21fc8bd2b7a96493080b09695f502b89787aedec94405c7d	89014	input/projects/20180510/papers/doi_10.1007_s40271-022-00573-z.xml	7f15562ef4da0a24362ddcb6c856abc4601a2edd2f5e1a229cf95156afb4d752	121217
B07	10.1007/s11136-019-02256-z	2016160	corpus/2016160/doi_10.1007_s11136-019-02256-z.md	e1642f053a685d598acf236f90831e5eff6f74416e0780977193eb9ea46bac60	49267	input/projects/2016160/papers/doi_10.1007_s11136-019-02256-z.xml	d4ef335237248053539fe70aa144b7a96c8ed570348be0276a157a2b0eb7d358	83340
B08	10.1007/s11136-025-03990-3	330-PHD	corpus/330-PHD/doi_10.1007_s11136-025-03990-3.md	171009067ec3beb38d0342b099ed4a4172530dea123ad3a96a6a5907bfd95ba1	77245	input/projects/330-PHD/papers/doi_10.1007_s11136-025-03990-3.xml	779355ba7f3a4862d6ff5866d36dace319081c0f9b7858e4b5f2d27a2402ddcd	141633
B09	10.1007/s40273-024-01444-1	304-PHD	corpus/304-PHD/doi_10.1007_s40273-024-01444-1.md	e27029b44386f096dd26fc2f449114b07773a788ad1181b4378639882a3f53d2	32807	input/projects/304-PHD/papers/doi_10.1007_s40273-024-01444-1.xml	b908b254e120ba604b65b6fbf9515bb55da21e943ecf3337deed20ec67399722	75132
B10	10.1371/journal.pone.0302886	348-PHD	corpus/348-PHD/doi_10.1371_journal.pone.0302886.md	9420b24805f77c45e43b06a4d79dde1108b29b495b94d16550687f99631dcbb5	188611	input/projects/348-PHD/papers/doi_10.1371_journal.pone.0302886.xml	a98c9ce6411424d4bd3bfda21c3bb3ec53185d624102a8c256bbd9e9ea3c21c6	289296
