packet_order	summary_id	paper_id	summary_path	summary_sha256	source_path	source_sha256
1	S029	10.1007/s40273-017-0538-9	summaries/S029.md	b059ef6dbad0475276b0acbd0ebece29de7cd02855a2b2d1cdedf629429cb402	corpus/2013240/doi_10.1007_s40273-017-0538-9.md	0b9f6fafcfa8ad499c3fa45890a2f65f47f9c033f161472248c4d2e5f1832ed9
2	S019	10.1016/j.jval.2024.05.016	summaries/S019.md	64089fe1c5c08a149fc85cf06cef6b534cf8f9ce1495abefb68979b20311db36	corpus/341-RA/doi_10.1016_j.jval.2024.05.016.md	3d23652cd843eb24d67f4d5f361b7741bf57a508ed3b0145bfcb364655876248
3	S067	10.1007/s11136-025-04038-2	summaries/S067.md	204e5dcddc231c0a6b6553c8973cfd6533afcfeb9b22d27bb613f73a2be6eea3	corpus/1485-RA/doi_10.1007_s11136-025-04038-2.md	168d53aed9f5436771a17e2560de98f312835ceea2df0b76cf64f31f8de92608
4	S098	10.1136/bmjopen-2020-048176	summaries/S098.md	b6d9dfdf8677cb8f246abe07423dd097a92ebf647e81cc5e94fe322ba5bc9ce1	corpus/2016480/doi_10.1136_bmjopen-2020-048176.md	b89de0d7ad8c1f7cb18997088bba2c234c2d02c91fc6d68e0da63a4b50b6d0ff
5	S053	10.1007/s11136-025-04133-4	summaries/S053.md	da1185fe01f836a83fd597162741c37fc7bb38677872e8c04c72f8bb9e4aa8ec	corpus/1816-RA/doi_10.1007_s11136-025-04133-4.md	cae39aa6cf1b317a30f9720046095b41b03b2099917a35d2bf8a92ff14afcab1
6	S004	10.1016/j.jval.2025.01.003	summaries/S004.md	87695bcc8b50df4ea0fa171636b70080f2f5a270643801a6076e456ffaf77be8	corpus/1465-VS/doi_10.1016_j.jval.2025.01.003.md	07a0075a4ee33d29a3bfdc40aa6889f0bc254adfc081b8a886489db500b8fcf3
7	S016	10.1136/bmjopen-2023-077256	summaries/S016.md	ce44b944c8f25f1af226a286e6e0d5a78c34d8450f1bb8bf891f93662fbaee4a	corpus/304-PHD/doi_10.1136_bmjopen-2023-077256.md	cec51b4b9a428e0f544c14391873d8e6205951570ac55ebcf88f886f2563cb36
8	S062	10.1186/s12955-024-02290-7	summaries/S062.md	c632a9ea8335dd1327320b7e32978dd4bc823785629276a3e645704ac99b710b	corpus/364-RA/doi_10.1186_s12955-024-02290-7.md	9ee7dfff9c287e3c6dd4abab83be9d2f3d32ca4212aa8fae20b4b93c39a717f0
9	S033	10.1007/s40271-025-00749-3	summaries/S033.md	a0d513c0cf75aa4c51d2e684be690af97462dd9b407e3ef77bea821dc1ce2aeb	corpus/1559-RA/doi_10.1007_s40271-025-00749-3.md	9b7d8c90c5ec3545b24746ae62fa16778a3e6e71881d4d2579a9100f9586e981
10	S044	10.1007/s40271-022-00572-0	summaries/S044.md	0c33fccea3532c067faa6e7732a49d6eebc884aa79489b6bf88714631fcbba09	corpus/20180130/doi_10.1007_s40271-022-00572-0.md	16363aec8ce4fc47fc6bec548210daeb93cfedbff813015fa70eee75d1db66c9
