record_id	doi	project_id	link_status	semantic_status	record_path	article_path	xml_path	xml_sha256	note
H01	10.1007/s40273-018-0615-8	2012020	accepted	load	pilot/ontology-development-v3/validation/records/H01.md	corpus/2012020/doi_10.1007_s40273-018-0615-8.md	input/projects/2012020/papers/doi_10.1007_s40273-018-0615-8.xml	a4d85be57bdad3a0ea02b266175df164eb45cee73db85f8631839be04e84969c	German national value set
H02	10.1007/s40271-025-00735-9	2016260	accepted	load	pilot/ontology-development-v3/validation/records/H02.md	corpus/2016260/doi_10.1007_s40271-025-00735-9.md	input/projects/2016260/papers/doi_10.1007_s40271-025-00735-9.xml	627e3aa895a17583b844b0fcab39ad9b7d4d37a905f5d1e020708e78569c1b65	DCE design and respondent engagement
H03	10.1007/s10198-025-01769-4	1508-RA	accepted	load	pilot/ontology-development-v3/validation/records/H03.md	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	input/projects/1508-RA/papers/doi_10.1007_s10198-025-01769-4.xml	425cbde1851b620a1a1ef8d597d4ae33c1e1672d14c08674b4e9609a48617dd2	OPUF test-retest reliability
H04	10.1007/s11136-026-04223-x	429-RA	accepted	load	pilot/ontology-development-v3/validation/records/H04.md	corpus/429-RA/doi_10.1007_s11136-026-04223-x.md	input/projects/429-RA/papers/doi_10.1007_s11136-026-04223-x.xml	65ae57046de369fa94d69b7ba772e367a6e666ecf03b434067c7afe07f579194	QID-12 instrument development
H05	10.1007/s40271-024-00715-5	150-RA	accepted	load	pilot/ontology-development-v3/validation/records/H05.md	corpus/150-RA/doi_10.1007_s40271-024-00715-5.md	input/projects/150-RA/papers/doi_10.1007_s40271-024-00715-5.xml	3229a5eede9e1230b0b20cb28fa6587ba5269688e0ec8ad7f27417badf07061b	EQ-HWB proxy perspective
H06	10.1007/s11136-018-1985-2	2015400	accepted	load	pilot/ontology-development-v3/validation/records/H06.md	corpus/2015400/doi_10.1007_s11136-018-1985-2.md	input/projects/2015400/papers/doi_10.1007_s11136-018-1985-2.xml	19dbf59e5b15b068173889c41d6bbdab5b34ab08b194adbff790c1964731ebb5	Swedish adolescent population health
H07	10.1007/s40273-019-00854-w	2016230	accepted	load	pilot/ontology-development-v3/validation/records/H07.md	corpus/2016230/doi_10.1007_s40273-019-00854-w.md	input/projects/2016230/papers/doi_10.1007_s40273-019-00854-w.xml	a2f7a83ddbccff96e0bf913327025b2e1f1a9f01caa399629d767fbd414eee98	Asian measurement-property review
H08	10.1186/s41687-023-00560-4	20190200	accepted	load	pilot/ontology-development-v3/validation/records/H08.md	corpus/20190200/doi_10.1186_s41687-023-00560-4.md	input/projects/20190200/papers/doi_10.1186_s41687-023-00560-4.xml	ebefe1f5e2a7334d236022e14d9f2d872ba6ab0090c525e006ef33986dd6910f	Chichewa EQ-5D-Y psychometrics
H09	10.1038/s41433-023-02860-x		candidate-rejected	boundary-only	pilot/ontology-development-v3/validation/records/H09.md	corpus/341-RA/doi_10.1038_s41433-023-02860-x.md	input/projects/341-RA/papers/doi_10.1038_s41433-023-02860-x.xml	f0cfc7babf470ce52123902331f18766b073f6fb9ef5bf99ff37355be5b08b53	Candidate 341-RA and 357-RA links fail the article-evidence gate
H10	10.1186/s12891-024-07304-5	445-RA	accepted	load	pilot/ontology-development-v3/validation/records/H10.md	corpus/445-RA/doi_10.1186_s12891-024-07304-5.md	input/projects/445-RA/papers/doi_10.1186_s12891-024-07304-5.xml	920a122e8165a0c90167182b4c75534aa72af47dd9064bd7d6b133633bb6dc02	EQ-5D visualization in decision support
H11	10.1007/s11136-017-1512-x	2015150	accepted	load	pilot/ontology-development-v3/validation/records/H11.md	corpus/2015150/doi_10.1007_s11136-017-1512-x.md	input/projects/2015150/papers/doi_10.1007_s11136-017-1512-x.xml	fd5d55ec8aec95ec877b838f8d9e60929a6324387a284d47c9e5741697cf55e7	Verified EuroQol-funded study with no EQ instrument
