group	key	value	definition
classification	primary_research_family	VALUE_SET_DEVELOPMENT	New or revised preference-based value set or scoring system is the main output; a secondary value-set product is insufficient.
classification	primary_research_family	MEASUREMENT_PROPERTY_EVALUATION	Measurement performance is the main decision and no new instrument content is a principal output.
classification	primary_research_family	INSTRUMENT_VERSION_DEVELOPMENT	New, revised, translated, or adapted instrument content is a principal output; selection of a development approach alone is methods research.
classification	primary_research_family	POPULATION_REFERENCE_DESCRIPTION	Norms, population data, or reference data are the stated main aim or output; representativeness alone is insufficient.
classification	primary_research_family	METHODS_RESEARCH	Approach, method, or protocol selection, reliability, assumptions, performance, feasibility, quality, or use is the main decision.
classification	primary_research_family	APPLIED_USE_RESEARCH	Use, provision, workflow, implementation, prediction support, visualization, or decision support is primary.
classification	primary_research_family	EVIDENCE_SYNTHESIS	Systematic identification and combination of prior evidence is the main output; selected-dataset reuse for another decision is insufficient.
classification	primary_research_family	HEALTH_ECONOMIC_EVALUATION	The study compares costs and health consequences for a decision; methodological inputs do not remove this family.
classification	primary_research_family	CONCEPTUAL_FRAMEWORK_DEVELOPMENT	A taxonomy, definition, framework, or conceptual classification is the main output; method recommendations can be secondary.
classification	primary_research_family	HEALTH_OUTCOME_RESEARCH	Health, HRQoL, well-being, or health-behavior outcomes are primary.
classification	primary_research_family	HEALTH_PREFERENCE_RESEARCH	Empirical health-preference patterns or differences are the main result without value-set development or a primary method decision.
classification	primary_research_family	ECONOMIC_BURDEN_RESEARCH	Attributable cost, resource, productivity, or monetized well-being burden is estimated without decision alternatives.
classification	research_purpose	HEALTH_STATE_VALUATION	Direct preference elicitation occurs in the current study.
classification	research_purpose	VALUE_SET_DEVELOPMENT	The work develops or revises a value set.
classification	research_purpose	VALUATION_METHOD_EVALUATION	The work evaluates a valuation method.
classification	research_purpose	PREFERENCE_COMPARISON	The work compares health preferences.
classification	research_purpose	MAPPING_OR_CROSSWALK	The work maps between instruments, scales, or values.
classification	research_purpose	POPULATION_NORMS	The work produces population norms or reference data.
classification	research_purpose	MEASUREMENT_PROPERTY_EVALUATION	The work evaluates a measurement property.
classification	research_purpose	CONTENT_VALIDITY_EVALUATION	The work evaluates relevance, comprehensiveness, or comprehensibility.
classification	research_purpose	INSTRUMENT_DEVELOPMENT	The work creates or revises instrument content.
classification	research_purpose	TRANSLATION_AND_CULTURAL_ADAPTATION	The work translates or culturally adapts an instrument.
classification	research_purpose	METHOD_OR_PROTOCOL_QUALITY	The work evaluates method or protocol quality.
classification	research_purpose	IMPLEMENTATION_EVALUATION	The work evaluates practical implementation.
classification	research_purpose	DECISION_SUPPORT_DEVELOPMENT	The work develops decision support.
classification	research_purpose	OUTCOME_DESCRIPTION	The work describes or explains outcomes.
classification	research_purpose	ECONOMIC_EVALUATION	The work compares costs and consequences for a decision.
classification	research_purpose	ECONOMIC_BURDEN_ESTIMATION	The work estimates noncomparative economic burden.
classification	research_purpose	EVIDENCE_SYNTHESIS	The work synthesizes prior evidence.
