canonical_label	alias
Health states worse than dead	Health states worse than dead
Health states worse than dead	States worse than dead
Health states worse than dead	Worse-than-dead health states
Health states worse than dead	Worse than dead
Carer QALYs	Carer QALYs
Carer QALYs	Caregiver QALYs
EQ-5D bolt-on dimensions	EQ-5D bolt-on dimensions
EQ-5D bolt-on dimensions	EQ-5D bolt-on dimension
EQ-5D bolt-on dimensions	Bolt-on dimensions for the EQ-5D descriptive system
Response shift	Response shift
Proxy reporting	Proxy reporting
Digital health	Digital health
Ceiling effect	Ceiling effect
