record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
CNF-P001	10.1007/s40273-025-01519-7	corpus/1741-RA/doi_10.1007_s40273-025-01519-7.md	42eb455e48c118aebbb880a56da2157e3236918ebc16f09c140f8d91399f8507	96091	input/projects/1741-RA/papers/doi_10.1007_s40273-025-01519-7.xml	237f007ba67cc219644585242e818961a64fd6e46a8fdd9bdf15d9c1e73ba172	269718	Singapore EQ-5D-5L value set with cTTO DCE and hybrid modeling
CNF-P002	10.1007/s11136-025-04145-0	corpus/1487-RA/doi_10.1007_s11136-025-04145-0.md	5c7fea9e7096d269077e072c42f9c9bf6fc5026b0b3ff824757fa0118cd86150	52012	input/projects/1487-RA/papers/doi_10.1007_s11136-025-04145-0.xml	d0cedf26c1b8fdad98da82866889bd5da2c773b5b1bc559b5d731a4e2c5e925a	114840	death-thought effects on TTO and VAS health preferences
CNF-P003	10.1007/s11136-025-03917-y	corpus/401-RA/doi_10.1007_s11136-025-03917-y.md	eeabd3663904bad836797acd1c6fc8c8a5c04853c21884595173876738829651	56224	input/projects/401-RA/papers/doi_10.1007_s11136-025-03917-y.xml	fdb6ec60509414c1fc951c3f9b38d94548155802a599dc34ce74da45fda03798	120015	Chinese youth qualitative content validity and instrument refinement
CNF-P004	10.1186/s12955-024-02305-3	corpus/343-RA/doi_10.1186_s12955-024-02305-3.md	757e1baa4498c9417d49250c5778c3779767e29089b5a2c1f1d4a0b177bb0748	88414	input/projects/343-RA/papers/doi_10.1186_s12955-024-02305-3.xml	53a202353447ead8b1e62678047d4d1a6f2ae9d490cf18587767d9d74ee5f6bc	138778	Amharic EQ-5D-5L psychometric validation in cervical cancer
CNF-P005	10.1007/s40273-018-0694-6	corpus/2015300/doi_10.1007_s40273-018-0694-6.md	8faf1d25d9d2ce761d7ee8a04c18a3ef15fb82c2e9d1dc14d4f3613d98191762	88551	input/projects/2015300/papers/doi_10.1007_s40273-018-0694-6.xml	2e1cebc0108c6fcbda08377396fad8012bf8ccdbcbed8b62102cfb924221e8e1	149834	severity-stratified DCE experimental-design methods
CNF-P006	10.1016/j.pecinn.2025.100421	corpus/445-RA/doi_10.1016_j.pecinn.2025.100421.md	5fa457602fbfb26b73693be425c43cf2eab5cd21d09241d7501868f60d1ee6b1	47416	input/projects/445-RA/papers/doi_10.1016_j.pecinn.2025.100421.xml	1af80a21a6b9e8e2ece45649a7e4145a40d90eacbca9f8e9b818dbfe7b6d05db	96911	EuroQol-funded decision-aid usability with EQ-5D data only embedded
CNF-P007	10.3389/ijph.2026.1608807	corpus/1987-SG/doi_10.3389_ijph.2026.1608807.md	90d87e65a601d205adfea637b42a810c73e0342ce00c18f1af9216c3ee4d5592	61090	input/projects/1987-SG/papers/doi_10.3389_ijph.2026.1608807.xml	6450a38abac3dc7f89ba716b91f835cfcd54394f6d992f19f7007304da9f3ef4	98648	refugee versus host-population HRQoL and determinant analysis
CNF-P008	10.1136/bmjopen-2021-051727	corpus/20180130/doi_10.1136_bmjopen-2021-051727.md	c52abb7cfcc313062a326c28123e3a5a25f7e81e0c114dfdb4d5a7a14f1ae841	41246	input/projects/20180130/papers/doi_10.1136_bmjopen-2021-051727.xml	adfbfd63b8ce5bebb33ae255199b06a69d388b7f8b07f24541269ba5fb0c0d45	78779	cultural adaptation and feasibility of the EQ-VT protocol in Egypt
CNF-P009	10.1007/s40273-025-01493-0	corpus/348-PHD/doi_10.1007_s40273-025-01493-0.md	5b830978c69c11c5a256b6b3e293431ef260509a9877c79d634e97896f725209	100833	input/projects/348-PHD/papers/doi_10.1007_s40273-025-01493-0.xml	52d3cfc8c0b3d769bb0df1c34cadd45bb0d9b9af631db749eb2a8183442b5dfc	208340	systematic review of adult- versus child-perspective health values
CNF-P010	10.1136/bmjopen-2025-102509	corpus/1598-RA/doi_10.1136_bmjopen-2025-102509.md	56f910380217e3a4111bbe7e22132ea29c6a4330ae6d3b352b19edfb085eef2d	47716	input/projects/1598-RA/papers/doi_10.1136_bmjopen-2025-102509.xml	35e4a0b745d5da7d8ce6129b264d4d88b2404ec253704edc03a6901f245f5d6f	88850	prospective multi-instrument paediatric validation protocol
