record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
V2-P001	G001	10.1007/s40273-018-0615-8	corpus/2012020/doi_10.1007_s40273-018-0615-8.md	ce4008f8960d9f27e76693f2f31fd1b2b043c3b86ccef599e799a745c444849f	48419	input/projects/2012020/papers/doi_10.1007_s40273-018-0615-8.xml	a4d85be57bdad3a0ea02b266175df164eb45cee73db85f8631839be04e84969c	83414	frozen 209-paper JATS corpus
V2-P002	G002	10.1007/s40271-025-00735-9	corpus/2016260/doi_10.1007_s40271-025-00735-9.md	de80a5d62b8403bae87fb1884f304bbf58adb21e38e37f84f3f2ec339559ca42	112933	input/projects/2016260/papers/doi_10.1007_s40271-025-00735-9.xml	627e3aa895a17583b844b0fcab39ad9b7d4d37a905f5d1e020708e78569c1b65	178252	frozen 209-paper JATS corpus
V2-P003	G003	10.1007/s10198-025-01769-4	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	5aeb8d6b2307857d7cfd092368a992685d86ab149249d8db3b4d03dc4468c324	78866	input/projects/1508-RA/papers/doi_10.1007_s10198-025-01769-4.xml	425cbde1851b620a1a1ef8d597d4ae33c1e1672d14c08674b4e9609a48617dd2	142977	frozen 209-paper JATS corpus
V2-P004	G004	10.1007/s11136-026-04223-x	corpus/429-RA/doi_10.1007_s11136-026-04223-x.md	5266d9a9ea95e329ff9e5e1e46f124ffe129051b75fd16ce030459f108d798fe	49434	input/projects/429-RA/papers/doi_10.1007_s11136-026-04223-x.xml	65ae57046de369fa94d69b7ba772e367a6e666ecf03b434067c7afe07f579194	81976	frozen 209-paper JATS corpus
V2-P005	G005	10.1007/s40271-024-00715-5	corpus/150-RA/doi_10.1007_s40271-024-00715-5.md	19259d3a21512fdd2c1e447fe6e44febcbd2388f57eabe3431d298282c222d05	62053	input/projects/150-RA/papers/doi_10.1007_s40271-024-00715-5.xml	3229a5eede9e1230b0b20cb28fa6587ba5269688e0ec8ad7f27417badf07061b	95270	frozen 209-paper JATS corpus
V2-P006	G006	10.1007/s11136-018-1985-2	corpus/2015400/doi_10.1007_s11136-018-1985-2.md	363625c754d379c479f786321eb244e48678aacfa36d92fe001dd38ac3247539	71162	input/projects/2015400/papers/doi_10.1007_s11136-018-1985-2.xml	19dbf59e5b15b068173889c41d6bbdab5b34ab08b194adbff790c1964731ebb5	147707	frozen 209-paper JATS corpus
V2-P007	G007	10.1007/s40273-019-00854-w	corpus/2016230/doi_10.1007_s40273-019-00854-w.md	68f45ea10e7e3e77cad9ebad14637b5c1f2f2109e34b67f380cce6c050127b6c	113530	input/projects/2016230/papers/doi_10.1007_s40273-019-00854-w.xml	a2f7a83ddbccff96e0bf913327025b2e1f1a9f01caa399629d767fbd414eee98	208051	frozen 209-paper JATS corpus
V2-P008	G008	10.1186/s41687-023-00560-4	corpus/20190200/doi_10.1186_s41687-023-00560-4.md	2b0b92df4d11b6cf42011484f45492f87ed69e4b0c6e74f8fd40ebe4fd6dd74b	116878	input/projects/20190200/papers/doi_10.1186_s41687-023-00560-4.xml	ebefe1f5e2a7334d236022e14d9f2d872ba6ab0090c525e006ef33986dd6910f	189500	frozen 209-paper JATS corpus
V2-P009	G009	10.1038/s41433-023-02860-x	corpus/341-RA/doi_10.1038_s41433-023-02860-x.md	6a27dd1b66faeb7e4095b044a2f9b8df67dc165bf02ff8811dbcc59b536643d6	71413	input/projects/341-RA/papers/doi_10.1038_s41433-023-02860-x.xml	f0cfc7babf470ce52123902331f18766b073f6fb9ef5bf99ff37355be5b08b53	117778	frozen 209-paper JATS corpus
V2-P010	G010	10.1186/s12891-024-07304-5	corpus/445-RA/doi_10.1186_s12891-024-07304-5.md	866438ce4bdc844c0cc7a3929828e48acfe2aab09c5d6b7461a5fec9219f4997	57114	input/projects/445-RA/papers/doi_10.1186_s12891-024-07304-5.xml	920a122e8165a0c90167182b4c75534aa72af47dd9064bd7d6b133633bb6dc02	87207	frozen 209-paper JATS corpus
V2-P011	G011	10.1213/ane.0000000000007107	corpus/1483-TVG/doi_10.1213_ane.0000000000007107.md	46894a0a2caf783ddeed15e6c822abcc1444a18dc7b1ad824a631c826f233f5a	93921	input/projects/1483-TVG/papers/doi_10.1213_ane.0000000000007107.xml	29b8e49882800ec858ac6d8027cb8d474b27e857dd132b9b4b10f05886bab8a0	141944	frozen 209-paper JATS corpus
V2-P012	G012	10.1186/s41687-024-00761-5	corpus/20190200/doi_10.1186_s41687-024-00761-5.md	b8f909cd41f6e78a60f33357e8ead8d5b7e5956785ab9364a33cd4c0a446d693	72470	input/projects/20190200/papers/doi_10.1186_s41687-024-00761-5.xml	f95d7846564d18d6ef81cb1a105f19785e6dfe0bc4732926b472f4e4166fb4fb	109477	frozen 209-paper JATS corpus
V2-P013	G013	10.1007/s11136-026-04230-y	corpus/1557-RA/doi_10.1007_s11136-026-04230-y.md	fc3cd1d5d1f416d96c470f1e6fc896d0e2611608d2b9ce61e6f558da9d16ef1b	68823	input/projects/1557-RA/papers/doi_10.1007_s11136-026-04230-y.xml	ab6a51b16fd7785ff1e29018cd5e659f8f0aaaa276dab7480be8c88b2b5911fc	177976	frozen 209-paper JATS corpus
V2-P014	G014	10.1186/s12955-025-02421-8	corpus/1627-RA/doi_10.1186_s12955-025-02421-8.md	4537712ebff158ad24bb9a223e9000698a6355d4538599d3bb44287adc91f7e5	219415	input/projects/1627-RA/papers/doi_10.1186_s12955-025-02421-8.xml	69f528610fb97eb60c0542a9778eaf007491e7722fbf685732feb7d3b1e8c694	580961	frozen 209-paper JATS corpus
V2-P015	G015	10.3390/cancers16111952	corpus/285-PHD/doi_10.3390_cancers16111952.md	988ed7c0fbcde3d5739aa46e55f11b691a9cf0cfc7adaa248e24427f931a764a	92054	input/projects/285-PHD/papers/doi_10.3390_cancers16111952.xml	a234cc4cc87528c5139eefd7aae433906b6ff3ef1fb655875d45011c7d336296	187669	frozen 209-paper JATS corpus
V2-P016	G016	10.1007/s40271-022-00573-z	corpus/20180510/doi_10.1007_s40271-022-00573-z.md	87546967999f6c5a21fc8bd2b7a96493080b09695f502b89787aedec94405c7d	89014	input/projects/20180510/papers/doi_10.1007_s40271-022-00573-z.xml	7f15562ef4da0a24362ddcb6c856abc4601a2edd2f5e1a229cf95156afb4d752	121217	frozen 209-paper JATS corpus
V2-P017	G017	10.1007/s11136-019-02256-z	corpus/2016160/doi_10.1007_s11136-019-02256-z.md	e1642f053a685d598acf236f90831e5eff6f74416e0780977193eb9ea46bac60	49267	input/projects/2016160/papers/doi_10.1007_s11136-019-02256-z.xml	d4ef335237248053539fe70aa144b7a96c8ed570348be0276a157a2b0eb7d358	83340	frozen 209-paper JATS corpus
V2-P018	G018	10.1007/s11136-025-03990-3	corpus/330-PHD/doi_10.1007_s11136-025-03990-3.md	171009067ec3beb38d0342b099ed4a4172530dea123ad3a96a6a5907bfd95ba1	77245	input/projects/330-PHD/papers/doi_10.1007_s11136-025-03990-3.xml	779355ba7f3a4862d6ff5866d36dace319081c0f9b7858e4b5f2d27a2402ddcd	141633	frozen 209-paper JATS corpus
V2-P019	G019	10.1007/s40273-024-01444-1	corpus/304-PHD/doi_10.1007_s40273-024-01444-1.md	e27029b44386f096dd26fc2f449114b07773a788ad1181b4378639882a3f53d2	32807	input/projects/304-PHD/papers/doi_10.1007_s40273-024-01444-1.xml	b908b254e120ba604b65b6fbf9515bb55da21e943ecf3337deed20ec67399722	75132	frozen 209-paper JATS corpus
V2-P020	G020	10.1371/journal.pone.0302886	corpus/348-PHD/doi_10.1371_journal.pone.0302886.md	9420b24805f77c45e43b06a4d79dde1108b29b495b94d16550687f99631dcbb5	188611	input/projects/348-PHD/papers/doi_10.1371_journal.pone.0302886.xml	a98c9ce6411424d4bd3bfda21c3bb3ec53185d624102a8c256bbd9e9ea3c21c6	289296	frozen 209-paper JATS corpus
V2-P021	G021	10.1097/mlr.0000000000002315	corpus/1787-RA/doi_10.1097_mlr.0000000000002315.md	1357ec5e1968fa90e5d089d20bce9aa717a605af481776e7fdac726471b62dad	55617	input/projects/1787-RA/papers/doi_10.1097_mlr.0000000000002315.xml	6450e29301da6d37d3974b1aba432c7594fddff77e353b283e314b2dfd9438f5	95937	frozen 209-paper JATS corpus
