entity_type	registry_id	canonical_label	parent_registry_id	applies_to_registry_id	variant_kind	language_code	jurisdiction	version	respondent_form	source_identifier	scope
Instrument	instrument:acceptability-scale	Acceptability Scale									GLOBAL
Instrument	instrument:ascot	Adult Social Care Outcomes Toolkit									GLOBAL
Instrument	instrument:asq-parent-report-form	Ages and Stages Questionnaire Parent Report Form			RESPONDENT_VERSION						GLOBAL
Instrument	instrument:barthel-index-10	Barthel Index, 10-item version			FORM_VERSION			10-item			GLOBAL
Instrument	instrument:c50-p049-eq-5d-3l-feasibility-questions	EQ-5D-3L feasibility questions			LOCAL_INSTRUMENT					10.3390/curroncol32060308	C50-P049
Instrument	instrument:chu9d	CHU9D									GLOBAL
Instrument	instrument:cnf-p002-doctor-agreement-scale	Study doctor-agreement scale			LOCAL_INSTRUMENT					10.1007/s11136-025-04145-0	CNF-P002
Instrument	instrument:cnf-p002-dutch-word-completion-test	Dutch death-thought-accessibility word-completion test			LOCAL_INSTRUMENT					10.1007/s11136-025-04145-0	CNF-P002
Instrument	instrument:cnf-p002-emotional-lability-questionnaire	Study emotional-lability questionnaire			LOCAL_INSTRUMENT					10.1007/s11136-025-04145-0	CNF-P002
Instrument	instrument:cnf-p006-revised-knee-decision-aid	Revised individualized knee decision aid			LOCAL_INSTRUMENT					10.1016/j.pecinn.2025.100421	CNF-P006
Instrument	instrument:cnf-p008-egypt-valuation-questionnaire	Egypt valuation-study country questionnaire			LOCAL_INSTRUMENT					10.1136/bmjopen-2021-051727	CNF-P008
Instrument	instrument:cnf-p015-self-rated-health-vas	Study self-rated-health VAS			LOCAL_INSTRUMENT					10.1186/s12955-022-01989-9	CNF-P015
Instrument	instrument:ecog-performance-status	ECOG Performance Status									GLOBAL
Instrument	instrument:eortc-qlq-c30	EORTC QLQ-C30									GLOBAL
Instrument	instrument:eortc-qlq-c30-global-health	EORTC QLQ-C30 global health subscale	instrument:eortc-qlq-c30		SUBSCALE						GLOBAL
Instrument	instrument:eq-5d	EQ-5D									GLOBAL
Instrument	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d		LEVEL_VERSION			3L			GLOBAL
Instrument	instrument:eq-5d-3l-proxy-v1	EQ-5D-3L proxy version 1	instrument:eq-5d-3l		RESPONDENT_VERSION			1	PROXY	10.3390/curroncol32060308	GLOBAL
Instrument	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d		LEVEL_VERSION			5L			GLOBAL
Instrument	instrument:eq-5d-5l-am-et	EQ-5D-5L, Amharic, Ethiopia	instrument:eq-5d-5l		LANGUAGE_EDITION	am	ET	5L		10.1186/s12955-024-02305-3	GLOBAL
Instrument	instrument:eq-5d-5l-ar-eg	EQ-5D-5L, Arabic, Egypt	instrument:eq-5d-5l		LANGUAGE_EDITION	ar	EG			10.1136/bmjopen-2021-051727	GLOBAL
Instrument	instrument:eq-5d-5l-zh-hant-tw	EQ-5D-5L, Traditional Chinese, Taiwan	instrument:eq-5d-5l		LANGUAGE_EDITION	zh-Hant	TW	5L		10.1371/journal.pone.0209344	GLOBAL
Instrument	instrument:eq-5d-y	EQ-5D-Y	instrument:eq-5d		RESPONDENT_VERSION				YOUTH		GLOBAL
Instrument	instrument:eq-5d-y-3l	EQ-5D-Y-3L	instrument:eq-5d-y		LEVEL_VERSION			3L	YOUTH		GLOBAL
Instrument	instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L, Simplified Chinese, China	instrument:eq-5d-y-3l		LANGUAGE_EDITION	zh-Hans	CN			10.1007/s11136-025-03917-y	GLOBAL
Instrument	instrument:eq-5d-y-4l	EQ-5D-Y-4L	instrument:eq-5d-y		LEVEL_VERSION			4L		10.1007/s11136-019-02115-x	GLOBAL
Instrument	instrument:eq-5d-y-5l	EQ-5D-Y-5L	instrument:eq-5d-y		LEVEL_VERSION			5L	YOUTH		GLOBAL
Instrument	instrument:eq-hwb	EQ-HWB									GLOBAL
Instrument	instrument:eq-hwb-9-proxy-en-au-v1	Experimental EQ-HWB-9 proxy questionnaire, English for Australia, version 1	instrument:eq-hwb-s		EXPERIMENTAL_VERSION	en	AU	1	PROXY	10.1007/s11136-026-04230-y	GLOBAL
Instrument	instrument:eq-hwb-s	EQ-HWB-S	instrument:eq-hwb		FORM_VERSION			SHORT			GLOBAL
Instrument	instrument:eq-tips	EQ-TIPS							PROXY		GLOBAL
