registry_id	alias	use_type
instrument:15d	15-D	Instrument
instrument:15d	15D (15-Dimensional)	Instrument
instrument:abbreviated-injury-scale	Abbreviated Injury Scale (AIS)	Instrument
instrument:aqol	AQOL	Instrument
instrument:aqol	AQoL	Instrument
instrument:aqol	AQOL (Assessment of Quality of Life)	Instrument
instrument:aqol	Assessment of Quality of Life (AQoL)	Instrument
instrument:aqol-6d	AQoL6D	Instrument
instrument:aqol-6d	Assessment of Quality of Life 6D (AQoL-6D)	Instrument
instrument:aqol-6d-adolescent	Assessment of Quality of Life (AQoL-6D) Adolescent	Instrument
instrument:aqol-6d-adolescent	Assessment of Quality of Life 6D (AQoL-6D) adolescent	Instrument
instrument:ascot	ASCOT	Instrument
instrument:ascot-carer	Adult Social Care Outcomes Toolkit for Carers (ASCOT-Carer)	Instrument
instrument:ascot-ch4	ASCOT care homes toolkit (CH4)	Instrument
instrument:ascot-int4	ASCOT interviewer-administered four-level version (INT4)	Instrument
instrument:ascot-proxy	ASCOT proxy version (proxy-proxy and proxy-person perspectives)	Instrument
instrument:ascot-sct4	ASCOT four-level self-complete (SCT4)	Instrument
instrument:ascot-sct4	ASCOT SCT-4 version (The Adult Social Care Outcomes Toolkit, self-report)	Instrument
instrument:ascot-sct4	ASCOT self-report four-level version (SCT4)	Instrument
instrument:asq-3-parent-report-form	Ages and Stages Questionnaire (Third Edition) (ASQ) Parent Report Form	Instrument
instrument:asq-parent-report-form	The Ages and Stages Questionnaire (ASQ) Parent Report Form	Instrument
instrument:audit	Alcohol Use Disorder Identification Test	Instrument
instrument:barthel-index-10	10-item version of the Barthel Index (BI)	Instrument
instrument:brief-health-literacy-screen	Brief questions to identify patients with inadequate health literacy (Chew et al.)	Instrument
instrument:brief-inventory-thriving	Brief Inventory of Thriving (BIT)	Instrument
instrument:brief-resilience-scale	Brief Resilience Scale (BRS)	Instrument
instrument:c-demqol-30	C-DEMQOL (30-item)	Instrument
instrument:c50-p049-eq-5d-3l-feasibility-questions	brief optional questions on the feasibility of completing the EQ-5D-3L	Instrument
instrument:cantab	Cambridge Neuropsychological Test Automated Battery (CANTAB)	Instrument
instrument:cantril-ladder	Cantril's Self-Anchoring Striving Scale	Instrument
instrument:carer-experience-scale	Carer Experience Scale (CES)	Instrument
instrument:carerqol-7d	Care-related Quality of Life instrument 7-Dimension (CarerQoL-7D)	Instrument
instrument:carerqol-7d	CarerQol (CarerQol-7D)	Instrument
instrument:cfq-11	Chalder Fatigue Questionnaire (CFQ-11)	Instrument
instrument:charlson-comorbidity-index-self-report	self-report version of the Charlson comorbidity index	Instrument
instrument:chu9d	Child Health Utility 9 Dimension (CHU-9D)	Instrument
instrument:chu9d	Child Health Utility 9D (CHU9D)	Instrument
instrument:chu9d	Child Health Utility Instrument (CHU9D)	Instrument
instrument:chu9d	CHU-9D	Instrument
instrument:chu9d	CHU-9D (Child Health Utility 9D)	Instrument
instrument:chu9d	CHU9D (Child Health Utility 9D)	Instrument
instrument:chu9d-proxy-under-5	Child Health Utility 9D (CHU9D) proxy version with guidance notes for children under 5 years	Instrument
instrument:cis-fatigue	Checklist Individual Strength (CIS), subscale 'subjective experience of fatigue'	Instrument
instrument:cnf-p002-doctor-agreement-scale	Agreement with the doctor index (five 9-point items, coma vignette)	Instrument
instrument:cnf-p002-doctor-agreement-scale	level of agreement with the medical doctor	Instrument
instrument:cnf-p002-dutch-word-completion-test	Dutch version of a validated word completion test	Instrument
instrument:cnf-p002-dutch-word-completion-test	Dutch word completion test for death thought accessibility (DTA)	Instrument
instrument:cnf-p002-emotional-lability-questionnaire	Emotional lability inventory (14 emotion questions and 10 affective reaction questions, 11-point scales)	Instrument
instrument:cnf-p002-emotional-lability-questionnaire	emotional lability questionnaire	Instrument
instrument:cnf-p006-revised-knee-decision-aid	revised individualized decision aid	Instrument
instrument:cnf-p008-egypt-valuation-questionnaire	Country specific questionnaire (Egyptian valuation study)	Instrument
instrument:cnf-p008-egypt-valuation-questionnaire	country-specific questionnaire designed for the Egyptian valuation study	Instrument
instrument:cnf-p015-self-rated-health-vas	VAS score Health	Instrument
instrument:cohip-g19-de	COHIP-G19 (German 19-item Child Oral Health Impact Profile)	Instrument
instrument:covid-pss	COVID-19 stigma (COVID PSS Scale)	Instrument
instrument:cpq-11-14	CPQ 11-14 (Child Perceptions Questionnaire)	Instrument
instrument:cq-11d	Chinese Medicine Quality of Life-11 Dimensions (CQ-11D)	Instrument
instrument:cshcn-screener	Children with SHCN screener (CSHCN screener)	Instrument
instrument:cshcn-screener	Children with Special Health Care Needs (CSHCN) screener	Instrument
instrument:cshcn-screener	Children with Special Health Care Needs (CSHCN) short screening questionnaire (Bethell et al.)	Instrument
instrument:cshcn-screener	Children with Special Health Care Needs (SHCN) Screener	Instrument
instrument:cshcn-screener	Special health care needs (SHCN) screening question / published special healthcare needs screener	Instrument
instrument:cshcn-screener	Two item Children with Special Health Care Needs (CSHCN) Screener	Instrument
instrument:csor	CSOR children's surgery outcome descriptive system (5 four-level, 1 three-level, 1 five-level attributes)	Instrument
instrument:ctm-3	Care Transitions Measure (CTM-3) embedded in HCAHPS	Instrument
instrument:cvp-covid-19-vaccination	CVP COVID-19 vaccination descriptive system (4 two-level and 1 four-level attributes)	Instrument
instrument:dsq-sf	short-form DePaul Symptom Questionnaire (DSQ-SF)	Instrument
instrument:dyspnoea-12	Dyspnoea-12 (D-12)	Instrument
instrument:e-qaly-64-candidate	E-QALY questionnaire (64 candidate items) administered in the 2019 Chinese online survey	Instrument
instrument:ecog-performance-status	Eastern Cooperative Oncology Group (ECOG) performance scale	Instrument
instrument:ecog-performance-status	Eastern Cooperative Oncology Group (ECOG) performance status	Instrument
instrument:eortc-qlq-c30	QLQ-C30	Instrument
instrument:eortc-qlq-c30-global-health	EORTC QLQ-C30 global health status subscale (anchor)	Instrument
instrument:eortc-qlq-c30-global-health	EORTC-QLQ-C30 global health subscale	Instrument
instrument:eortc-qlq-c30-v3	European Organization for Research and Treatment of Cancer Quality of Life Questionnaire Core-30 (EORTC QLQ-C30) version 3.0	Instrument
instrument:eq-4d	EQ-4D (EQ-5D-5L without self-care) self-report	Instrument
instrument:eq-5d	EQ-5D descriptive system	Instrument
instrument:eq-5d	EQ-5D instruments	Instrument
instrument:eq-5d	EQ-5D self-description (respondent's own health)	Instrument
instrument:eq-5d	European quality of life five dimensions (EQ-5D)	Instrument
instrument:eq-5d	EuroQol 5-Dimension	Instrument
instrument:eq-5d	Self-reported EQ-5D profile	Instrument
instrument:eq-5d-3l	brief optional questions on the feasibility of completing the EQ-5D-3L, participant demographics, and diagnosis (Supplementary File S2)	Instrument
instrument:eq-5d-3l	EQ- 5D- 3L	Instrument
instrument:eq-5d-3l	EQ-5D 3L	Instrument
instrument:eq-5d-3l	EQ-5D-3 L	Instrument
instrument:eq-5d-3l	EQ-5D-3L (3L)	Instrument
instrument:eq-5d-3l	EQ-5D-3L (self-complete version)	Instrument
instrument:eq-5d-3l	EQ-5D-3L (standard self-report version for adults)	Instrument
instrument:eq-5d-3l	EQ-5D-3L descriptive system	Instrument
instrument:eq-5d-3l	EQ-5D-3L descriptive system dimensions	Instrument
instrument:eq-5d-3l	EQ-5D-3L English source version (adult 3L)	Instrument
instrument:eq-5d-3l	EQ-5D-3L extended with cognition (EQ-5D + C)	Instrument
instrument:eq-5d-3l	EQ-5D3L (current health module)	Instrument
instrument:eq-5d-3l	EQ-5D3L (pre-injury module)	Instrument
instrument:eq-5d-3l	EuroQol’s EQ-5D-3L	Instrument
instrument:eq-5d-3l-bolton-breathing	breathing bolt-on (3-level)	Instrument
instrument:eq-5d-3l-bolton-self-confidence	self-confidence bolt-on (3-level)	Instrument
instrument:eq-5d-3l-bolton-sleep	sleep bolt-on (3-level)	Instrument
instrument:eq-5d-3l-bolton-social-relationships	social relationships bolt-on (3-level)	Instrument
instrument:eq-5d-3l-bolton-tiredness	tiredness bolt-on (3-level)	Instrument
instrument:eq-5d-3l-bolton-vision	vision bolt-on (3-level)	Instrument
instrument:eq-5d-3l-id-id	EQ-5D-3L Bahasa Indonesia	Instrument
instrument:eq-5d-3l-ny-mw	adult EQ-5D-3L Chichewa version	Instrument
instrument:eq-5d-3l-proxy-v1	EQ-5D-3L proxy version 1 in English	Instrument
instrument:eq-5d-3l-zh-hant-tw	EQ-5D-3L (Taiwan version)	Instrument
instrument:eq-5d-5l	adult EQ-5D-5L	Instrument
instrument:eq-5d-5l	adult EQ-5D-5L for children aged 12 years and older	Instrument
instrument:eq-5d-5l	EQ-5D 5L	Instrument
instrument:eq-5d-5l	EQ-5D-5 L	Instrument
instrument:eq-5d-5l	EQ-5D-5L (5L)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (adult five-level version)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (completed by MIC study respondents)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (EQ-5D five-level version)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (EuroQol health-related quality of life questionnaire)	Instrument
