publication_id	author_order	source_name	candidate_person_id	canonical_name	resolution_method	resolution_status	note
doi:10.1007/s10198-023-01647-x	2	Kim Rand	person:eqmember:17897	Kim Rand	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1007/s40273-024-01379-7	6	On behalf of the QUOKKA (Quality of Life in Kids: Key Evidence for Decision Makers in Australia) Team	group:quokka-project-team	in collaboration with the Quality Of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1007/s40273-024-01382-y	6	the QUOKKA (Quality of Life in Kids: Key Evidence for Decision Makers in Australia) Team	group:quokka-project-team	in collaboration with the Quality Of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2023.03.003	2	Jie Jiang	person:openalex:A5101422734	Jie Jiang	AMBIGUOUS_EXTERNAL_IDENTIFIER	UNRESOLVED	
doi:10.1016/j.jval.2023.03.003	5	Yu Fang	person:orcid:0000-0003-3187-2007	Yu Fang	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2024.06.018	1	Zhihao Yang	person:eqmember:18019	Zhihao Yang	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2024.06.018	2	Kim Rand	person:eqmember:17897	Kim Rand	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2025.02.001	3	Ruinan Xie	person:author:b27c6ab473e42c53	Ruinan Xie	PUBLICATION_LOCAL	UNRESOLVED	
doi:10.1016/j.jval.2025.02.001	4	Ziran Yin	person:author:f71bb2323624605d	Ziran Yin	PUBLICATION_LOCAL	UNRESOLVED	
doi:10.1016/j.jval.2025.02.001	12	Feng Xie	person:eqmember:17851	Feng Xie	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2025.04.2160	2	Lidia Engel	person:eqmember:17911	Lidia Engel	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2025.04.2160	3	Fanni Rencz	person:eqmember:17845	Fanni Rencz	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2025.05.013	1	Cate Bailey	person:eqmember:21677	Cate Bailey	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2025.11.005	9	Nan Luo	person:eqmember:17944	Nan Luo	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2026.01.001	3	Fanni Rencz	person:eqmember:17845	Fanni Rencz	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1016/j.jval.2026.02.013	3	Fanni Rencz	person:eqmember:17845	Fanni Rencz	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1136/archdischild-2025-329475	2	Nancy Devlin	person:eqmember:17946	Nancy Devlin	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1136/archdischild-2025-329475	5	Brendan Mulhern	person:eqmember:17807	Brendan Mulhern	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02561-5	1	Jonathan L. Nazari	person:orcid:0000-0002-4758-7588	Jonathan Nazari	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02578-w	1	Tessa Peasgood	person:eqmember:17998	Tessa Peasgood	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02578-w	2	Victoria Gale	person:orcid:0000-0001-7472-2039	Victoria Gale	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02578-w	3	Aisha Moolla	person:orcid:0000-0002-9768-5389	Aisha Moolla	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02578-w	4	Jill Carlton	person:leader:63cb6b329986	Jill Carlton	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.1186/s12955-026-02578-w	5	Clara Mukuria	person:eqmember:17819	Clara Mukuria	EXACT_CANONICAL_NAME	ACCEPTED	
doi:10.12688/wellcomeopenres.21408.2	1	Paul Schneider	person:leader:0a4ba2690908	Paul Schneider	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	2	Kristina Ludwig	person:eqmember:17905	Kristina Ludwig	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	4	Emily McDool	person:leader:4a5cd1710c94	Emily McDool	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	5	Tessa Peasgood	person:eqmember:17998	Tessa Peasgood	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	6	Nancy Devlin	person:eqmember:17946	Nancy Devlin	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	7	Koonal Shah	person:eqmember:17901	Koonal Shah	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	8	John Brazier	person:eqmember:17885	John Brazier	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.12688/wellcomeopenres.21408.2	9	Wolfgang Greiner	person:eqmember:18010	Wolfgang Greiner	EXACT_CANONICAL_NAME	ACCEPTED	no unique OpenAlex authorship alignment
doi:10.3390/econometrics11010004	4	William Greene	person:openalex:A5025774387	William H. Greene	EXACT_CANONICAL_NAME	ACCEPTED	
