person_id	display_name	family_name	given_names	orcid	openalex_id	euroqol_member_id	member_affiliation	member_profile_url	membership_observed_date	is_project_leader	is_euroqol_member	identity_status	candidate_openalex_id	entity_kind
person:leader:b6c238df2db2	Aaron Winn	Winn	Aaron	0000-0003-2906-3913	A5066367734					1	0	PROFILE_ACCEPTED		PERSON
person:leader:f6aec8a6037d	Abdelghafour MARFAK	MARFAK	Abdelghafour	0000-0002-4212-8438	A5024805890					1	0	PROFILE_ACCEPTED		PERSON
person:leader:bfeb5ef06782	Abdulhamid Musa	Musa	Abdulhamid							1	0	NO_EXTERNAL_PROFILE		PERSON
person:leader:6dd0ed1ee17e	Abdulmuminu Isah	Isah	Abdulmuminu	0000-0002-1349-6434	A5024575926					1	0	PROFILE_ACCEPTED		PERSON
person:leader:c00eb6bf5d72	Abdulrasheed Hassan Yusuf	Yusuf	Abdulrasheed Hassan		A5138651068					1	0	PROFILE_ACCEPTED		PERSON
person:leader:3722354a14bd	Abeer Al Rabayah	Rabayah	Abeer Al	0000-0003-2952-9103	A5058964513					1	0	PROFILE_ACCEPTED		PERSON
person:eqmember:17787	Abraham Gebregziabiher	Gebregziabiher	Abraham	0000-0003-4661-7287	A5061701004	17787	1School of Pharmacy, College of Health Science, Mekelle University.	https://euroqol.org/about-us/our-members/member-detail/?memberid=17787	2026-08-21	1	1	PROFILE_ACCEPTED		PERSON
person:leader:a0721a90a44f	Ademola Itiola	Itiola	Ademola		A5093433205					1	0	PROFILE_ACCEPTED		PERSON
person:leader:7cc6d6bc4d21	Afewerki Gebremeskel	Gebremeskel	Afewerki							1	0	NO_EXTERNAL_PROFILE		PERSON
person:eqmember:17789	Agota Szende	Szende	Agota	0000-0002-5880-3354	A5002095623	17789	Covance Health Economics & Outcomes Services	https://euroqol.org/about-us/our-members/member-detail/?memberid=17789	2026-08-21	1	1	PROFILE_ACCEPTED		PERSON
person:leader:b1d2e25ed336	Ahmed Hamdan AlJedai	AlJedai	Ahmed Hamdan							1	0	NO_EXTERNAL_PROFILE		PERSON
person:leader:db0cd1478ab2	Akanksha Akanksha	Akanksha	Akanksha	0000-0002-4899-7538	A5031359113					1	0	PROFILE_NOT_ACCEPTED_FOR_DISCOVERY	A5101596594	PERSON
person:eqmember:17790	Aki Tsuchiya	Tsuchiya	Aki	0000-0003-4245-5399	A5015417862	17790	University of Sheffield	https://euroqol.org/about-us/our-members/member-detail/?memberid=17790	2026-08-21	1	1	PROFILE_ACCEPTED		PERSON
person:leader:5f455f61d442	Alex Bató	Bató	Alex	0000-0002-1450-4790	A5009546494					1	0	PROFILE_ACCEPTED		PERSON
person:leader:3063ea56e68a	Alexander Arons	Arons	Alexander		A5044999875					1	0	PROFILE_ACCEPTED		PERSON
person:leader:81812806310c	Alexander Geissler	Geissler	Alexander	0000-0002-7445-2929						1	0	PROFILE_NOT_ACCEPTED_FOR_DISCOVERY	A5089010455	PERSON
person:leader:1ed27ee96b5d	Alexander van Heusden	Heusden	Alexander van	0009-0007-8055-5450	A5070658848					1	0	PROFILE_NOT_ACCEPTED_FOR_DISCOVERY	A5070658848	PERSON
person:eqmember:21551	Alice Yu	Yu	Alice	0000-0003-2444-0505		21551	Centre for Health Economics and Research Evaluation (CHERE)	https://euroqol.org/about-us/our-members/member-detail/?memberid=21551	2026-08-21	1	1	PROFILE_NOT_ACCEPTED_FOR_DISCOVERY	A5055148154	PERSON
person:leader:b95f9aa0caf2	Andrea L. Monteiro	Monteiro	Andrea L.	0000-0001-9763-3485	A5024494805					1	0	PROFILE_ACCEPTED		PERSON
person:leader:a7d2d90e410a	Andrew Lenny	Lenny	Andrew	0000-0002-9325-0062	A5029564514					1	0	PROFILE_ACCEPTED		PERSON
person:eqmember:17791	Andrew Lloyd	Lloyd	Andrew	0000-0002-7597-6556	A5031114648	17791	Acaster Lloyd	https://euroqol.org/about-us/our-members/member-detail/?memberid=17791	2026-08-21	1	1	PROFILE_ACCEPTED		PERSON
person:leader:c52a5fd501e9	Ann Charlotte Egmar	Egmar	Ann Charlotte	0000-0003-2504-343x	A5037683865					1	0	PROFILE_ACCEPTED		PERSON
person:eqmember:17793	Anna Krabbe-Lugner	Krabbe-Lugner	Anna		A5047866823	17793	Ministry of Infrastructure and Water Management, the Netherlands	https://euroqol.org/about-us/our-members/member-detail/?memberid=17793	2026-08-21	1	1	PROFILE_ACCEPTED		PERSON
person:leader:eb823a3d3fe9	Annette Regan	Regan	Annette	0000-0002-3879-6193	A5010948852					1	0	PROFILE_ACCEPTED		PERSON
person:leader:da2b6bcaceb6	Annushiah Vasan Thakumar	Thakumar	Annushiah Vasan	0000-0001-7261-1255	A5007225491					1	0	PROFILE_ACCEPTED		PERSON
person:leader:ad85e8f1703b	Antony Martin	Martin	Antony	0000-0003-4383-6038						1	0	PROFILE_NOT_ACCEPTED_FOR_DISCOVERY	A5070568819	PERSON
person:leader:c2ede8bddc17	Arjun Bhadhuri	Bhadhuri	Arjun	0000-0003-1220-0731	A5064578943					1	0	PROFILE_ACCEPTED		PERSON
