person_id	scheme	value	source
person:eqmember:17787	OPENALEX	A5061701004	doi:10.1186/s12955-024-02305-3
person:eqmember:17787	ORCID	0000-0003-4661-7287	doi:10.1186/s12955-024-02305-3
person:eqmember:17790	OPENALEX	A5015417862	doi:10.1186/s12955-021-01858-x
person:eqmember:17790	ORCID	0000-0003-4245-5399	doi:10.1186/s12955-021-01858-x
person:eqmember:17791	OPENALEX	A5031114648	doi:10.3390/children8100920
person:eqmember:17791	OPENALEX	A5035121844	doi:10.1007/s11136-024-03875-x
person:eqmember:17791	ORCID	0000-0002-2253-1342	doi:10.1007/s11136-024-03875-x
person:eqmember:17791	ORCID	0000-0002-7597-6556	doi:10.3390/children8100920
person:eqmember:17795	OPENALEX	A5087246819	doi:10.1186/s12955-023-02207-w
person:eqmember:17795	ORCID	0000-0002-7094-1573	doi:10.1186/s12955-023-02207-w
person:eqmember:17797	OPENALEX	A5071771037	doi:10.1007/s11136-021-03075-x
person:eqmember:17797	ORCID	0000-0001-6307-6916	doi:10.1007/s11136-021-03075-x
person:eqmember:17799	OPENALEX	A5032690231	doi:10.1007/s11136-022-03304-x
person:eqmember:17799	ORCID	0000-0001-9698-6094	doi:10.1007/s11136-022-03304-x
person:eqmember:17803	OPENALEX	A5076720276	doi:10.1186/s12955-026-02478-z
person:eqmember:17803	OPENALEX	A5088093819	doi:10.1007/s12311-024-01657-2
person:eqmember:17803	OPENALEX	A5132642210	doi:10.1007/s11136-026-04229-5
person:eqmember:17803	ORCID	0000-0002-3425-0089	doi:10.1007/s12311-024-01657-2
person:eqmember:17805	OPENALEX	A5028508726	doi:10.1186/s12955-024-02323-1
person:eqmember:17805	ORCID	0000-0001-5000-0875	doi:10.1186/s12955-024-02323-1
person:eqmember:17807	OPENALEX	A5090013218	doi:10.3390/children8080714
person:eqmember:17807	ORCID	0000-0003-3656-8063	doi:10.3390/children8080714
person:eqmember:17811	OPENALEX	A5041610413	doi:10.1186/s12955-023-02177-z
person:eqmember:17811	ORCID	0000-0002-6895-6071	doi:10.1186/s12955-023-02177-z
person:eqmember:17817	OPENALEX	A5047944478	doi:10.1007/s40258-021-00639-3
person:eqmember:17817	ORCID	0000-0003-3881-9890	doi:10.1007/s40258-021-00639-3
person:eqmember:17819	OPENALEX	A5043083823	doi:10.1186/s12955-024-02303-5
person:eqmember:17819	ORCID	0000-0003-4318-1481	doi:10.1186/s12955-024-02303-5
person:eqmember:17821	OPENALEX	A5009132187	doi:10.1177/0272989x21999607
person:eqmember:17821	ORCID	0000-0001-5959-8447	doi:10.1177/0272989x21999607
person:eqmember:17823	OPENALEX	A5081956728	doi:10.2196/27669
person:eqmember:17823	ORCID	0000-0002-9990-8208	doi:10.2196/27669
person:eqmember:17827	OPENALEX	A5053497885	doi:10.1007/s40271-025-00735-9
person:eqmember:17827	ORCID	0000-0002-4476-0656	doi:10.1007/s40271-025-00735-9
person:eqmember:17829	OPENALEX	A5038664789	doi:10.1186/s12955-020-01410-3
person:eqmember:17829	ORCID	0000-0003-3943-7392	doi:10.1186/s12955-020-01410-3
person:eqmember:17831	OPENALEX	A5035126117	doi:10.1017/s0266462326103602
person:eqmember:17831	ORCID	0000-0001-7741-4760	doi:10.1017/s0266462326103602
person:eqmember:17833	OPENALEX	A5067226056	doi:10.1186/s12955-021-01858-x
person:eqmember:17833	ORCID	0000-0003-3018-5109	doi:10.1186/s12955-021-01858-x
person:eqmember:17835	OPENALEX	A5029465719	doi:10.3390/curroncol32110645
person:eqmember:17835	ORCID	0000-0003-4265-1330	doi:10.3390/curroncol32110645
person:eqmember:17837	OPENALEX	A5033903811	doi:10.3389/fpsyg.2023.1175402
person:eqmember:17837	ORCID	0000-0001-5968-0416	doi:10.3389/fpsyg.2023.1175402
person:eqmember:17839	OPENALEX	A5037314317	doi:10.3390/nu16162591
person:eqmember:17839	OPENALEX	A5138147876	doi:10.1007/s11136-026-04285-x
person:eqmember:17839	ORCID	0000-0001-9962-7775	doi:10.3390/nu16162591
person:eqmember:17843	OPENALEX	A5056976700	doi:10.1007/s10198-018-0987-x
person:eqmember:17843	ORCID	0000-0003-4689-265x	doi:10.1007/s10198-018-0987-x
person:eqmember:17845	OPENALEX	A5024021740	doi:10.1186/s12955-026-02521-z
person:eqmember:17845	OPENALEX	A5076618112	doi:10.1007/s11136-026-04242-8
person:eqmember:17845	OPENALEX	A5124885266	doi:10.1007/s11136-025-04145-0
person:eqmember:17845	ORCID	0000-0001-9674-620x	doi:10.1186/s12955-026-02521-z
person:eqmember:17847	OPENALEX	A5026033494	doi:10.1186/s12955-023-02207-w
person:eqmember:17847	OPENALEX	A5058978537	doi:10.1186/s41687-025-00985-z
person:eqmember:17847	OPENALEX	A5130247173	doi:10.1097/mlr.0000000000002315
person:eqmember:17847	ORCID	0000-0003-3891-5452	doi:10.1186/s12955-023-02207-w
person:eqmember:17849	OPENALEX	A5126969419	doi:10.1017/s0266462326103602
person:eqmember:17851	OPENALEX	A5102994482	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17851	OPENALEX	A5124054846	doi:10.1186/s12955-026-02478-z
person:eqmember:17851	ORCID	0000-0003-3454-6266	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17855	OPENALEX	A5059806422	doi:10.1371/journal.pone.0200966
person:eqmember:17855	OPENALEX	A5126954425	doi:10.1017/s0266462326103602
person:eqmember:17855	ORCID	0000-0002-7336-3043	doi:10.1371/journal.pone.0200966
person:eqmember:17861	OPENALEX	A5047977076	doi:10.3390/nu16162591
person:eqmember:17861	ORCID	0000-0002-8364-1086	doi:10.3390/nu16162591
person:eqmember:17867	OPENALEX	A5090969739	doi:10.1186/s12955-024-02323-1
person:eqmember:17867	ORCID	0000-0002-4479-9948	doi:10.1186/s12955-024-02323-1
person:eqmember:17869	OPENALEX	A5043257626	doi:10.1007/s40273-022-01172-4
person:eqmember:17869	ORCID	0000-0001-9729-6992	doi:10.1007/s40273-022-01172-4
person:eqmember:17871	OPENALEX	A5055862397	doi:10.1007/s11136-020-02712-1
person:eqmember:17871	ORCID	0000-0002-7019-3720	doi:10.1007/s11136-020-02712-1
person:eqmember:17873	OPENALEX	A5052181611	doi:10.1007/s11136-026-04294-w
person:eqmember:17873	ORCID	0000-0001-9472-2669	doi:10.1007/s11136-026-04294-w
person:eqmember:17875	OPENALEX	A5020122364	doi:10.1371/journal.pone.0197098
person:eqmember:17875	ORCID	0000-0002-8602-0381	doi:10.1371/journal.pone.0197098
person:eqmember:17877	OPENALEX	A5006452129	doi:10.3390/children8100920
person:eqmember:17877	OPENALEX	A5122371586	doi:10.1007/s11136-025-04150-3
person:eqmember:17877	ORCID	0000-0002-1148-4747	doi:10.3390/children8100920
person:eqmember:17879	OPENALEX	A5067514299	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17879	ORCID	0000-0001-8290-2857	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17881	OPENALEX	A5064611767	doi:10.3390/children8100920
person:eqmember:17881	ORCID	0000-0003-4049-8395	doi:10.3390/children8100920
person:eqmember:17885	OPENALEX	A5007276743	doi:10.1186/s12955-021-01858-x
person:eqmember:17885	ORCID	0000-0001-8645-4780	doi:10.1186/s12955-021-01858-x
person:eqmember:17889	OPENALEX	A5050078092	doi:10.3390/nu16162591
person:eqmember:17889	ORCID	0000-0003-0424-6887	doi:10.3390/nu16162591
person:eqmember:17893	OPENALEX	A5047957689	doi:10.3390/ijerph19138208
person:eqmember:17893	OPENALEX	A5049678494	doi:10.1371/journal.pone.0305983
person:eqmember:17893	ORCID	0000-0002-9568-5190	doi:10.3390/ijerph19138208
person:eqmember:17895	OPENALEX	A5060133399	doi:10.3390/nu16162591
person:eqmember:17895	OPENALEX	A5114155705	doi:10.3389/ijph.2026.1608807
person:eqmember:17895	OPENALEX	A5138175377	doi:10.1007/s11136-026-04285-x
person:eqmember:17895	ORCID	0000-0002-2055-548x	doi:10.3390/nu16162591
person:eqmember:17897	OPENALEX	A5041551368	doi:10.1186/s41687-020-00247-0
person:eqmember:17897	ORCID	0000-0001-7692-4099	doi:10.1186/s41687-020-00247-0
person:eqmember:17899	OPENALEX	A5033845511	doi:10.1007/s11136-025-04133-4
person:eqmember:17899	ORCID	0000-0003-4512-8000	doi:10.1007/s11136-025-04133-4
person:eqmember:17901	OPENALEX	A5083575745	doi:10.1371/journal.pone.0302886
person:eqmember:17901	ORCID	0000-0002-4927-7858	doi:10.1371/journal.pone.0302886
person:eqmember:17905	OPENALEX	A5035184665	doi:10.1186/s12955-017-0617-9
person:eqmember:17905	ORCID	0000-0002-4306-4667	doi:10.1186/s12955-017-0617-9
person:eqmember:17911	OPENALEX	A5039737173	doi:10.1186/s12955-026-02478-z
person:eqmember:17911	ORCID	0000-0002-7959-3149	doi:10.1186/s12955-026-02478-z
person:eqmember:17913	OPENALEX	A5057802030	doi:10.1186/s12955-023-02131-z
person:eqmember:17913	ORCID	0000-0001-8043-0411	doi:10.1186/s12955-022-02083-w
person:eqmember:17916	OPENALEX	A5046647690	doi:10.1017/s0266462326103602
person:eqmember:17916	ORCID	0000-0003-2512-4862	doi:10.1017/s0266462326103602
person:eqmember:17918	OPENALEX	A5121517102	doi:10.1017/s0266462326103602
person:eqmember:17920	OPENALEX	A5063358434	doi:10.3389/fpsyg.2023.1175402
person:eqmember:17920	ORCID	0000-0001-8433-1402	doi:10.3389/fpsyg.2023.1175402
person:eqmember:17922	OPENALEX	A5070231679	doi:10.1007/s40273-024-01404-9
person:eqmember:17922	ORCID	0000-0002-2174-6800	doi:10.1007/s40273-024-01404-9
person:eqmember:17924	OPENALEX	A5023709885	doi:10.1007/s40273-019-00876-4
person:eqmember:17924	ORCID	0000-0003-4286-8855	doi:10.1007/s40273-019-00876-4
person:eqmember:17928	OPENALEX	A5086031530	doi:10.1002/hec.4529
person:eqmember:17928	ORCID	0000-0003-4804-235x	doi:10.1002/hec.4529
person:eqmember:17930	OPENALEX	A5006750775	doi:10.3961/jpmph.22.151
person:eqmember:17930	OPENALEX	A5101442953	doi:10.1007/s40273-025-01473-4
person:eqmember:17930	OPENALEX	A5107835766	doi:10.1186/s12955-024-02290-7
person:eqmember:17930	OPENALEX	A5122382360	doi:10.1186/s13643-025-03060-2
person:eqmember:17930	ORCID	0000-0002-8189-5357	doi:10.3961/jpmph.22.151
person:eqmember:17930	ORCID	0000-0003-0423-6005	doi:10.1007/s40273-025-01473-4
person:eqmember:17934	OPENALEX	A5015781187	doi:10.1186/s12955-024-02271-w
person:eqmember:17934	ORCID	0000-0002-0006-6769	doi:10.1186/s12955-024-02271-w
person:eqmember:17936	OPENALEX	A5112963139	doi:10.1007/s11136-025-03983-2
person:eqmember:17937	OPENALEX	A5076374306	doi:10.1007/s11136-022-03304-x
person:eqmember:17937	ORCID	0000-0002-5298-174x	doi:10.1007/s11136-022-03304-x
person:eqmember:17938	OPENALEX	A5055089597	doi:10.1186/s13643-025-03060-2
person:eqmember:17938	ORCID	0000-0002-6711-5262	doi:10.1186/s13643-025-03060-2
person:eqmember:17940	OPENALEX	A5015763173	doi:10.3961/jpmph.22.151
person:eqmember:17940	ORCID	0000-0002-4574-1318	doi:10.3961/jpmph.22.151
person:eqmember:17944	OPENALEX	A5064398143	doi:10.3961/jpmph.22.151
person:eqmember:17944	OPENALEX	A5126954647	doi:10.1017/s0266462326103602
person:eqmember:17944	OPENALEX	A5133014501	doi:10.1186/s12955-026-02521-z
person:eqmember:17944	ORCID	0000-0001-7980-6979	doi:10.3961/jpmph.22.151
person:eqmember:17946	OPENALEX	A5029151069	doi:10.1177/0272989x251380556
person:eqmember:17946	OPENALEX	A5103206776	doi:10.3390/children8080714
person:eqmember:17946	OPENALEX	A5108295899	doi:10.1371/journal.pone.0302886
person:eqmember:17946	OPENALEX	A5122364749	doi:10.1007/s11136-025-04150-3
person:eqmember:17946	ORCID	0000-0002-1561-5361	doi:10.3390/children8080714
