person_id	name	name_type	source
group:eq-daphnie-project-team	the EQ-DAPHNIE Project TeamJohnsonJeffreyJanssenMathieu F.Al SayahFatimaBaileyHenryGhandiMihirGolickiDominikGutackerNilsMulhernBrendenPurbaFredrickScottDesSullivanTrudyYangZhihaoZarateVictorShortHilary	PUBLICATION_NAME	doi:10.1007/s11136-025-04074-y
group:esmi-study-group	The ESMI study group	PUBLICATION_NAME	doi:10.1007/s12311-023-01597-3
group:esmi-study-group	the ESMI study group	PUBLICATION_NAME	doi:10.1007/s12311-024-01657-2
group:eurosca-study-group	The EUROSCA study group	PUBLICATION_NAME	doi:10.1007/s12311-023-01597-3
group:eurosca-study-group	the EUROSCA study group	PUBLICATION_NAME	doi:10.1007/s12311-024-01657-2
group:impact-hta-hrqol-group	IMPACT HTA HRQoL Group	PUBLICATION_NAME	doi:10.1007/s40273-020-00994-4
group:impact-hta-hrqol-group	IMPACT HTA HRQoL Group	PUBLICATION_NAME	doi:10.1007/s40273-022-01143-9
group:quokka-project-team	Quality of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project teamNormanRichardVineyRosalieRatcliffeJulie	PUBLICATION_NAME	doi:10.1007/s11136-026-04246-4
group:quokka-project-team	in collaboration with the Quality Of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team	PUBLICATION_NAME	doi:10.1007/s10198-025-01804-4
group:quokka-project-team	in collaboration with the Quality Of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team	PUBLICATION_NAME	doi:10.1007/s40273-024-01354-2
group:quokka-project-team	on behalf of the QUality Of life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team	PUBLICATION_NAME	doi:10.1371/journal.pone.0319227
group:quokka-project-team	on behalf of the Quality Of Life in Kids: Key Evidence to Strengthen Decisions in Australia (QUOKKA) Project Team	PUBLICATION_NAME	doi:10.3390/children8080714
group:quokka-project-team	on behalf of the Quality of Life in Kids: Key Evidence to Strengthen Decisions in Australia (QUOKKA) Project Team	PUBLICATION_NAME	doi:10.1007/s40273-023-01330-2
group:quokka-project-team	on behalf of the Quality of Life in Kids: Key Evidence to Strengthen Decisions in Australia (QUOKKA) Project Team	PUBLICATION_NAME	doi:10.3390/children10101604
group:swedish-quality-register-study-group	The Swedish Quality Register (SWEQR) Study Group	PUBLICATION_NAME	doi:10.1136/bmjopen-2020-048176
group:swedish-quality-register-study-group	The Swedish Quality Register (SWEQR) Study Group	PUBLICATION_NAME	doi:10.1186/s12955-023-02115-z
group:swedish-quality-register-study-group	The Swedish Quality Register (SWEQR) Study Group	PUBLICATION_NAME	doi:10.2196/27669
person:author:doi:10.1007/s11136-025-03996-x:10	Abby Palmer	PUBLICATION_NAME	doi:10.1007/s11136-025-03996-x
