project_id	person_id	role	source_name	resolution_method	resolution_status
100-RA	person:eqmember:17805	PRINCIPAL_INVESTIGATOR	Bram Roudijk	CANONICAL_PROJECT_SOURCE	ACCEPTED
102-RA	person:eqmember:17847	PRINCIPAL_INVESTIGATOR	Fatima Al Sayah	CANONICAL_PROJECT_SOURCE	ACCEPTED
103-RA	person:eqmember:18021	PRINCIPAL_INVESTIGATOR	Zhuxin Mao	CANONICAL_PROJECT_SOURCE	ACCEPTED
104-RA	person:eqmember:17821	PRINCIPAL_INVESTIGATOR	David Mott	CANONICAL_PROJECT_SOURCE	ACCEPTED
109-RA	person:eqmember:17835	PRINCIPAL_INVESTIGATOR	Eleanor Pullenayegum	CANONICAL_PROJECT_SOURCE	ACCEPTED
111-RA	person:leader:50cca9cff5d9	PRINCIPAL_INVESTIGATOR	Kim Dalziel	CANONICAL_PROJECT_SOURCE	ACCEPTED
115-RA	person:eqmember:17968	PRINCIPAL_INVESTIGATOR	Peep Stalmeier	CANONICAL_PROJECT_SOURCE	ACCEPTED
116-RA	person:eqmember:17815	PRINCIPAL_INVESTIGATOR	Chris Sampson	CANONICAL_PROJECT_SOURCE	ACCEPTED
117-RA	person:eqmember:17901	PRINCIPAL_INVESTIGATOR	Koonal Shah	CANONICAL_PROJECT_SOURCE	ACCEPTED
118-RA	person:leader:c4ed61eb8dc6	PRINCIPAL_INVESTIGATOR	Philip Clarke	CANONICAL_PROJECT_SOURCE	ACCEPTED
119-RA	person:eqmember:17845	PRINCIPAL_INVESTIGATOR	Fanni Rencz	CANONICAL_PROJECT_SOURCE	ACCEPTED
120-RA	person:eqmember:17992	PRINCIPAL_INVESTIGATOR	Stefan A. Lipman	CANONICAL_PROJECT_SOURCE	ACCEPTED
122-RA	person:eqmember:19003	PRINCIPAL_INVESTIGATOR	Aureliano Paolo Finch	CANONICAL_PROJECT_SOURCE	ACCEPTED
123-RA	person:eqmember:17954	PRINCIPAL_INVESTIGATOR	Nils Gutacker	CANONICAL_PROJECT_SOURCE	ACCEPTED
124-VS	person:eqmember:17984	PRINCIPAL_INVESTIGATOR	Dewilde Sarah	CANONICAL_PROJECT_SOURCE	ACCEPTED
127-RA	person:eqmember:18018	PRINCIPAL_INVESTIGATOR	You-Shan Feng	CANONICAL_PROJECT_SOURCE	ACCEPTED
128-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Luo Nan	CANONICAL_PROJECT_SOURCE	ACCEPTED
133-RA	person:eqmember:17787	PRINCIPAL_INVESTIGATOR	Abraham Gebregziabiher Welie	CANONICAL_PROJECT_SOURCE	ACCEPTED
134-RA	person:eqmember:17833	PRINCIPAL_INVESTIGATOR	Donna Rowen	CANONICAL_PROJECT_SOURCE	ACCEPTED
137-RA	person:eqmember:17851	PRINCIPAL_INVESTIGATOR	Feng Xie	CANONICAL_PROJECT_SOURCE	ACCEPTED
138-RA	person:leader:9f2c2404b4d6	PRINCIPAL_INVESTIGATOR	Suzana Karim	CANONICAL_PROJECT_SOURCE	ACCEPTED
139-RA	person:leader:9f2c2404b4d6	PRINCIPAL_INVESTIGATOR	Suzana Karim	CANONICAL_PROJECT_SOURCE	ACCEPTED
140-RA	person:leader:570ea90166a5	PRINCIPAL_INVESTIGATOR	Nadine Zawadzkli	CANONICAL_PROJECT_SOURCE	ACCEPTED
1404-RA	person:eqmember:17946	PRINCIPAL_INVESTIGATOR	Nancy Devlin	CANONICAL_PROJECT_SOURCE	ACCEPTED
141-RA	person:eqmember:17895	PRINCIPAL_INVESTIGATOR	Juanita Haagsma	CANONICAL_PROJECT_SOURCE	ACCEPTED
1411-VS	person:leader:f6aec8a6037d	PRINCIPAL_INVESTIGATOR	Abdelghafour MARFAK	CANONICAL_PROJECT_SOURCE	ACCEPTED
1413-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1414-EO	person:eqmember:17867	PRINCIPAL_INVESTIGATOR	Henry Bailey	CANONICAL_PROJECT_SOURCE	ACCEPTED
1415-RA	person:leader:c4ed61eb8dc6	PRINCIPAL_INVESTIGATOR	Professor Philip Clarke	CANONICAL_PROJECT_SOURCE	ACCEPTED
142-RA	person:eqmember:17877	PRINCIPAL_INVESTIGATOR	Janine Verstraete	CANONICAL_PROJECT_SOURCE	ACCEPTED
144-RA	person:leader:ff8b4f185128	PRINCIPAL_INVESTIGATOR	Darshini Govindasamy	CANONICAL_PROJECT_SOURCE	ACCEPTED
1445-RA	person:eqmember:17922	PRINCIPAL_INVESTIGATOR	Marisa Santos	CANONICAL_PROJECT_SOURCE	ACCEPTED
1447-RA	person:leader:bfbf7cf35751	PRINCIPAL_INVESTIGATOR	M. Elske van den Akker-van Marle	CANONICAL_PROJECT_SOURCE	ACCEPTED
145-RA	person:leader:c2d00c5008f7	PRINCIPAL_INVESTIGATOR	Joshua Bonsel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1453-RA	person:eqmember:17863	PRINCIPAL_INVESTIGATOR	Hannah Penton	CANONICAL_PROJECT_SOURCE	ACCEPTED
1455-RA	person:leader:4a5cd1710c94	PRINCIPAL_INVESTIGATOR	Emily McDool	CANONICAL_PROJECT_SOURCE	ACCEPTED
1456-PD	person:leader:bc605a168c15	PRINCIPAL_INVESTIGATOR	Teresa Tsui	CANONICAL_PROJECT_SOURCE	ACCEPTED
1462-PHD	person:leader:8677f310bcd0	PRINCIPAL_INVESTIGATOR	Vivian Reckers-Droog	CANONICAL_PROJECT_SOURCE	ACCEPTED
1463-PHD	person:leader:c3e60eaa5362	PRINCIPAL_INVESTIGATOR	Teresa Bago d'Uva	CANONICAL_PROJECT_SOURCE	ACCEPTED
1465-VS	person:eqmember:17847	PRINCIPAL_INVESTIGATOR	Fatima Al Sayah	CANONICAL_PROJECT_SOURCE	ACCEPTED
1468-RA	person:leader:3e574b51f63b	PRINCIPAL_INVESTIGATOR	Ilan Koppen	CANONICAL_PROJECT_SOURCE	ACCEPTED
