publication_id	author_order	source_person_id	resolved_person_id	source_name	source_orcid	openalex_id	openalex_name	openalex_orcid	resolution_method	resolution_status	note
doi:10.1002/hec.4529	1	author:doi:10.1002/hec.4529:1	person:eqmember:17992	Stefan A Lipman		A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/hec.4529	2	author:doi:10.1002/hec.4529:2	person:leader:78f0dc6cb8d8	Arthur E Attema		A5082166488	Arthur E. Attema	0000-0003-3607-6579	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/hec.4529	3	author:doi:10.1002/hec.4529:3	person:eqmember:17928	Matthijs M Versteegh		A5086031530	Matthijs Versteegh	0000-0003-4804-235x	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/hsr2.70308	1	orcid:0000-0002-6143-1555	person:orcid:0000-0002-6143-1555	Allison L. Soprovich	0000-0002-6143-1555	A5019735060	Allison Soprovich	0000-0002-6143-1555	AUTHOR_ORCID	ACCEPTED	
doi:10.1002/hsr2.70308	2	author:doi:10.1002/hsr2.70308:2	person:orcid:0000-0002-7142-3364	Hilary Short		A5022113389	Hilary Short	0000-0002-7142-3364	AUTHOR_ORCID	ACCEPTED	
doi:10.1002/hsr2.70308	3	author:doi:10.1002/hsr2.70308:3	person:openalex:A5108712913	Al‐Bakir Ali		A5108712913	Al‐Bakir Ali		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1002/hsr2.70308	4	author:doi:10.1002/hsr2.70308:4	person:openalex:A5032068645	Krista Brower		A5032068645	Krista Brower		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1002/hsr2.70308	5	author:doi:10.1002/hsr2.70308:5	person:eqmember:17795	Arto Ohinmaa		A5087246819	Arto Öhinmaa	0000-0002-7094-1573	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/hsr2.70308	6	author:doi:10.1002/hsr2.70308:6	person:eqmember:17879	Jeffrey A. Johnson		A5067514299	Jeffrey Johnson	0000-0001-8290-2857	CANONICAL_NAME_AND_LINKED_PROJECT	ACCEPTED	
doi:10.1002/ppul.71031	1	author:doi:10.1002/ppul.71031:1	person:leader:73598c4735dd	Wenjing Zhou		A5080372262	Wenjing Zhou	0000-0003-0770-4564	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/ppul.71031	2	author:doi:10.1002/ppul.71031:2	person:eqmember:17930	Michael Herdman		A5006750775	Michael Herdman	0000-0002-8189-5357	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/ppul.71031	3	author:doi:10.1002/ppul.71031:3	person:eqmember:18019	Zhihao Yang		A5028809099	Zhihao Yang	0000-0001-5468-0847	CANONICAL_ORCID	ACCEPTED	
