source,target,coauthored_paper_count,layout_distance,publication_ids,dois
person:eqmember:17944,person:eqmember:18019,17,0.242536,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-04038-2;doi:10.1007/s40273-022-01216-9;doi:10.1007/s40273-025-01519-7;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.jval.2023.03.003;doi:10.1016/j.jval.2024.06.018;doi:10.1016/j.jval.2025.11.005;doi:10.1016/j.vhri.2025.101501;doi:10.1186/s12955-023-02131-z;doi:10.1186/s12955-026-02521-z;doi:10.22541/au.169215780.00019852/v1,10.1002/ppul.71031;10.1007/s10198-021-01309-w;10.1007/s10198-023-01647-x;10.1007/s10198-024-01669-z;10.1007/s11136-021-03075-x;10.1007/s11136-024-03669-1;10.1007/s11136-025-04038-2;10.1007/s40273-022-01216-9;10.1007/s40273-025-01519-7;10.1016/j.jval.2019.06.008;10.1016/j.jval.2023.03.003;10.1016/j.jval.2024.06.018;10.1016/j.jval.2025.11.005;10.1016/j.vhri.2025.101501;10.1186/s12955-023-02131-z;10.1186/s12955-026-02521-z;10.22541/au.169215780.00019852/v1
person:eqmember:17807,person:eqmember:17946,16,0.25,doi:10.1007/s10198-018-0993-z;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-021-01109-3;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2025.07.016;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s10198-018-0993-z;10.1007/s40271-023-00647-6;10.1007/s40271-024-00715-5;10.1007/s40271-025-00729-7;10.1007/s40271-025-00787-x;10.1007/s40273-021-01109-3;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1016/j.jval.2018.05.002;10.1016/j.jval.2025.07.016;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17946,person:leader:50cca9cff5d9,14,0.267261,doi:10.1007/s10198-025-01804-4;doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-025-04150-3;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1007/s40273-025-01493-0;doi:10.1016/j.jval.2025.04.2161;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s10198-025-01804-4;10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s11136-025-04150-3;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1007/s40273-025-01493-0;10.1016/j.jval.2025.04.2161;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17861,person:eqmember:17895,13,0.27735,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-024-03754-5;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-019-02256-z;10.1007/s11136-020-02496-4;10.1007/s11136-024-03754-5;10.1016/j.burns.2020.08.015;10.1186/s12955-019-1139-4;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fepid.2023.1144162;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:eqmember:17875,person:eqmember:18019,13,0.27735,doi:10.1002/ppul.71031;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01710-1;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-03917-y;doi:10.1007/s11136-025-04038-2;doi:10.1007/s40273-025-01473-4;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.vhri.2025.101501;doi:10.1136/bmjopen-2025-102509;doi:10.22541/au.169215780.00019852/v1,10.1002/ppul.71031;10.1007/s10198-023-01647-x;10.1007/s10198-024-01669-z;10.1007/s10198-024-01710-1;10.1007/s11136-021-03075-x;10.1007/s11136-024-03669-1;10.1007/s11136-025-03917-y;10.1007/s11136-025-04038-2;10.1007/s40273-025-01473-4;10.1016/j.jval.2019.06.008;10.1016/j.vhri.2025.101501;10.1136/bmjopen-2025-102509;10.22541/au.169215780.00019852/v1
person:eqmember:17861,person:eqmember:19005,12,0.288675,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-024-03754-5;doi:10.1007/s40273-018-0623-8;doi:10.1007/s40273-022-01172-4;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-020-02496-4;10.1007/s11136-024-03754-5;10.1007/s40273-018-0623-8;10.1007/s40273-022-01172-4;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fepid.2023.1144162;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:eqmember:17895,person:orcid:0000-0002-4331-3141,12,0.288675,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-021-03069-9;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-019-02256-z;10.1007/s11136-020-02496-4;10.1007/s11136-021-03069-9;10.1016/j.burns.2020.08.015;10.1186/s12955-019-1139-4;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:leader:50cca9cff5d9,person:orcid:0000-0002-5332-5226,12,0.288675,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1016/j.jval.2025.04.2161;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s11136-026-04246-4;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1016/j.jval.2025.04.2161;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17861,person:orcid:0000-0002-4331-3141,11,0.301511,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-019-02256-z;10.1007/s11136-020-02496-4;10.1016/j.burns.2020.08.015;10.1186/s12955-019-1139-4;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:eqmember:17946,person:orcid:0000-0002-5332-5226,11,0.301511,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1016/j.jval.2025.04.2161;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1016/j.jval.2025.04.2161;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
