person_id,name,paper_count,project_count,euroqol_member,project_leader,orcid,openalex_id,publication_ids
person:eqmember:17946,Nancy Devlin,42,21,True,True,0000-0002-1561-5361,A5103206776,doi:10.1002/hec.4863;doi:10.1007/s10198-018-0987-x;doi:10.1007/s10198-018-0993-z;doi:10.1007/s10198-020-01205-9;doi:10.1007/s10198-021-01306-z;doi:10.1007/s10198-025-01804-4;doi:10.1007/s10198-025-01852-w;doi:10.1007/s11136-022-03304-x;doi:10.1007/s11136-025-03989-w;doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-025-04150-3;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-015-0292-9;doi:10.1007/s40273-021-01109-3;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1007/s40273-025-01476-1;doi:10.1007/s40273-025-01493-0;doi:10.1007/s40273-025-01545-5;doi:10.1007/s40273-025-01550-8;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2025.04.2161;doi:10.1016/j.jval.2025.07.016;doi:10.1136/archdischild-2025-329475;doi:10.1136/bmjopen-2020-048176;doi:10.1136/bmjopen-2025-100897;doi:10.1177/0272989x21999607;doi:10.1177/0272989x251380556;doi:10.1186/s12955-023-02115-z;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227;doi:10.2196/27669;doi:10.3390/children10101604;doi:10.3390/children8080714
person:eqmember:17944,Nan Luo,29,55,True,True,0000-0001-7980-6979,A5064398143,doi:10.1002/ppul.71031;doi:10.1007/s10198-018-0987-x;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01682-2;doi:10.1007/s11136-020-02469-7;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-022-03143-w;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-04038-2;doi:10.1007/s40273-016-0404-1;doi:10.1007/s40273-018-0623-8;doi:10.1007/s40273-019-00854-w;doi:10.1007/s40273-022-01216-9;doi:10.1007/s40273-025-01519-7;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.jval.2023.03.003;doi:10.1016/j.jval.2024.06.018;doi:10.1016/j.jval.2025.11.005;doi:10.1016/j.vhri.2025.101501;doi:10.1017/s0266462326103602;doi:10.1186/s12955-023-02131-z;doi:10.1186/s12955-023-02177-z;doi:10.1186/s12955-024-02290-7;doi:10.1186/s12955-026-02521-z;doi:10.1371/journal.pone.0209344;doi:10.22541/au.169215780.00019852/v1;doi:10.3961/jpmph.22.151
person:eqmember:17807,Brendan Mulhern,28,13,True,True,0000-0003-3656-8063,A5090013218,doi:10.1007/s10198-018-0993-z;doi:10.1007/s11136-023-03372-7;doi:10.1007/s11136-024-03817-7;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-026-04230-y;doi:10.1007/s11136-026-04315-8;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00735-9;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-021-01109-3;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1007/s40273-025-01509-9;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2025.05.015;doi:10.1016/j.jval.2025.07.016;doi:10.1016/j.jval.2025.09.009;doi:10.1016/j.ssmqr.2024.100398;doi:10.1016/j.vhri.2024.101045;doi:10.1136/archdischild-2025-329475;doi:10.21203/rs.3.rs-2423517/v1;doi:10.3390/children10101604;doi:10.3390/children8080714
person:eqmember:17805,Bram Roudijk,25,7,True,True,0000-0001-5000-0875,A5028508726,doi:10.1007/s10198-025-01852-w;doi:10.1007/s10198-025-01857-5;doi:10.1007/s10198-025-01892-2;doi:10.1007/s11136-017-1512-x;doi:10.1007/s11136-025-03930-1;doi:10.1007/s11136-025-04145-0;doi:10.1007/s40258-025-00954-z;doi:10.1007/s40273-021-01100-y;doi:10.1007/s40273-022-01208-9;doi:10.1007/s40273-022-01210-1;doi:10.1007/s40273-024-01404-9;doi:10.1007/s40273-025-01476-1;doi:10.1007/s41669-023-00437-8;doi:10.1016/j.jval.2019.10.006;doi:10.1016/j.jval.2024.05.016;doi:10.1016/j.jval.2025.01.003;doi:10.1016/j.jval.2025.05.014;doi:10.1016/j.jval.2025.07.016;doi:10.1016/j.socscimed.2021.114519;doi:10.1177/0272989x18765184;doi:10.1177/0272989x19841587;doi:10.1177/0272989x251325828;doi:10.1177/0272989x261446644;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1
person:eqmember:17845,Fanni Rencz,24,6,True,True,0000-0001-9674-620x,A5024021740,doi:10.1007/s10198-024-01719-6;doi:10.1007/s10198-025-01857-5;doi:10.1007/s11136-023-03509-8;doi:10.1007/s11136-024-03875-x;doi:10.1007/s11136-025-03925-y;doi:10.1007/s11136-025-03930-1;doi:10.1007/s11136-025-04053-3;doi:10.1007/s11136-025-04145-0;doi:10.1007/s11136-026-04242-8;doi:10.1007/s41669-024-00486-7;doi:10.1016/j.jval.2020.03.019;doi:10.1016/j.jval.2024.03.2195;doi:10.1016/j.jval.2024.12.003;doi:10.1016/j.jval.2025.04.2160;doi:10.1016/j.jval.2025.05.015;doi:10.1016/j.jval.2025.09.009;doi:10.1016/j.jval.2025.11.005;doi:10.1016/j.jval.2026.01.001;doi:10.1016/j.jval.2026.02.013;doi:10.1177/0272989x261446644;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02303-5;doi:10.1186/s12955-024-02323-1;doi:10.1186/s12955-026-02521-z
person:eqmember:18019,Zhihao Yang,23,22,True,True,0000-0001-5468-0847,A5028809099,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01710-1;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-03917-y;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04038-2;doi:10.1007/s40273-022-01216-9;doi:10.1007/s40273-025-01473-4;doi:10.1007/s40273-025-01519-7;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.jval.2023.03.003;doi:10.1016/j.jval.2024.06.018;doi:10.1016/j.jval.2025.07.016;doi:10.1016/j.jval.2025.11.005;doi:10.1016/j.vhri.2025.101501;doi:10.1136/bmjopen-2025-102509;doi:10.1186/s12955-023-02131-z;doi:10.1186/s12955-026-02521-z;doi:10.22541/au.169215780.00019852/v1
person:eqmember:19005,Bas Janssen,21,10,True,True,0000-0001-6602-6949,A5020933378,doi:10.1007/s10198-024-01719-6;doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-020-02688-y;doi:10.1007/s11136-023-03509-8;doi:10.1007/s11136-024-03754-5;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1007/s40273-018-0623-8;doi:10.1007/s40273-018-0642-5;doi:10.1007/s40273-022-01172-4;doi:10.1016/j.burns.2020.08.015;doi:10.1016/j.jval.2024.03.2195;doi:10.1016/j.jval.2025.05.015;doi:10.1016/j.jval.2025.09.009;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591
person:eqmember:17855,Fredrick Purba,21,16,True,True,0000-0002-7336-3043,A5059806422,doi:10.1007/s11136-016-1445-9;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-022-03143-w;doi:10.1007/s11136-025-03925-y;doi:10.1007/s11136-025-03930-1;doi:10.1007/s11136-025-03983-2;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1007/s41669-023-00437-8;doi:10.1016/j.jval.2024.12.003;doi:10.1016/j.vhri.2025.101121;doi:10.1016/j.vhri.2025.101543;doi:10.1017/s0266462326103602;doi:10.1177/0272989x261446644;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1186/s12955-024-02303-5;doi:10.1186/s12955-025-02397-5;doi:10.1371/journal.pone.0197098;doi:10.1371/journal.pone.0200966
person:eqmember:17875,Jan Busschbach,21,5,True,True,0000-0002-8602-0381,A5020122364,doi:10.1002/ppul.71031;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01710-1;doi:10.1007/s11136-016-1445-9;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-03917-y;doi:10.1007/s11136-025-04038-2;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1007/s40273-025-01473-4;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.vhri.2025.101121;doi:10.1016/j.vhri.2025.101501;doi:10.1136/bmjopen-2025-102509;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1371/journal.pone.0197098;doi:10.22541/au.169215780.00019852/v1
person:eqmember:17998,Tessa Peasgood,20,12,True,True,0000-0001-8024-7801,A5022446221,doi:10.1007/s10198-021-01306-z;doi:10.1007/s10198-025-01769-4;doi:10.1007/s11136-020-02718-9;doi:10.1007/s11136-025-03989-w;doi:10.1007/s11136-026-04242-8;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00749-3;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-025-01493-0;doi:10.1016/j.jval.2024.05.007;doi:10.1016/j.jval.2025.04.2168;doi:10.1016/j.jval.2025.05.013;doi:10.1016/j.vhri.2025.101501;doi:10.1186/s12955-026-02578-w;doi:10.1186/s12955-026-02579-9;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227
