batch_id	record_id	verdict	source_locations	repair	ontology_gap
A001	V2-P001	MINOR	Abstract > Objectives; Abstract > Methods; Abstract > Results; Abstract > Conclusions | Introduction, final paragraph (objective statement) | Methods, paragraph 1 (EQ-VT 2.0; pre-study) | Methods > Study Design (1000 target, quota sampling, six cities, CAPI, venues) | Methods > Valuation Interview and Methods of Eliciting Preferences (86 states/10 blocks; 196 pairs/28 blocks; interview sequence; feedback module 'could only be flagged but not re-valued'; six add-on DCE tasks with duration and death alternative) | Methods > Data Collection and Quality Control Process (32 trained interviewers; QC criteria; EQ-VT QC software; exclusion of underperforming interviewers) | Methods > Data Analysis and Modeling (Tobit Model 1, conditional logit Model 2, hybrid Models 3a/3b, Theta rescaling, homoskedasticity test, kernel densities, exclusion sensitivity, STATA 14) | Results, paragraph 1 (1158 interviews, Dec 2014–Mar 2015, 19 interviewers, 48 min, 83 flagged = 7.17%) | Results > Characteristics of the Sample; Table 1 (representativeness; 421 (36.4%) 11111; 6.39%–55.61%; EQ VAS 79.45, SD 17.05) | Results > Data Characteristics: Composite Time Trade-Off and Discrete Choice Experiment (7.39 steps; −0.461 to 0.973; 6.16% n=713; 11,580−713=10,867; 17.69%→12.6%; 17.3% negative; 9.65% at −1; 3% at 0; 26 (2.2%) suspect DCE) | Results > Modeling; Table 2; Fig. 5 (inconsistency at levels 2–3; mean absolute difference 0.02, largest 0.048; r = 0.998, p < 0.001) | Results > Preferred Model (Value Set) (Model 3b selected; U(12345) = 0.141; ESM 3; level 2→3 non-significant in functional dimensions) | Results > Comparison of EQ-5D-3L and EQ-5D-5L Values; Fig. 6 (−0.661 to 1 vs −0.205 to 1; bimodal 3L) | Discussion, paragraphs 1–4 (data quality; hybrid model rationale; further research needed; six-region clustering and small middle-class bias) | Conclusions, paragraphs 1–3; Key Points for Decision Makers | Funding; Compliance with Ethical Standards	Make four local corrections; keep all other items unchanged. (1) ProductStateAssertion psa2: the source only reports an author recommendation ('is recommended as the preferred value set for Germany', Key Points for Decision Makers and Conclusions, paragraph 2); it does not report deployment or use in practice. Delete psa2, or if retained, do not use the DEPLOYMENT axis — record it as an author recommendation attached to prod1 with asserted_by 'Study authors' and no deployment claim, so that silence about deployment is not converted into a positive state. (2) Administration adm1: the field recall_period 'Today (EQ-5D-5L self-reported health)' is not stated anywhere in the article (Methods > Valuation Interview, item 2 says only 'self-reported health using EQ-5D-5L and background questions'). Set recall_period to null / NOT_REPORTED. (3) Sample sm7: replace the description 'Interviewers who conducted interviews in the field phase after exclusion of continuously underperforming interviewers' with the source-faithful text 'Interviewers who conducted the 1158 interviews'; the article (Results, paragraph 1) states only that 19 interviewers conducted the interviews and never links this number to the exclusion rule described in Methods > Data Collection and Quality Control Process. (4) Limitation lm3: 'health states could only be flagged but not re-valued' is a neutral protocol description in Methods > Valuation Interview and Methods of Eliciting Preferences, not a limitation stated by the authors. Remove lm3 (its content is already properly held in TaskDesign td1 / MethodUse mu8), since only source-reported limitations may be extracted.	Endorsed, as already proposed in Gap g1: software_function has no quality-control value. The EQ-VT QC software checks interviewer performance and compliance with the interview script and produces daily evaluations and a final QC report (Methods > Data Collection and Quality Control Process; Results, paragraph 1); DATA_MANAGEMENT is a poor fit and VISUALIZATION_OR_REPORTING covers only the report output. This is not a one-paper distinction: QC software is a standard component of the EQ-VT valuation workflow, and method_function already has QUALITY_CONTROL, so the asymmetry is in the software enum only. Route as UNMAPPED_VALUE for governance review; no other entity, relation, or family change is needed.
A002	V2-P002	MINOR	Methods/Choice Experiment, paragraph 1 and Fig. 1 (paired EQ-5D-5L health-state choice task: 'tell us which description you would prefer to experience') | Methods/Choice Experiment, survey-structure paragraph ('Participants then completed a self-reported EQ-5D-5L assessment before receiving instructions on the DCE tasks. This was followed by 21 DCE choice tasks.') | Methods/Statistical Modelling, paragraphs 1-4 and Eq. 4 (MNL utility decrements, anchoring on 55555, RAI) | Results/Health State Valuation and Tables 2-3, Fig. 2 | Abstract/Methods and Abstract/Results | Methods/Sample Recruitment | Table 1; Table 4 | Declarations/Conflicts of Interest	1) Add a third ranked Purpose to Study s1: value HEALTH_STATE_VALUATION, rank 3, source ['Methods/Choice Experiment, paragraph 1', 'Methods/Choice Experiment, survey structure paragraph', 'Results/Health State Valuation']. Rationale: direct preference elicitation is performed in the current study (21 paired EQ-5D-5L choice tasks per respondent) and yields reported utility decrements and RAI scores in Tables 2-3 and Fig. 2; the controlled value's definition is satisfied. Keep METHOD_OR_PROTOCOL_QUALITY at rank 1 and VALUATION_METHOD_EVALUATION at rank 2 unchanged. 2) Split Administration adm1, whose perspective field ('Own preference for the health state they would prefer to experience') does not describe the self-reported EQ-5D-5L assessment. Keep adm1 with applies_to ['iu1','iu2','mu1','td1'] and all current field values, and create a new Administration adm2 with study_id 's1', part_id null, applies_to ['iu3'], respondent 'Adult general population panel member', perspective 'Self-report of own current health', completion 'Self-completed', channel 'Online survey via an online panel', setting 'Online panel survey administered by Pureprofile', time_point 'Completed before the DCE instructions and the 21 DCE choice tasks within the single survey session', other fields null, source ['Methods/Choice Experiment, survey structure paragraph', 'Results/Respondent Characteristics']. Make no other changes; all other filter decisions, the Study unit, primary family METHODS_RESEARCH, design axes, sample stages and counts, instrument/method/model/software uses, findings and their aggregate values, interpretations, limitations, concepts, and gap g1 are source-accurate as recorded.	
A003	V2-P003	MINOR	Title | Abstract: Introduction/Methods/Results/Conclusion | Introduction: final paragraph ('This study aimed to evaluate the test-retest reliability of the OPUF method in valuing the EQ-HWB-S in the German sample') | Materials and methods: Sample (330 participants; 110 GP, 110 DM, 110 RA; test 6–11 March 2023, retest 20–30 March 2023; Bilendi panel; €7.50 incentive) | Materials and methods: Preference elicitation survey (steps 1–8; open-source online survey platform https://valorem.health/eqen-demo) | Materials and methods: Data analysis – Estimating the utility decrements; Test-retest; Dimension ranks; Dimension swing weights; Level ratings; Anchoring factor; Utility decrements and value set; Impact of other factors on test-retest (R version 4.3.1; ethics ID 2022−246) | Results: Sample characteristics (330/257 completions; excluded 21/18; 19 unmatched; final 220 (66.67%)) | Results: Dimension ranks and swing weights (42.27%, 49.32%, 38.78%; 36.46%/41.10%/34.01%) | Results: Level ratings (45/46 excluded; 23 consistently illogical; 70.37% poor, 29.63% moderate) | Results: Anchoring (82.73%; kappa 0.64, 95% CI 0.54–0.75; ICC 0.12) | Results: Utility decrements and value set (35/36 significant ICCs; mean decrement 0.08; mean absolute difference 0.004; rho 0.26) | Results: Regression analysis | Table 1; Table 2; Table 3; Table 4; Table 5; Table 6; Figures 1–3 | Discussion (including limitations paragraph) and Conclusion | Funding and Competing interests | Deterministic metadata: journal, article_type research-article, DOI 10.1007/s10198-025-01769-4, funding EuroQol Research Foundation EQ Project 1508-RA	1) Add a second ranked Purpose to Study s1: value HEALTH_STATE_VALUATION, rank 2, sources 'Materials and methods: Preference elicitation survey (steps 3–7: dimension ranking, swing weighting, level rating, pairwise comparison with dead, anchoring)' and 'Methods: Data analysis – Estimating the utility decrements'. Direct preference elicitation was performed in the current study (OPUF survey administered twice to 220 respondents), which the record currently represents only through mu1/td1–td5; keep VALUATION_METHOD_EVALUATION as rank 1. 2) Add a SourceConflict item for Study s1 covering the SD3 paired t-test: statement A = Results, 'Utility decrements and value set': 'The t-statistic was not statistically significant for SD3 in the GP sample, indicating differences in means'; statement B = Table 6, GP sample row SD3: 't = 2.23 (0.03)*', flagged as statistically significant (p < 0.05). Record both locators verbatim and do not silently harmonise; note that Finding f9 follows Table 6 (SD3 GP significant). No other change: keep primary_research_family METHODS_RESEARCH (the object of reliability assessment is the OPUF valuation approach, matching row 10 'reliability ... of an approach or method'), keep the inclusion decision, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, the single Study with no parts, and all existing samples, uses, findings and limitations, which match the source values checked against Tables 1–6.	
A004	V2-P004	MINOR	Title; Abstract > Purpose ('This study aimed to develop and validate a short form for use in clinical and research settings'); Introduction, final paragraph ('The aim of this study was to develop and validate a short form of QI-Disability using a GA approach') | Funding and Acknowledgements ('Funding for the data collections were provided by National Health and Medical Research Council (1103745), the EuroQol Research Foundation (EQ Project 429-RA) and donations to the Inchstone Project'); Declarations > Ethics approval ('the EuroQOL funded study') | Methods > Sources of data, items 1a, 1b, 1c, 2 and 3 (included 418, 76, 109, 953, 143; source-study counts 435, 129, 234, 242) | Methods > Statistical methods > Short Form Development (R package GAabbreviate; 500 runs; 12 items fixed; at least one and no more than three items per domain) and > Short Form Psychometric Evaluation (Pearson correlation, Cronbach's Alpha, Rasch partial credit model in R package eRm, Infit/Outfit, person separation reliability, Martin-Loef test, Person-Item map, disordered thresholds) | Results, paragraph 1 (1,699 measures; median age 9.4; 539 Oceania, 160 North America, 38 Europe); paragraph 2 (mean QI-Disability total 69.2 (14.4); walking percentages); paragraph 3 (domain distribution of the 12 items); paragraph 4 (Pearson's rho = 0.970; Alpha = 0.84); paragraph 5 (fit below 1.5; person separation reliability 0.84; Martin-Loef p = 0.12; targeting; three disordered items) | Abstract > Results (r = 0.97; alpha = 0.85; person separation reliability 0.84; multidimensionality p > 0.99); Abstract > Conclusion | Table 1 (Sample characteristics by data source, n = 1,699; The Kids N = 603 = Autism 152 + CDD 76 + CP 180 + Down 94 + Rett 68 + Other 33; walking CP 66 (36.7), CDD 24 (32.0)); Table 2 (fit statistics and item locations); Fig. 1 (Person-Item map) | Discussion, paragraph 2 ('developed within the same sample, which likely inflates the association'; alpha = 0.85); Discussion, final paragraph (disordered thresholds; limited common descriptive variables; validation in independent cohorts); Conclusions	The record is materially correct: include-study with explicit EuroQol support (EQ Project 429-RA), ORIGINAL_RESEARCH_ARTICLE, one Study with primary_research_family INSTRUMENT_VERSION_DEVELOPMENT, the five data-source StudyParts, pooled and part-level samples, instrument/method/model/software uses, principal findings, the QID-12 product, and both the alpha and Martin-Loef source conflicts are all supported by the article. Apply only these local corrections: (1) Add a third SourceConflict for the independent-walking figure: Results paragraph 2 states that 'cerebral palsy and intellectual disability (32.0%)' could walk independently, whereas Table 1 reports CP 66 (36.7%) and gives 32.0% for CDD (24). Record both statements verbatim with locators 'Results, paragraph 2' and 'Table 1'; do not reconcile them silently. (2) Make Population pop1 and pop3 geographies source-faithful: the article never states a country for the QI-Disability determinants dataset or the EQ-5D-Y-5L evaluation dataset. Replace 'Australia' in both with the source basis (e.g. 'Country not stated for this dataset; The Kids Research Institute Australia datasets — Results paragraph 1 reports 539 participants from Oceania, majority Australia, across all non-Simons datasets') or leave the field empty with a NOT_REPORTED gap. (3) In Finding f8 the 'about' array mixes an Outcome id (o5) with a Population id (popall); remove 'popall' and let the population link run through the Sample/Population records so the finding-to-outcome role stays clean. Apply the same treatment to f9 (keep o5; drop 'sf1' unless the record explicitly allows StudyFactor targets in 'about'). (4) StudyFactor sf1 merges two distinct stratifiers ('data source' and 'diagnostic group'); either split into two STRATIFIER factors ('Data source: Simons Searchlight / The Kids / Inchstone DEE Parents Speak' and 'Diagnostic group: Autism, CDD, CP, Down syndrome, Rett syndrome, Other') or restate the label as 'Data source / diagnostic cohort (Table 1 columns)' so levels match the exact table columns. No change is required to the Study unit, primary family, purposes, parts, principal results, product, or gap g1 (UNCERTAIN_MAPPING on the Genetic Algorithm method function with QUANTITATIVE_ANALYSIS retained as the applied value is an acceptable flag).	
A005	V2-P005	MINOR	"Results, first paragraph (""nine personal care workers, five lifestyle coordinators, four nurses, one manager, one customer service officer"") | Results, Table 1 (Job description: Personal care worker 8 (40%); Lifestyle coordinator 6 (30%); Nurse 4 (20%); Manager 1 (5%); Other 1 (5%)) | Methods > Procedure (""All interviews were conducted by one of the two interviewers (LE or EK)""; ""we estimated a sample of around 30 participants to capture the views of both carers and aged care staff"") | Declarations > Author contributions (""Material preparation and data collection were performed by LE and EB"") | Results, Theme 1 > Choice of Proxy Type (Family vs Staff) | Results, Theme 1 > Feasibility/Ability to Proxy Report (""The most challenging question for family proxies was question 6""; ""While staff proxies said that they could refer to the medication records ... family proxies struggled"") | Discussion, paragraph beginning ""Our study has shown that the accuracy of proxy assessments also depends on who the proxy is"" | Abstract > Background and Objective; Introduction, final paragraph; Conclusions; Declarations > Funding"	"1) Add a SourceConflict item (study_id s1, no part) for the staff job-description counts: statement A = ""20 aged care staff (nine personal care workers, five lifestyle coordinators, four nurses, one manager, one customer service officer)"" with locator ""Results, first paragraph""; statement B = ""Personal care worker 8 (40%); Lifestyle coordinator 6 (30%); Nurse 4 (20%); Manager 1 (5%); Other 1 (5%)"" with locator ""Results, Table 1"". Note that both sum to 20 and that the discrepancy concerns the personal-care-worker/lifestyle-coordinator split only; do not reconcile the numbers. Link the conflict to sam3 and leave sam3.size_text unchanged but add the Table 1 alternative to sam3.description. 2) Change Design d3 (axis comparison_structure) from NONCOMPARATIVE to BETWEEN_GROUP, keeping study-level scope, and cite ""Methods > Procedure"" (deliberate recruitment to capture views of both carers and aged care staff), ""Results, Theme 1 > Choice of Proxy Type (Family vs Staff)"" and ""Results, Theme 1 > Feasibility/Ability to Proxy Report""; this aligns d3 with StudyFactor sf1 (Proxy type, family vs aged care staff) and findings f4 and f5, which report contrasts between the two proxy groups. If BETWEEN_GROUP is judged too strong for a thematic analysis, retain NONCOMPARATIVE only together with an UNCERTAIN_MAPPING Gap on d3 recording the family-versus-staff contrast. 3) Optional, low priority: record a second SourceConflict for interviewer identity — ""one of the two interviewers (LE or EK)"" (Methods > Procedure) versus ""data collection were performed by LE and EB"" (Declarations > Author contributions). No other change; do not alter the Study, family, purposes, instrument roles, findings, interpretations, limitations, concepts, or the existing gaps g1–g3."	
A006	V2-P006	MINOR	Discussion, paragraph 3 ('more than half of all respondents reported problems in at least one of the EQ-5D-Y-3L dimensions which was higher than observed earlier [29]') | Results: Health profiles ('Most frequently reported (44.9%) was the health profile 11111'; 'There were in total 94 unique health profiles') | Results: EQ-5D-Y-3L by self-rated health ('There was a gradient in reported problems in the EQ-5D-Y-3L dimensions from very good to very bad SRH (Online Appendix Fig. 1). Respondents who answered very bad ... reported the lowest mean VAS score (Online Appendix Fig. 2)') | Methods: Self-rated health | Abstract: Purpose and Conclusions; Introduction final paragraph (family and purpose check) | Results: Response rate (sample flow 7399 / 6805 / 231 / 6574 / 106) | Methods: Data analyses (tests, regressions, SPSS 23) | Funding ('funded by a research grant (Reference Number: 2015400) awarded by the EuroQol Research Foundation')	1) In Finding f12, delete the aggregate value object with reported_value '55.1' and unit '% (complement of 44.9% reporting profile 11111)'; this figure is computed by the extractor and is not reported in the article. Either leave f12 with no values (statement only: 'More than half of all respondents in this general adolescent population reported problems in at least one EQ-5D-Y-3L dimension.'), or replace it with the source-reported value: reported_value '44.9', unit '%', denominator '6574', subgroup 'Health profile 11111 (no problems in any dimension)', comparator 'Earlier observations in children', direction 'more problems reported than observed earlier', uncertainty null. Keep the existing source locators 'Discussion, paragraph 3' and 'Results: Health profiles'. 2) Add one new Finding (id f13, study_id 's1', part_id null) with statement: 'There was a gradient in reported problems in the EQ-5D-Y-3L dimensions from very good to very bad self-rated health, and respondents answering very bad self-rated health reported the lowest mean VAS score.'; about: ['o1','o2','sf9','iu2']; values: [] (no numeric values are given in the article body; the data appear only in Online Appendix Figs. 1 and 2); source: ['Results: EQ-5D-Y-3L by self-rated health', 'Online Appendix Fig. 1', 'Online Appendix Fig. 2']. Make no other changes; all other assessment fields, the Study unit, primary family, purposes, design axes, samples, instrument/method/model/software uses, administrations, factors, outcomes, interpretations, limitation, concepts, and the DataUse gap are confirmed correct.	
A007	V2-P007	MINOR	Abstract: Methods and Results | Methods, first paragraph (COSMIN guideline; two independent reviewers) | Methods: Identification and Selection of Studies (databases, search terms, inclusion/exclusion) | Methods: Data Extraction (paper vs study definition) | Methods: Assessment of Individual Studies (hypotheses, ICC 0.70, SES 0.20, Risk of Bias) | Methods: Assessment of the Preference-Based Measures (PBMs) (population definition by country and ICD-11 disease group; sufficient/inconsistent/insufficient; COSMIN GRADE) | Results, first paragraph (1710 / 735 / 114 / 79; PRISMA Fig. 1) | Results, second paragraph (1504 studies; no studies for AQOL, 15D, Philippines) | Results, third paragraph (80%/79%/57%; 99%/61%/23%) | Results, fourth–seventh and final paragraphs (EQ-5D, EQ-VAS, SF-6D, HUI, QWB counts and gradings) | Tables 1–5 | Discussion, paragraphs 1–5 and limitations paragraph | Conclusions | Funding (EuroQol Research Foundation, EQ Project 2016230)	1) Design d3 (comparison_structure): replace NONCOMPARATIVE with BETWEEN_INSTRUMENT. The review grades and contrasts the measurement properties of EQ-5D, EQ-VAS, SF-6D, HUI and QWB against each other and concludes that 'EQ-5D [is] the preferred choice when a generic PBM is needed' (Discussion, first paragraph; Conclusions; Tables 2–5). Keep the existing locators and add 'Discussion, first paragraph' and 'Conclusions'. 2) MethodUse mu6 (ICD-11): the field 'function' currently holds the gap state 'UNCERTAIN_MAPPING'. Set function to EVIDENCE_SYNTHESIS, because ICD-11 is used only to define the disease groups within which relevant studies are combined and graded (Methods: Assessment of the Preference-Based Measures (PBMs)). If the extractor prefers to keep a gap state in the field, use UNMAPPED_VALUE (a controlled key exists but no listed value fits), not UNCERTAIN_MAPPING. 3) Gap g1: update 'state' to match the corrected mapping (drop the gap entirely if mu6.function is set to EVIDENCE_SYNTHESIS; otherwise change state from UNCERTAIN_MAPPING to UNMAPPED_VALUE) and delete the 'proposed_resolution' text proposing a new classification-system function, since a disease-coding standard used for grouping in one paper is a one-paper distinction and must not drive a new controlled value. 4) Finding f6: add the reported EQ-VAS test-retest reliability result that is currently omitted — 'sufficient' in 4 of 6 countries/districts and 3 of 5 disease groups assessed (Results, fifth paragraph; Table 3) — as an additional value entry with subgroup 'Test-retest reliability', denominator 'populations assessed'. No other changes; inclusion, EuroQol support (explicit, Funding statement), publication form REVIEW_ARTICLE, the single Study unit, primary family EVIDENCE_SYNTHESIS, samples (1710 IDENTIFIED_RECORDS, 735 SCREENED, 114 FULL_TEXT_ASSESSED, 79 and 1504 INCLUDED_EVIDENCE), instrument and protocol roles, findings f1–f5 and f7–f10, interpretations, and the three source-reported limitations are all verified as accurate.	
A008	V2-P008	MINOR	Methods > Participants, recruitment and procedure, final sentence ('A sample size of 200 participants was calculated to provide 80% power, at the two-sided significance level of 0.05, to address the minimum psychometric criteria for convergent and discriminant validity.') | Methods > Utility score performance (empirical validity), paragraph 3 ('The EQ-5D-Y-5L acted as the comparator instrument and the EQ-5D-Y-3L as the referent since the latter has been widely used and psychometrically validated [7].') | Abstract > Objectives; Introduction, final paragraph (aim: psychometrically evaluate the Chichewa EQ-5D-Y-3L and EQ-5D-Y-5L) | Acknowledgements and Funding (EuroQol Research Foundation, Project no. 20190200); Declarations > Competing interests | Results > Participant characteristics and Table 1 (N = 289; 95 healthy, 155 acute, 39 chronic; children n = 98, adolescents n = 191) | Results > General instrument performance and feasibility, paragraph 4 vs Table 3 header/'Ceiling effect (11111)' row (9% reduction text vs All N = 298, 44% vs 46%, AR −2, RR −5) | Results > Empirical validity and Table 6 (31–91% and 5–44% less efficient; n = 81, 172, 253); final paragraph (736% more efficient, Additional file 5: Table S5) | Methods > Psychometric analyses (IBM SPSS 26.0.0 for Mac); Methods > The instruments > The EQ-5D-Y-5L (Chichewa cross-cultural adaptation reported elsewhere; US Shaw 2005 and Pickard 2019 value sets) | Discussion, limitations paragraph (COVID-19 one wave; no EQ-5D-Y-5L value sets)	1) Sample `sam1` (stage PLANNED_TARGET, size 200): the source reports only a power-based sample-size calculation ('calculated to provide 80% power, at the two-sided significance level of 0.05'), and the controlled definition of PLANNED_TARGET states that 'a power minimum alone is insufficient'. Delete `sam1` from the record; do not substitute another sample stage. If the calculation must be retained, keep it only as descriptive text on the sampling MethodUse `mu1` (source: Methods > Participants, recruitment and procedure), not as a Sample item. 2) InstrumentUse `iu5`: the record assigns instrument_function COMPARATOR to the EQ-5D-Y-3L, but the source states the opposite direction of roles — 'The EQ-5D-Y-5L acted as the comparator instrument and the EQ-5D-Y-3L as the referent'. Add a new InstrumentUse for 'EQ-5D-Y-5L Chichewa version' with context DIRECT_CURRENT_ACTIVITY, function COMPARATOR, source 'Methods > Utility score performance (empirical validity)', and edit the `iu5` source_label/annotation to state explicitly that the EQ-5D-Y-3L served as the reference (referent) instrument in the relative-efficiency comparison, keeping function COMPARATOR because no separate reference-instrument value exists. Link the new use into Outcome `o7` (instrument_use_ids) alongside `iu1`, `iu2`, `iu11`. No other change: the filter decision (include-study, direct_eq, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE), the single Study unit, primary family MEASUREMENT_PROPERTY_EVALUATION, design axes, populations, samples sam2–sam7, data uses, methods, software, scoring uses, administrations, outcomes, findings f1–f12, interpretations, limitations, concepts, the two SourceConflicts and Gap g1 are all source-accurate.	
A009	V2-P009	MINOR	"Competing interests (""HB received grants from ... EuroQol Research Foundation (Grant ref 341-RA, 357-RA)"") | Funding (""Ministry of Health of the Government of Trinidad and Tobago, and Fight for Sight UK"") | Abstract > Aim; Abstract > Results | Methods, opening paragraph (9913 eligible people, 3556 households, 4263 aged ≥40 years, 3589 (84.2%) responders, Epi Info 3.5.4) | Methods > Statistical methods ('svy' suite, 'melogit', Stata 13.1) | Methods > Cases of vision impairment; Methods > Classification of economic impact; Methods > Definition and estimation of intangible effects; Methods > Sensitivity analysis; Methods > Conversion of unit costs | Table 1 (Direct medical; Non-medical direct costs > Refractive correction, Low vision support, Travel for eye care; Indirect costs; Transfer payments; Dead weight losses; Intangible effects) | Table 2 (TT$183,303,734; 119,362,310; 722,379,355; 2,817,279,256; 3,842,324,655) | Results, opening paragraph; Results > Total economic cost of vision impairment and eye care; Results > Estimation of cases with vision impairment in 2014; Results > Sensitivity analyses; Results > Differential economic impacts by vision level; Results > Eye care access by vision level | Discussion (first, third and limitations paragraphs); Conclusion; Summary > What this study adds"	"1) Administration ad3 links to a Population (applies_to: [""pop3""]); an Administration must attach to an instrument, method, protocol, software or task use. Repair: add an InstrumentUse in part2 for the outpatient transport-cost questionnaire completed by the 450 outpatients attending eye clinics in the five regional hospital ophthalmology departments (source: Table 1 > Non-medical direct costs > Travel for eye care; context SOURCE_STUDY_ACTIVITY, function OUTCOME_MEASURE, registry_id empty), and set ad3.applies_to to that new InstrumentUse id in place of ""pop3"". 2) StudyFactor sf1 (category of presenting vision) is given only role STRATIFIER, but vision category is also an analysed determinant in the multivariable models of eye care utilisation and insurance (""those with near VI (OR 0.49, 95% CI 0.39–0.61), or blindness (OR 0.11, 95% CI 0.01–0.85), were significantly less likely to report utilising any eye care""; ""Health insurance coverage also varied significantly by vision level ... p<0.001"", Results > Eye care access by vision level). Repair: add a second StudyFactor for ""category of presenting vision in the better-seeing eye"" with the same levels, part_id part1, role EXPOSURE_OR_DETERMINANT, sourced to Results > Eye care access by vision level and Supplementary Table 20; keep sf1 as the STRATIFIER used for cost and employment stratification. 3) Gap g1 is over-flagged. The population-level application of disability weights is already representable by du7 (PUBLISHED_MODEL_INPUT / MODEL_PARAMETER), mu7 (MAPPING_OR_DERIVATION) and the ProductUse records, and it is a single-paper distinction. Repair: delete g1, or retain it only as an UNCERTAIN_MAPPING note without proposing an extension of ScoringUse. 4) Consistency fix for the weight sets: the base-case WHO weights (0.047 near VI, 0.005 mild, 0.089 moderate, 0.314 severe, 0.338 blindness; Methods > Definition and estimation of intangible effects) appear only inside du7, while the two sensitivity alternatives are recorded as ProductUse comparators prd1/prd2. Either name the WHO base-case set as the comparison reference inside prd1/prd2, or record the base-case set with the same granularity so the three weight sets carry symmetric roles. No change is needed to the include decision, explicit EuroQol support, ORIGINAL_RESEARCH_ARTICLE form, single Study unit, ECONOMIC_BURDEN_RESEARCH family, part structure, principal cost findings (all checked against Abstract, Results and Table 2), or the ten reported limitations."	
A010	V2-P010	MINOR	"Funding statement (""funded by the EuroQol Research Foundation (Project #445-RA)"") | Background, final paragraph (objective: comprehension, usefulness, visual appeal) | Methods, paragraph 1 (prototype creation, Sankey Diagram, two versions per part) | Methods, paragraph 3 (checklist 9/5/4 items; pilot with 10 patients) | Methods, paragraph 4 (Excel, R 3.6.1, ATLAS.ti V8; descriptive statistics; Wilcoxon; McNemar; directed content analysis) | Results, paragraph 1 (""feedback on the EQ-5D-5L descriptive labels was not reported"") | Results, Part 2: Comprehension, paragraph 1 (95.8%) | Table 3 (ratings, preferred material, p-values) | Table 2 (demographics) | Limitations section"	"Two local fixes only; do not change the filter decision, the single Study, the APPLIED_USE_RESEARCH family, the purposes, or any reported value. (1) In Gap g2, correct the target typing: the withheld result is about Outcome o1 (comprehension/usefulness feedback on the EQ-5D-5L descriptive labels), so set affected_type to ""Outcome"" (keeping affected_item_id ""o1""), or, if the intended object was the absent result rather than the outcome, set affected_item_id to ""s1"" with affected_type ""Study""; keep state NOT_REPORTED and the verbatim evidence quote from Results, paragraph 1. (2) MethodUse mu2 (""Sankey Diagram"", part2) carries function ""UNMAPPED_VALUE"" but no Gap references it: either add mu2 to the coverage of Gap g1 by creating a second Gap record with state UNMAPPED_VALUE, affected_item_id ""mu2"", affected_type ""MethodUse"", affected_key ""method_function"", evidence ""For 1-year post-surgery data (Part 2), we chose the Sankey Diagram to demonstrate changes over time"" (Methods, paragraph 1; Table 1, Part two), and source [""Methods, paragraph 1"", ""Table 1"", ""Discussion, paragraph 2""], or explicitly extend g1's affected item list to include mu2 so that every gap-state function value has a governing Gap."	
