entity_type	source_label	source_record_ids	decision	proposed_registry_id	canonical_label	parent_registry_id	variant_kind	language_code	jurisdiction	version	source_identifier	scope	aliases	note
Instrument	10-point horizontal VAS question on the family's perceived financial situation	V2-P174	AMBIGUOUS											Study-specific measure; add only after a source-scoped record repair.
Instrument	25-item EQ-HWB proxy version 2 (English version for Australia)	V2-P005	ALIAS_EXISTING	instrument:eq-hwb	EQ-HWB							GLOBAL	25-item EQ-HWB proxy version 2 (English version for Australia)	Exact semantic alias of the reviewed identity.
Instrument	Abbreviated Injury Scale (AIS)	V2-P017;V2-P065;V2-P176	AMBIGUOUS											The label needs source review before it can become a shared identity.
Instrument	Amharic proxy version of the EQ-5D-Y-3L	V2-P195	ADD_GLOBAL	instrument:eq-5d-y-3l-proxy-v1	EQ-5D-Y-3L proxy version 1	instrument:eq-5d-y-3l	RESPONDENT_VERSION			1		GLOBAL	Amharic proxy version of the EQ-5D-Y-3L	New stable identity supported by the source.
Instrument	Assessment of Quality of Life (AQoL-6D) Adolescent	V2-P150	AMBIGUOUS											The label needs source review before it can become a shared identity.
Instrument	Assessment of Quality of Life 6D (AQoL-6D) adolescent	V2-P057;V2-P203	AMBIGUOUS											The label needs source review before it can become a shared identity.
Instrument	Bolt-on dimensions for the EQ-5D-5L (hearing, sleep, cognition, energy, relationships) descriptors and labels	V2-P063	SPLIT_RECORD											Split the five named bolt-on extensions.
Instrument	Cantril's Self-Anchoring Striving Scale	V2-P174	AMBIGUOUS											The label needs source review before it can become a shared identity.
Instrument	Chichewa (Malawi) PedsQL™ 4.0 GCS child self-report	V2-P012	ALIAS_EXISTING	instrument:pedsql	PedsQL							GLOBAL	Chichewa (Malawi) PedsQL™ 4.0 GCS child self-report	Exact semantic alias of the reviewed identity.
Instrument	Chichewa (Malawi) PedsQL™ 4.0 GCS teen self-report	V2-P012	ALIAS_EXISTING	instrument:pedsql	PedsQL							GLOBAL	Chichewa (Malawi) PedsQL™ 4.0 GCS teen self-report	Exact semantic alias of the reviewed identity.
Instrument	Child Health Utility 9D (CHU9D)	V2-P057;V2-P091;V2-P203	ALIAS_EXISTING	instrument:chu9d	CHU9D							GLOBAL	Child Health Utility 9D (CHU9D)	Exact semantic alias of the reviewed identity.
Instrument	Child Health Utility 9D (CHU9D) proxy version with guidance notes for children under 5 years	V2-P151	ALIAS_EXISTING	instrument:chu9d	CHU9D							GLOBAL	Child Health Utility 9D (CHU9D) proxy version with guidance notes for children under 5 years	Exact semantic alias of the reviewed identity.
