record_id	paper_id	work_id	project_ids	article_path	article_sha256	article_bytes	pdf_path	pdf_sha256	pdf_bytes	metadata_source_paths	coverage_reason	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes	task_sha256	ontology_sha256	vocabulary_sha256	normalization_registry_sha256	normalization_aliases_sha256	metadata_enrichment
PDF-P001	10.1002/hec.4863	doi:10.1002/hec.4863	20180210	corpus/20180210/doi_10.1002_hec.4863.md	df340ebc6f78c9d77b0d1dc869c55d905acff9d729afa43b211af6e4bc18e0ff	31466	input/projects/20180210/papers/doi_10.1002_hec.4863.pdf	7fbc93a61f09abadcf6017f962636c6880ea58bf02bca40ea62edf80227d569d	320101	input/projects/20180210/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P001.json	10508b33956f01177ddf248625922765ee21f7139a7c076ddf70299d98b8c4cf	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P001.md	97080b9ce9b2b450d2530b1dec62645a4cf111f07876e872564a5e05aaeadc5d	75617	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P002	10.1007/s10198-021-01412-y	doi:10.1007/s10198-021-01412-y	20180500	corpus/20180500/doi_10.1007_s10198-021-01412-y.md	a1ecf187686f15d498c8cd7697f016242c567d57d9910e66be9ffbaefc833e62	41242	input/projects/20180500/papers/doi_10.1007_s10198-021-01412-y.pdf	fb087a5d8b786a68f32d908df94fc5e5b5eaa97673463082c3e5ad0dfc4a0a2d	808247	input/projects/20180500/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P002.json	20d087b70b9077cafad2c7b216a37ef6750de55bc436e0ee9a22c3cb5c050cda	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P002.md	eb7ae97c59dcd84563eb0ce10fed3b97a2f147289c0b0bbfabab111bc302b66f	86643	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P003	10.1007/s10198-023-01647-x	doi:10.1007/s10198-023-01647-x	20190150R1	corpus/20190150R1/doi_10.1007_s10198-023-01647-x.md	68373aa24ccbd68585e97ef04a843123d87d371c084db78d74dbec889fbe8a5c	39118	input/projects/20190150R1/papers/doi_10.1007_s10198-023-01647-x.pdf	749f2fec09bdacdb227bd44bab643735b9b67758414560e4da46a6b530ba36ee	573625	input/projects/20190150R1/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P003.json	f830579a8131b5df0c9c060148dc433d25e8b659355010183968a124152e4a90	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P003.md	87b96097ed4b5d4e5a54ba568c6e029a9c947004fde6a88a682088ea4345458c	83862	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P004	10.1007/s10198-024-01669-z	doi:10.1007/s10198-024-01669-z	20170330	corpus/20170330/doi_10.1007_s10198-024-01669-z.md	28dac381eb2a07ade8589649a84facb825d6869201358265b2d42467155a3e9e	49437	input/projects/20170330/papers/doi_10.1007_s10198-024-01669-z.pdf	b3e41d40e938140433b55d2fd768721f5ee0e77379da0f16bd66808fb20f7efa	545844	input/projects/20170330/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P004.json	644790b728c50d9f69cc2ce2afb28a81786b581ca86fcbf6bd750dc64f902a52	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P004.md	f91f667e4b990d10b30fefe7ce0179aaaf5438ad42b2d0363ee528739adabe83	95089	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P005	10.1007/s10198-025-01892-2	doi:10.1007/s10198-025-01892-2	1693-RA	corpus/1693-RA/doi_10.1007_s10198-025-01892-2.md	08158e4f9e16c7c99004bbfee90052283c6719596170ba3ee3bb92164d2356d4	36097	input/projects/1693-RA/papers/doi_10.1007_s10198-025-01892-2.pdf	d7ada217b510fa49fdb7d0dc473742f4d913cdf073b819f7ff8a1ec761609f46	1030098	input/projects/1693-RA/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P005.json	d252aa760b5f03fa107072ac7f972a4de0f1fe16843d00516fb30c1e2c725fd4	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P005.md	e4063dd550511b557a43b54985ce4638873d455d3e0a7644f72efd1767dba516	80025	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P006	10.1007/s10614-024-10637-x	doi:10.1007/s10614-024-10637-x	304-PHD	corpus/304-PHD/doi_10.1007_s10614-024-10637-x.md	8568966e2117c76e0f4e02a1a965cb30a0710fcce16ce8868b3a8480691b3cf1	78793	input/projects/304-PHD/papers/doi_10.1007_s10614-024-10637-x.pdf	768e44634dd3a305b1ccaef3ed60d3f0df85dbaba0b7b10ce8646ec2774a0cc3	2216953	input/projects/304-PHD/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P006.json	5d8e64f46a665bef4bed797905cb9d9172e0ba6a38d65032d649f71b3cb2c886	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P006.md	6743ca59b9e64a797bdd15e25109b470df55ca96a585cd3fff02f0313d4d60e5	123273	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P007	10.1007/s11136-014-0897-z	doi:10.1007/s11136-014-0897-z	2013100	corpus/2013100/doi_10.1007_s11136-014-0897-z.md	74b6da4bc7f85d165922f1d722ff80424f0a11a6041f23a45451b9fddfe07433	30376	input/projects/2013100/papers/doi_10.1007_s11136-014-0897-z.pdf	5b139268b64a6be0773688cd162753c9a04a8f8f802a4bd0af249942d5a6648e	349535	input/projects/2013100/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P007.json	1f34b23cf236eb46974a991ba67f28d7ec9d3962b47a666348deb2ea18ea7b0c	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P007.md	a4684e78ac93737da6b218ec45f316c7afa2dc034f2ca894f89999d0778ec974	74587	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	AUTHOR_ORDER_REVIEW
PDF-P008	10.1007/s11136-024-03669-1	doi:10.1007/s11136-024-03669-1	398-RA	corpus/398-RA/doi_10.1007_s11136-024-03669-1.md	bcc86efe28786ec51d5c7fe94bbd29be79fd1bc4903fe0742c7aea71b74c1b08	54338	input/projects/398-RA/papers/doi_10.1007_s11136-024-03669-1.pdf	15aa57d0de50968d645282da9331906b1138e5311814282c900d4eb76c247512	2385188	input/projects/398-RA/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P008.json	354700c1f0089b63b11f94ef55510a9ad8c8e700f73032190bf61016e31b228c	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P008.md	b53268fbda9ca8ba2062b4f8d2f60af6c3d788e220e5fdd1dd6fc566cbf7301c	99108	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P009	10.1007/s40273-024-01379-7	doi:10.1007/s40273-024-01379-7	361-RA	corpus/361-RA/doi_10.1007_s40273-024-01379-7.md	58135e9c72ef16416d445e8a8e68ae34ebd3e9348145a3f26ca1b55c1cad0e71	63284	input/projects/361-RA/papers/doi_10.1007_s40273-024-01379-7.pdf	a9d5b1509420e55fe55603b2b86a8dfe806d3387331dffcc3724bb7f08b7b7d5	1399864	input/projects/361-RA/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P009.json	39c5232e0d28a71bb4d2bf97fcd2f8c9d46d39f2d159e65449aef30955d2cd44	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P009.md	8659671eca630266c1a4542f145641aa2ff780be2629c56f75c82feaec73507a	108468	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
PDF-P010	10.1007/s40273-024-01382-y	doi:10.1007/s40273-024-01382-y	361-RA	corpus/361-RA/doi_10.1007_s40273-024-01382-y.md	57cbc9196981bd5b4b1fa9c5651538ac435350dbf4bbe44123136aa340137e08	54796	input/projects/361-RA/papers/doi_10.1007_s40273-024-01382-y.pdf	3f2237f6197c29c87c2be9af8d2a631fec17cc06647fec6b46753cd9e1b87c64	2421132	input/projects/361-RA/publications.json	local PDF tranche; project instances=1	pilot/ontology-development-v4/production/pdf-tranche-metadata-enriched/metadata/PDF-P010.json	566d93592eae39db92cced7bc890ae060cb4ea92dd2fba3455949923b81547b4	pilot/ontology-development-v4/production/pdf-tranche-prepared/inputs/PDF-P010.md	d55440c2a3e290616b8bc269f80671f5507e90a25f6938abfb467b3867a7ac9c	99962	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	6fa0d58cc83ecd8cb105236111838ad85f5db44d9ae06f65fee0c7ee90736698	ad111d4f886dc72426c43c11445c6f2e93330e4b2bef1cdb2198dd75eecdfb4d	ENRICHED
