record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes	task_sha256	ontology_sha256	vocabulary_sha256	normalization_registry_sha256	normalization_aliases_sha256	metadata_repair	work_id	project_ids	pdf_path	pdf_sha256	pdf_bytes	metadata_source_paths	metadata_enrichment
V2-P001	G001	10.1007/s40273-018-0615-8	corpus/2012020/doi_10.1007_s40273-018-0615-8.md	ce4008f8960d9f27e76693f2f31fd1b2b043c3b86ccef599e799a745c444849f	48419	input/projects/2012020/papers/doi_10.1007_s40273-018-0615-8.xml	a4d85be57bdad3a0ea02b266175df164eb45cee73db85f8631839be04e84969c	83414	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P001.json	02d70192570bc905afa12ab260bf2ed2d365f8be4f18dc2f9fe75cf7d11ab406	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P001.md	2c524050f070b7160c432a8e138100ee8ff5d495a2e357bc84b8e431a4b811a6	94741	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P002	G002	10.1007/s40271-025-00735-9	corpus/2016260/doi_10.1007_s40271-025-00735-9.md	de80a5d62b8403bae87fb1884f304bbf58adb21e38e37f84f3f2ec339559ca42	112933	input/projects/2016260/papers/doi_10.1007_s40271-025-00735-9.xml	627e3aa895a17583b844b0fcab39ad9b7d4d37a905f5d1e020708e78569c1b65	178252	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P002.json	c5e3d3ba20ed1328fc7b8a5decfcdadd8662f267bc3353b271f18eab3baec668	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P002.md	829882b66dc49f68b5559c7f1b7cc26fd58c274b3dbef41fbd69d004d283e2fe	162750	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P003	G003	10.1007/s10198-025-01769-4	corpus/1508-RA/doi_10.1007_s10198-025-01769-4.md	5aeb8d6b2307857d7cfd092368a992685d86ab149249d8db3b4d03dc4468c324	78866	input/projects/1508-RA/papers/doi_10.1007_s10198-025-01769-4.xml	425cbde1851b620a1a1ef8d597d4ae33c1e1672d14c08674b4e9609a48617dd2	142977	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P003.json	79568baccfbc620ed0aec435724f63cc69a1034421a4329e21c265ca3c05d39d	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P003.md	d93c0d7b8799c3572d4222363c180d56069508a942cddad00f9c57fb788b599e	127809	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P004	G004	10.1007/s11136-026-04223-x	corpus/429-RA/doi_10.1007_s11136-026-04223-x.md	5266d9a9ea95e329ff9e5e1e46f124ffe129051b75fd16ce030459f108d798fe	49434	input/projects/429-RA/papers/doi_10.1007_s11136-026-04223-x.xml	65ae57046de369fa94d69b7ba772e367a6e666ecf03b434067c7afe07f579194	81976	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P004.json	dc48d6e2c1f7a66e53c9e3fcd1adfcb299aac1520ce74adf149925ea9620a5df	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P004.md	043cd5e6d6fb215c088342fe9b5bc8ccae2d64d4b42742ce3e2927ec96e064e4	100700	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P005	G005	10.1007/s40271-024-00715-5	corpus/150-RA/doi_10.1007_s40271-024-00715-5.md	19259d3a21512fdd2c1e447fe6e44febcbd2388f57eabe3431d298282c222d05	62053	input/projects/150-RA/papers/doi_10.1007_s40271-024-00715-5.xml	3229a5eede9e1230b0b20cb28fa6587ba5269688e0ec8ad7f27417badf07061b	95270	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P005.json	7e632696a77129eabc6556626700844b4bd387d2600486e092aa8f5c1ca80984	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P005.md	60f32945ba57182fbaff3445d39e82df0936b09ecc0f6219cf70ef01ec91cdfa	112194	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P006	G006	10.1007/s11136-018-1985-2	corpus/2015400/doi_10.1007_s11136-018-1985-2.md	363625c754d379c479f786321eb244e48678aacfa36d92fe001dd38ac3247539	71162	input/projects/2015400/papers/doi_10.1007_s11136-018-1985-2.xml	19dbf59e5b15b068173889c41d6bbdab5b34ab08b194adbff790c1964731ebb5	147707	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P006.json	f79f154ca0b93df042d9b0d940c6288fd5c8f9075007c77511cbf6bdf0ee9e14	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P006.md	e0cb03476739dfcc31fb3f69559390d9b9b2645145cc706c6e3a51ba3f4cf1df	120603	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P007	G007	10.1007/s40273-019-00854-w	corpus/2016230/doi_10.1007_s40273-019-00854-w.md	68f45ea10e7e3e77cad9ebad14637b5c1f2f2109e34b67f380cce6c050127b6c	113530	input/projects/2016230/papers/doi_10.1007_s40273-019-00854-w.xml	a2f7a83ddbccff96e0bf913327025b2e1f1a9f01caa399629d767fbd414eee98	208051	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P007.json	0036deb7dc8d50f84dc89fa37ae2b35899307e9090352c4178f0a0e2cf60b7d1	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P007.md	b8d1bfc81d93407c8e321196beebe4e8bd4c837b738d53d59b24d27f3da213d2	160527	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P008	G008	10.1186/s41687-023-00560-4	corpus/20190200/doi_10.1186_s41687-023-00560-4.md	2b0b92df4d11b6cf42011484f45492f87ed69e4b0c6e74f8fd40ebe4fd6dd74b	116878	input/projects/20190200/papers/doi_10.1186_s41687-023-00560-4.xml	ebefe1f5e2a7334d236022e14d9f2d872ba6ab0090c525e006ef33986dd6910f	189500	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P008.json	c602e33032b23dc0a0a80fefd7d6d9316a10fd09606f6eb1e3948fb5d7978730	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P008.md	ca970276a5de2ffb16bb5c2bbd7377fb0ba0c2b048e2d309198b818b872fe27d	165653	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P009	G009	10.1038/s41433-023-02860-x	corpus/341-RA/doi_10.1038_s41433-023-02860-x.md	6a27dd1b66faeb7e4095b044a2f9b8df67dc165bf02ff8811dbcc59b536643d6	71413	input/projects/341-RA/papers/doi_10.1038_s41433-023-02860-x.xml	f0cfc7babf470ce52123902331f18766b073f6fb9ef5bf99ff37355be5b08b53	117778	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P009.json	de941e404ef096a8d047c91dcc264c4304e1a2709b09e866c262f2ff61dfa5c6	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P009.md	74dc2c7b468367058b34ace18ca6209e84058ab7b3a734f63d3d386bd7eb8e7b	123404	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
V2-P010	G010	10.1186/s12891-024-07304-5	corpus/445-RA/doi_10.1186_s12891-024-07304-5.md	866438ce4bdc844c0cc7a3929828e48acfe2aab09c5d6b7461a5fec9219f4997	57114	input/projects/445-RA/papers/doi_10.1186_s12891-024-07304-5.xml	920a122e8165a0c90167182b4c75534aa72af47dd9064bd7d6b133633bb6dc02	87207	frozen 209-paper JATS corpus	pilot/ontology-development-v4/production/person-citation-sprint/prepared-author-repair/metadata/V2-P010.json	d59ca26cca2d33a89683951719c60983c969822e47dcf057c075abc5fdbb1a2f	pilot/ontology-development-v4/production/prepared-rebuild-v2-v013/inputs/V2-P010.md	a4a69485a4482c8ea859c5c4bfeec2f24cf33e3bfe6d8b43751bbf93e38398ba	105771	5876c7a0636920df49ae04a515854244e78455f9e4d9a69bb2dba6674d322221	495c3be0bb3284343931ea7527177210d22d5aab617dc051bd70895fb3fe7a53	d60b00a82f40f79ab7e43a2f91a3444c932fc6394d3d5e2dfbf3a7fc3f75cd0c	9a5e2dc3e3ef4941ad902a77d17ebb2b4578031e77334c068524231815980fe6	a50d22be3eebc2a79cf3f62af90ea2364f9f2a7046453995786dcc5c94bcd863	TOP_LEVEL_JATS_CONTRIBUTORS_ONLY							
