entity_type	source_label	source_record_ids	decision	proposed_registry_id	canonical_label	parent_registry_id	variant_kind	language_code	jurisdiction	version	source_identifier	scope	aliases	note
Instrument	10-item version of the Barthel Index (BI)	R129-P064	ADD_GLOBAL	instrument:barthel-index-10	Barthel Index, 10-item version		PRODUCT_VERSION			10-item		GLOBAL	10-item version of the Barthel Index (BI)	
Instrument	22-item ZBI	R129-P127	ADD_GLOBAL	instrument:zarit-burden-interview-22	Zarit Burden Interview, 22-item version		PRODUCT_VERSION			22-item		GLOBAL	22-item ZBI	
Instrument	brief optional questions on the feasibility of completing the EQ-5D-3L	C50-P049	ADD_SOURCE_SCOPED	instrument:c50-p049-eq-5d-3l-feasibility-questions	EQ-5D-3L feasibility questions		LOCAL_INSTRUMENT				10.3390/curroncol32060308	C50-P049	brief optional questions on the feasibility of completing the EQ-5D-3L	The source defines a study-specific identity.
Instrument	COST: A FACIT Measure of Financial Toxicity (FACIT-COST)	R129-P028	ADD_GLOBAL	instrument:facit-cost	FACIT-COST							GLOBAL	COST: A FACIT Measure of Financial Toxicity (FACIT-COST)	
Instrument	EQ Health and Wellbeing (EQ-HWB)	CAL-B12;R129-P028	KEEP_EXISTING	instrument:eq-hwb	EQ-HWB							GLOBAL	EQ Health and Wellbeing (EQ-HWB)	Current mapping is exact.
Instrument	EQ VAS	C50-P045;R129-P038;R129-P110	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL		Current mapping is exact.
Instrument	EQ VAS scores in 2012	R129-P110	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ VAS scores in 2012	Current mapping is exact.
Instrument	EQ visual analog scale (EQ VAS)	R129-P028	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ visual analog scale (EQ VAS)	Current mapping is exact.
Instrument	EQ-5D	R129-P090	KEEP_EXISTING	instrument:eq-5d	EQ-5D							GLOBAL		Current mapping is exact.
Instrument	EQ-5D visual analogue scale (VAS)	C50-P049	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ-5D visual analogue scale (VAS)	Current mapping is exact.
Instrument	EQ-5D-3L	C50-P028;C50-P049;R129-P064	KEEP_EXISTING	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d	LEVEL_VERSION			3L		GLOBAL		Current mapping is exact.
Instrument	EQ-5D-3L (3L)	R129-P064	KEEP_EXISTING	instrument:eq-5d-3l	EQ-5D-3L	instrument:eq-5d	LEVEL_VERSION			3L		GLOBAL	EQ-5D-3L (3L)	Current mapping is exact.
