registry_id	alias
instrument:ascot	ASCOT
instrument:asq-parent-report-form	The Ages and Stages Questionnaire (ASQ) Parent Report Form
instrument:barthel-index-10	10-item version of the Barthel Index (BI)
instrument:c50-p049-eq-5d-3l-feasibility-questions	brief optional questions on the feasibility of completing the EQ-5D-3L
instrument:cnf-p002-doctor-agreement-scale	level of agreement with the medical doctor
instrument:cnf-p002-dutch-word-completion-test	Dutch version of a validated word completion test
instrument:cnf-p002-emotional-lability-questionnaire	emotional lability questionnaire
instrument:cnf-p006-revised-knee-decision-aid	revised individualized decision aid
instrument:cnf-p008-egypt-valuation-questionnaire	country-specific questionnaire designed for the Egyptian valuation study
instrument:cnf-p015-self-rated-health-vas	VAS score Health
instrument:ecog-performance-status	Eastern Cooperative Oncology Group (ECOG) performance status
instrument:eortc-qlq-c30-global-health	EORTC-QLQ-C30 global health subscale
instrument:eq-5d	European quality of life five dimensions (EQ-5D)
instrument:eq-5d	EuroQol 5-Dimension
instrument:eq-5d-3l	EQ- 5D- 3L
instrument:eq-5d-3l	EQ-5D 3L
instrument:eq-5d-3l	EQ-5D-3L (3L)
instrument:eq-5d-3l	EQ-5D-3L descriptive system
instrument:eq-5d-3l	EuroQol’s EQ-5D-3L
instrument:eq-5d-5l	EQ-5D 5L
instrument:eq-5d-5l	EQ-5D-5L (5L)
instrument:eq-5d-5l	EQ-5D-5L descriptive system
instrument:eq-5d-5l	EQ‐5D‐5L health states
instrument:eq-5d-5l	EQ-5D-5L hypothetical health states
instrument:eq-5d-5l	EQ‐5D‐5L instrument
instrument:eq-5d-5l	EQ-5D-5L questionnaire
instrument:eq-5d-5l	EQ-5D-5L states from 2012
instrument:eq-5d-5l	self-rated EQ-5D-5L health state
instrument:eq-5d-5l	self-reported EQ-5D-5L descriptive system
instrument:eq-5d-5l-am-et	Amharic version of EQ-5D
instrument:eq-5d-5l-ar-eg	Arabic version of the EQ-5D-5L
instrument:eq-5d-5l-zh-hant-tw	official EQ-5D-5L traditional Chinese character Taiwan version
instrument:eq-5d-y	EuroQol Youth
instrument:eq-5d-y-3l	EQ- 5D-Y- 3L
instrument:eq-5d-y-3l	EQ-5D-Y 3L
instrument:eq-5d-y-3l-zh-hans-cn	simplified Chinese version of the EQ-5D-Y-3 L instrument
instrument:eq-5d-y-5l	EQ- 5D-Y- 5L
instrument:eq-5d-y-5l	EQ-5D-Y 5L
instrument:eq-hwb	EQ Health and Wellbeing
instrument:eq-hwb	EQ Health and Wellbeing (EQ-HWB)
instrument:eq-hwb-9-proxy-en-au-v1	proxy version of the experimental EQ-HWB-9 (2022) questionnaire (English for Australia; version 1)
instrument:eq-hwb-s	EQ Health and Wellbeing Short
instrument:eq-hwb-s	EQ-HWB-9
instrument:eq-hwb-s	EuroQol Health and Wellbeing Short Version (EQ-HWB-9)
instrument:eq-tips	EQ-TIPS proxy instrument
instrument:eq-tips-3l	EQ-TIPS 3L
instrument:eq-tips-3l-xh-za	isiXhosa EQ-TIPS
instrument:eq-tips-3l-xh-za	isiXhosa version of the EQ-TIPS for South Africa
instrument:eq-tips-5l	EQ-TIPS-5L descriptive system
instrument:eq-vas	EQ VAS scores in 2012
instrument:eq-vas	EQ visual analog scale (EQ VAS)
instrument:eq-vas	EQ-5D visual analogue scale (VAS)
instrument:eq-vas	EQ-TIPS visual analogue scale (VAS)
instrument:eq-vas	EQ-VAS
instrument:eq-vas	EQ‐VAS
instrument:eq-vas	EQ-VAS instrument
instrument:eq-vas	EuroQol visual analog scale
instrument:eq-vas	EuroQol visual analogue scale
instrument:eq-vas	Visual Analogue Scale
instrument:eq-vas	visual analogue scale (VAS)
instrument:experiences-close-relationships-nl	validated Dutch version of the Experiences in Close Relationships
instrument:facit-cost	COST: A FACIT Measure of Financial Toxicity (FACIT-COST)
instrument:facit-cost-v2-id	official Indonesian version of FACIT-COST (v2)
instrument:fact-g	Functional Assessment of Cancer Therapy – General (FACT-G)
instrument:fatigue-severity-scale	FSS
instrument:flacc-pain-scale	Face, Leg, Activity, Cry, Consolability (FLACC) Pain Scale
instrument:hads-a	HADS-A
instrument:hads-d	HADS-D
instrument:hint-8	Health-related Quality of Life Instrument with 8 Items (HINT-8)
instrument:hui	Health Utility Index (HUI)
instrument:hui2	Health Utilities Index Mark 2 (HUI2)
instrument:hui2	HUI2
instrument:hui3	Health Utilities Index Mark 3 (HUI3)
instrument:hui3	Health Utility Index mark 3 [HUI3]
instrument:hui3	HUI3
instrument:modified-rankin-scale	modified Rankin Scale (mRS)
instrument:msis-29-v2	MSIS-29v2
instrument:msws-12	MSWS-12
instrument:overall-health-assessment	overall health assessment (OHA)
