record_id	paper_id	article_path	sha256	bytes	coverage_reason
S002	10.1007/s40273-016-0404-1	corpus/2015410/doi_10.1007_s40273-016-0404-1.md	467cb82e557941064c134149dbaf410ed7cffd108084fcd2507a051db5c532c9	56286	TTO protocol and task-design comparison
S017	10.1007/s10198-018-0993-z	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741	80616	personal utility functions and alternative valuation
S024	10.1007/s40258-025-00954-z	corpus/1767-RA/doi_10.1007_s40258-025-00954-z.md	de0405964ea0d43d90d3fa0acc825ce046c65bff84aef08a44942b8040365452	68428	native and crosswalk value-set comparison
S031	10.1371/journal.pone.0319227	corpus/348-PHD/doi_10.1371_journal.pone.0319227.md	87a2c313ac7b1cdde3152331e303e0015897a8f79614135163db1d1f16701e70	163225	qualitative PTO reasoning about child and adult health
S040	10.3390/curroncol32110645	corpus/1456-PD/doi_10.3390_curroncol32110645.md	c56fde022f3c5b0ab1a9fe9a206c95f38c6f711c734b82bb98778c78058e1ba4	58691	equity factors and cancer utilities
S052	10.1007/s11136-024-03875-x	corpus/1475-RA/doi_10.1007_s11136-024-03875-x.md	f8d32a59a6e392759fc0c38accaee1b28f75699d4ff172abdcc62c41f4c4719f	64852	bolt-on content validity
S057	10.1007/s11136-025-03996-x	corpus/330-PHD/doi_10.1007_s11136-025-03996-x.md	5e7dd427dd3e9ecb19ee3957b0623b7b932aa6d983274de82d67e97340ed5464	69560	paediatric PROM co-design and implementation
S058	10.1007/s10198-021-01306-z	corpus/2016710/doi_10.1007_s10198-021-01306-z.md	3fd5eca21b9429c79f5c0947e286ee07919dea027a79fd7f4a03fd45cd902b0b	92752	EQ-HWB domain and item development
S062	10.1186/s12955-024-02290-7	corpus/364-RA/doi_10.1186_s12955-024-02290-7.md	9ee7dfff9c287e3c6dd4abab83be9d2f3d32ca4212aa8fae20b4b93c39a717f0	52978	same-language cultural adaptation
S071	10.1007/s40273-018-0642-5	corpus/2016170/doi_10.1007_s40273-018-0642-5.md	2db101c7ed9e576690145c64ba93fbb06f684053fb8ed9af2058f27508d0b6fa	84553	systematic review of 3L and 5L measurement properties
S084	10.1177/0272989X20969686	corpus/20170210/doi_10.1177_0272989x20969686.md	3ae3da8629d8b0716d2e0a96569796b3bf81b1eb5c5c13fe54038d2d46676d99	65568	bolt-on selection with paired choices
S089	10.1007/s11136-025-04074-y	corpus/367-RA/doi_10.1007_s11136-025-04074-y.md	228dc3ca0c53db29e5f6de64f2702c80bcdf1e110f3a67319d213c77b3859e02	90076	multi-country survey data-quality system
S091	10.3389/fepid.2023.1144162	corpus/460-RA/doi_10.3389_fepid.2023.1144162.md	5f3bd0b79e50eb3cc64cc38855dc6166f24d0376f5cf183e648cb1d8459485c3	82786	post-COVID health outcomes over time
S099	10.1007/s40258-023-00798-5	corpus/2021-RA/doi_10.1007_s40258-023-00798-5.md	a3b76abaf1369572ffe8c9a3fd3d132e04aef1abb93c8730546f5020fc85320b	50592	pregnancy and postpartum population health outcomes
S100	10.1016/j.jval.2025.02.001	corpus/345-PHD/doi_10.1016_j.jval.2025.02.001.md	45d9c8ae457cb963d4fb0be5882c72526e7fbcff050b234d29f5bbe94719f2ac	50386	review of EQ-5D analysis in randomized trials
