order	paper_id	format	article_path	article_sha256	bytes
1	10.3390/curroncol32110645	xml	corpus/1456-PD/doi_10.3390_curroncol32110645.md	c56fde022f3c5b0ab1a9fe9a206c95f38c6f711c734b82bb98778c78058e1ba4	58691
2	10.1016/j.jval.2018.05.002	pdf	corpus/2014160/doi_10.1016_j.jval.2018.05.002.md	268eb0cee749e3db1406b2da7be3f0748436add82c59e7adff2c23a2b2be2faf	42129
3	10.1007/s40273-018-0642-5	xml	corpus/2016170/doi_10.1007_s40273-018-0642-5.md	2db101c7ed9e576690145c64ba93fbb06f684053fb8ed9af2058f27508d0b6fa	84553
4	10.1016/j.jval.2023.03.003	pdf	corpus/20191020/doi_10.1016_j.jval.2023.03.003.md	ce0497e362f7890f2adb7b9496060583689a6b8428ed8ce5aa57d9ca3bd3df87	28961
5	10.1038/s41433-023-02860-x	xml	corpus/341-RA/doi_10.1038_s41433-023-02860-x.md	6a27dd1b66faeb7e4095b044a2f9b8df67dc165bf02ff8811dbcc59b536643d6	71413
6	10.1177/0272989x251325828	xml	corpus/341-RA/doi_10.1177_0272989x251325828.md	e4063e816586a8e5b950966bc16d953e8fd2607a99ce77d159343a9a43d3145b	42340
7	10.1186/s12955-024-02266-7	xml	corpus/341-RA/doi_10.1186_s12955-024-02266-7.md	fc29e562638e700d12dcdb40596879f0dde16b982ea6e0f13fce2dc1d2d341ff	123881
8	10.1186/s12955-024-02323-1	xml	corpus/341-RA/doi_10.1186_s12955-024-02323-1.md	0799a7ca241ea73db2689a91cd923cc608fd84703978215f058bca66c700cf9a	106425
9	10.1007/s11136-025-04074-y	xml	corpus/367-RA/doi_10.1007_s11136-025-04074-y.md	228dc3ca0c53db29e5f6de64f2702c80bcdf1e110f3a67319d213c77b3859e02	90076
10	10.1007/s11136-026-04294-w	xml	corpus/367-RA/doi_10.1007_s11136-026-04294-w.md	dbe2990bb84c15095eacc4d25bcdb85b95666052542c97e294532eb4fd608842	49090
