record_id,title,doi,outcome,abstract_source
P003c9881f328,Costs of Perennial Allergic Rhinitis And Asthma Increase with Level of Severity And Level of Disease Control,10.1016/j.jval.2016.09.1186,unavailable,
P015dc297aef2,"Cost-effectiveness in medical and interventional treatments in atrial fibrillation,Rapport coÛt-efficacité des traitements médicamenteux et interventionnels dans la fibrillation atriale",10.1016/s1878-6480(16)30327-5,unavailable,
P016187bf48a0,"PR2 DECIDING ON VALUE FOR MONEY:A COMPARISON OF THE DUTCH, BELGIAN, SWEDISH, AND FRENCH DRUG REIMBURSEMENT SYSTEMS",10.1016/s1098-3015(11)71891-5,unavailable,
P02feaff644fb,A French approach to cost-effectiveness analysis?,10.1007/s10198-010-0284-9,unavailable,
P034e2973a244,"Impact de la séquence première-deuxième ligne de traitement, acétate d’abiraterone-docétaxel versus docétaxel-acétate d’abiratérone, sur la survie dans le cancer de la prostate résistant à la castration et métastatique ; Étude de cohorte dans le SNDS",10.1016/j.respe.2021.05.027,unavailable,
P03c99c541c3d,Do Asthma Or COPD Cost-Effectiveness Models Have Similar Structures And Inputs?,,unavailable,
P0523f6e11e24,The Health of Health Technology Assessment in Ireland: Five Points for Improvement,10.1016/j.jval.2013.08.962,unavailable,
P05b474ff83ec,Real-World Outcomes of Ipilimumab in Patients with Advanced Melanoma in The Netherlands,10.1016/j.jval.2016.09.2077,unavailable,
P067e025e3e4a,The use and impact of value of information analysis in decision-making,10.1016/j.jval.2013.03.175,unavailable,
P08bb1553a888,Les économies d’échelle dans le secteur hospitalier public français,,unavailable,
P08d79784bb03,"Evaluation: the French chefs are still searching for ""la nouvelle cuisine"".",10.1590/s0102-311x1999000200005,unavailable,
P096e79e607dd,Cost of crime: A systematic review,10.1016/j.jcrimjus.2015.04.009,unavailable,
P097356832bfc,Vascular activity and outcomes from routine data,,unavailable,
P0c2538aeea25,The Utilization of Pharmacovigilance Databases for the Safety of Health Products: A Systematic Review,,unavailable,
P0c3a87c5ec10,98 – Health-economic analysis of risperidone long-acting injectable compared to olanzapine and a conventional depot in Sweden and Finland,10.1016/j.schres.2007.12.165,unavailable,
