record_id,title,year,doi,pmid,pmcid,linked_people,screen_code,screen_reason,full_text_status,full_text_source,assessment_status,connection,connection_evidence,funding_raw,funding_scope,funding_evidence,funding_scope_evidence,project_link,project_ids,project_evidence,confidence,manual_adjudication
Pd3331b7c872d,"Exploring health preference heterogeneity in the UK: Using the online elicitation of personal utility functions approach to construct EQ‐5D‐5L value functions on societal, group and individual level",2024,10.1002/hec.4805,38243895,,Ben Van Hout,R1,"[R1] The study develops OPUF-derived societal, group, and individual EQ-5D-5L value functions from health-state preferences.",unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P81fe3275ea7f,Using the Online Elicitation of Personal Utility Functions Approach to Derive a Patient-Based 5-Level Version of EQ-5D Value Set: A Study in 122 Patients With Rheumatic Diseases From Germany,2023,10.1016/j.jval.2023.12.009,38154596,,Ben Van Hout,R1,[R1] The study tests OPUF for deriving a patient-based EQ-5D-5L value set from a small rheumatic-disease sample.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P57ec0de21501,The Online Elicitation of Personal Utility Functions (OPUF) tool: a new method for valuing health states,2022,10.12688/wellcomeopenres.17518.1,36060298,PMC9396078,Ben Van Hout,R1,[R1] The article develops and pilots the OPUF tool to elicit individual and group EQ-5D-5L health-state value sets.,available,europe_pmc_xml,assessed,direct_eq,"The study develops and pilots the OPUF, a compositional online method to derive individual and group EQ-5D-5L value sets; EQ-5D health-state valuation is its primary object.",other_funding_only,other_funding_only,This work was supported by Wellcome [108903]; the text names no EuroQol funder or support.,This work was supported by Wellcome [108903]; the text names no EuroQol funder or support.,none,,The article reports Wellcome [108903] support and does not identify either candidate or describe the candidates' utility-rescaling or England 5L-value-set project aims.,high,
P371ccbf7c0d5,Mapping EQ-5D-3L to EQ-5D-5L.,2021,10.1016/j.jval.2021.03.009,34452708,,Ben Van Hout,R1,[R1] The research develops and evaluates algorithms mapping EQ-5D-3L responses to EQ-5D-5L value sets.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
Pe650b362c8a4,The EQ-5D-5L Value Set for England: Response to the “Quality Assurance”,2020,10.1016/j.jval.2019.10.013,32389231,,Ben Van Hout,R1,[R1] The article assesses modelling approaches and stated-preference methods used for the EQ-5D-5L England value set.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P5a10aa051f45,Comparison of quality of life measurements: EQ-5D-5L versus disease/treatment-specific measures in pulmonary embolism and deep vein thrombosis,2019,10.1007/s11136-018-2081-3,30607785,,Ben Van Hout,R1,[R1] The study evaluates EQ-5D-5L psychometric performance against disease- and treatment-specific quality-of-life measures.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P25a8a0815f71,A new method for valuing health: directly eliciting personal utility functions,2018,10.1007/s10198-018-0993-z,30030647,PMC6438932,Ben Van Hout,R1,[R1] The paper develops and pilots a direct personal-utility-function method for valuing EQ-5D health states.,available,europe_pmc_xml,assessed,direct_eq,"The paper develops and pilots a stated-preference method for directly eliciting personal utility functions to value EQ-5D, with the aim of producing EQ-5D value sets.",explicit_euroqol,study_funding,Acknowledgements: ‘This study was funded by the EuroQol Research Foundation.’,Acknowledgements state that this study was funded by the EuroQol Research Foundation.,possible,2014025,"Project 2014025 plausibly concerns an England EQ-5D-5L value-set study at Sheffield under Ben Van Hout; this article reports a 2015 England pilot using a simplified EQ-5D-5L, but gives no project ID or matching grant.",medium,
Pac1310015ab8,An exploration of the non‐iterative time trade‐off method to value health states,2018,10.1002/hec.3773,29774632,PMC6055741,Ben Van Hout,R2,[R2] The study develops and compares non-iterative TTO formats for valuing health states against DCE TTO.,available,europe_pmc_xml,assessed,direct_eq,"The study’s aim is to test non-iterative TTO variants for EQ-5D-5L health-state valuation, comparing them with DCETTO and iterative TTO.",explicit_euroqol,study_funding,Acknowledgements: ‘This study is funded by the EuroQol Research Foundation.’,Acknowledgements: This study is funded by the EuroQol Research Foundation.,possible,2014025,"Project 2014025 plausibly overlaps in PI Ben van Hout, timing, UK EQ-5D-5L valuation, and Sheffield context, but the article gives neither its ID/title nor a funding statement identifying it.",medium,
P13a50c7a151d,Comparing the UK EQ-5D-3L and English EQ-5D-5L Value Sets,2018,10.1007/s40273-018-0628-3,29476363,PMC5954043,Ben Van Hout,R1,"[R1] This study directly compares UK and English EQ-5D-3L, crosswalk, and EQ-5D-5L value sets and their utility-score properties.",available,europe_pmc_xml,assessed,direct_eq,"The article’s objective is to compare the UK EQ-5D-3L, crosswalk, and English EQ-5D-5L value sets, including their valuation protocols, theoretical utilities, and patient-data implications.",explicit_euroqol,related_work_funding,"No funding was received for this study, but the crosswalk study data collection was funded by the EuroQol Research Foundation.","The article says: ‘No funding was received for this study,’ while only the underlying crosswalk-study data collection was funded by EuroQol.",possible,2014025,"Project 2014025 is a plausible link because its title is Supplementary funding 5L value set study England: Sheffield and van Hout is an author; this article analyses the English EQ-5D-5L value set, but gives no project identifier or statement linking this comparative paper to the project.",medium,
Pea5d7fc0472b,International Regulations and Recommendations for Utility Data for Health Technology Assessment,2017,10.1007/s40273-017-0544-y,29052162,,Ben Van Hout,R2,"[R2] This article's primary focus is how utility data and generic preference-based measures should be collected, sourced, and used.",unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
