person,names_linked,projects_as_pi,orcid_listed_works_n,openalex_profile_works_n,pubmed_v2_topic_hits_n,google_scholar_first_page_n,google_scholar_count_status,profile_statuses,source_records_total_n,source_records_from_rejected_profiles_n,source_records_accepted_n,dedup_n,excluded_document_junk_n,excluded_non_journal_output_n,publication_type_uncertain_n,journal_article_before_abstract_gate_n,abstract_from_source_union_n,abstract_enriched_n,abstract_unavailable_excluded_n,for_title_abstract_screen_n,ai_screened_n,ai_excluded_n,for_full_text_n,status
Ben Van Hout,Ben Van Hout,2014025;20190940,1,120,76,100,AT_LEAST_100_FIRST_PAGE_ONLY,orcid=caution;openalex=accept;pubmed=accept;scholar=accept,297,0,297,192,2,27,0,163,92,42,29,134,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Ciaran O'Neill,Ciaran O'Neill,2013280,44,306,157,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=caution;pubmed=reject;scholar=not_available,507,157,350,297,2,36,0,259,194,40,25,234,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Elly Stolk,Elly Stolk,1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO,129,161,102,0,NO_VERIFIED_PROFILE,orcid=caution;openalex=accept;pubmed=accept;scholar=not_available,392,0,392,168,2,21,0,145,113,11,21,124,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Fredrick Purba,"Fredrick Dermawan Purba;Fredrick Dermawan Purba, PhD;Fredrick Purba",1644-RA;1910-RA;1914-RA;2016420;20180140;20180430;20190130;20190440;2035-RA;2113-EOI;2177-RA;2203-RA;242-RA;2463-RA;2466-RA;442-RA,48,148,59,100,AT_LEAST_100_FIRST_PAGE_ONLY,orcid=accept;openalex=accept;pubmed=accept;scholar=accept,355,0,355,151,2,20,0,129,120,3,6,123,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Gerard De Pouvourville,Gerard De Pouvourville,20170510;20190020,180,356,29,100,AT_LEAST_100_FIRST_PAGE_ONLY,orcid=accept;openalex=accept;pubmed=accept;scholar=accept,665,0,665,384,3,74,0,307,119,43,145,162,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Maksat Jumamyradov,Maksat Jumamyradov,1716-TVG;207-RA;2428-RA,7,10,6,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=accept;pubmed=accept;scholar=not_available,23,0,23,11,1,0,0,10,10,0,0,10,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Margreet Franken,Margreet Franken,196-RA,38,104,29,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=caution;pubmed=caution;scholar=not_available,171,0,171,125,2,27,0,96,52,11,33,63,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Nyantara Wickramasekera,Nyantara Wickramasekera,2102-RA,27,58,22,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=accept;pubmed=accept;scholar=not_available,107,0,107,58,1,8,0,49,34,1,14,35,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Philip Powell,Philip Powell,1711-RA;1877-RA;307-RA,127,116,54,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=caution;pubmed=caution;scholar=not_available,297,0,297,170,3,77,0,90,74,11,5,85,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
Piyameth Dilokthornsakul,Piyameth Dilokthornsakul,1982-VS,156,175,44,0,NO_VERIFIED_PROFILE,orcid=accept;openalex=accept;pubmed=accept;scholar=not_available,375,0,375,200,3,19,0,178,109,25,44,134,0,,,READY_FOR_TITLE_ABSTRACT_SCREEN
