record_id	year	source	matched_identifier	checked_at
P28ee8be96093	2026	Crossref exact DOI	10.1038/s41416-026-03412-2	2026-08-23
P2a1b44ca1d37	2000	Crossref exact title	10.1002/1099-1050(200012)9:8<733::aid-hec564>3.0.co;2-u	2026-08-23
P5bee5cdda802	2018	Crossref exact title	10.1016/j.healthpol.2017.10.006	2026-08-23
P68b8d75533ce	2026	Crossref exact DOI	10.1136/bmjopen-2026-120416	2026-08-23
P6d107f1fcc02	2006	Crossref exact DOI	10.1002/hec.1095	2026-08-23
P711d05e58529	2001	Crossref exact DOI	10.1002/hec.590	2026-08-23
P7fb88efb31a7	1999	Crossref exact title	10.1002/(sici)1099-1050(199902)8:1<25::aid-hec398>3.0.co;2-h	2026-08-23
Pa1fbb5fcf99a	2014	Crossref exact title	10.1016/j.healthpol.2014.03.010	2026-08-23
Pa574a662d566	2018	Crossref exact title	10.1016/j.healthpol.2017.11.006	2026-08-23
Pae2d9b86ed42	2026	Crossref exact DOI	10.1111/dme.70310	2026-08-23
Pbee138062731	1998	Crossref exact title	10.1002/(sici)1099-1050(199803)7:2<129::aid-hec332>3.0.co;2-9	2026-08-23
Pd0be27811338	2009	Crossref exact title	10.1007/bf03256137	2026-08-23
Pe91d2f83403a	2004	Crossref exact DOI	10.1002/hec.887	2026-08-23
