publication_id,doi,publication_year,author_order,author_name,person_id,display_name,orcid,openalex_id,entity_kind,corresponding,resolution_status,affiliations
P506f670d0dee,,2018,1,Bernarda Zamora,person:openalex:A5002839084,Bernarda Zamora,0000-0002-8123-644x,A5002839084,PERSON,0,ACCEPTED,
P506f670d0dee,,2018,2,David Parkin,person:eqmember:17823,David Parkin,0000-0002-9990-8208,A5081956728,PERSON,0,ACCEPTED,
P506f670d0dee,,2018,3,Yang Feng,person:openalex:A5044345166,Yang Feng,0000-0001-7746-7598,A5044345166,PERSON,0,ACCEPTED,
P506f670d0dee,,2018,4,Andrea Bateman,person:openalex:A5109393543,Andrea Bateman,,A5109393543,PERSON,0,ACCEPTED,
P506f670d0dee,,2018,5,Michael Herdman,person:eqmember:17930,Michael Herdman,0000-0002-8189-5357,A5006750775,PERSON,0,ACCEPTED,
P506f670d0dee,,2018,6,New Devlin,person:openalex:A5108789427,New Devlin,,A5108789427,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,1,Jill Carlton,person:leader:63cb6b329986,Jill Carlton,0000-0002-9373-7663,A5051490866,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,2,Janice Connell,person:openalex:A5037958944,Janice Connell,0000-0003-4609-3911,A5037958944,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,3,Tessa Peasgood,person:eqmember:17998,Tessa Peasgood,0000-0001-8024-7801,A5022446221,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,4,Clara Mukuria,person:eqmember:17819,Clara Mukuria,0000-0003-4318-1481,A5043083823,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,5,Kristina Ludwig,person:eqmember:17905,Kristina Ludwig,0000-0002-4306-4667,A5035184665,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,6,Ole Marten,person:eqmember:17958,Ole Marten,0000-0002-2576-9110,A5033160244,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,7,Simone Kreimeier,person:openalex:A5033965888,Simone Kreimeier,0000-0002-4832-7833,A5033965888,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,8,Lidia Engel,person:eqmember:17911,Lidia Engel,0000-0002-7959-3149,A5039737173,PERSON,0,ACCEPTED,
