source_id,source,target_id,target,weight
person:author:1afec391499f6ef2,IMPACT HTA HRQoL Group,person:eqmember:18006,Valentina Prevolnik Rupel,1
person:author:1afec391499f6ef2,IMPACT HTA HRQoL Group,person:openalex:A5055015672,Marko Ogorevc,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:17797,Ataru Igarashi,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:17855,Fredrick Purba,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:17875,Jan Busschbach,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:17940,Min-Woo Jo,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:17944,Nan Luo,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:eqmember:18019,Zhihao Yang,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:leader:09fa3c498378,Asrul Shafie,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:leader:31a5417532b0,Eliza Wong,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:leader:53444d26184b,Hsiang-Wen Lin,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:leader:ad6bbe401f11,Juntana Pattanaphesaj,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:leader:c776fcba6574,Hilton Lam,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:openalex:A5005167530,Jeonghoon Ahn,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:openalex:A5010029872,Jie Jiang,1
person:author:56e3e7527ca5b98a,Vu Quynh Mai,person:openalex:A5059651488,Hoàng Văn Minh,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:eqmember:17811,Carlos Wong,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:eqmember:17944,Nan Luo,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:eqmember:17960,Oliver Rivero-Arias,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:leader:31a5417532b0,Eliza Wong,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:openalex:A5050733538,Kailu Wang,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:openalex:A5063317906,Eng‐Kiong Yeoh,1
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,person:openalex:A5103896990,Annie Wai-Ling Cheung,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17861,Gouke Bonsel,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17881,Jennifer Jelsma,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17930,Michael Herdman,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17946,Nancy Devlin,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17948,Narcis Gusi,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:17962,Paul Kind,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:18010,Wolfgang Greiner,1
person:author:9f031a806b144cb4,Xavier Badia,person:eqmember:21548,Ulrike Ravens-Sieberer,1
person:author:9f031a806b144cb4,Xavier Badia,person:leader:5b6527858de5,Kristina Burström,1
person:author:9f031a806b144cb4,Xavier Badia,person:leader:c52a5fd501e9,Ann Charlotte Egmar,1
person:author:9f031a806b144cb4,Xavier Badia,person:openalex:A5001536254,L Scalone,1
person:author:9f031a806b144cb4,Xavier Badia,person:openalex:A5015262987,Nora Wille,1
person:author:9f031a806b144cb4,Xavier Badia,person:openalex:A5038047411,Pedro R. Olivares,1
person:author:9f031a806b144cb4,Xavier Badia,person:openalex:A5083624887,Giulia Cavrini,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:eqmember:17847,Fatima Al Sayah,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:eqmember:17952,Nick Bansback,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:eqmember:17994,Stirling Bryan,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5011858857,Logan Trenaman,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5043862933,Maggie Yu,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5046103327,Hubert Wong,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5058173329,Lena Cuthbertson,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5059399152,Mark Harrison,1
person:author:aa563b557fb89d23,Rick Sawatzky,person:openalex:A5082999537,Lisa M. Lix,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:eqmember:21548,Ulrike Ravens-Sieberer,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:leader:44719d5c83d6,Luis Rajmil,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5002758767,Jordi Alonso,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5006036140,Montse Ferrer,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5027716176,Dolors Rodríguez-Arjona,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5029600678,Gemma Carreras,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5044290626,Àngels Pont,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5047018203,Jose-Maria Mengibar,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5056836963,Vicky Serra‐Sutton,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5065609666,Karina Mayoral,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5069274495,Raquel Corripio,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5071922108,Olatz Garín,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5074718722,Jacobo Pérez,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5077110759,Francisco-Javier Herrero,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5077717916,Joan Bel,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5081225457,Marta Murillo,1
person:author:bc996c2164448fef,Gunther Eysenbach,person:openalex:A5081648742,Hein Raat,1
person:author:ebebfab3aff77b15,Carolina Burgos Díez,person:openalex:A5030143384,Francisco José Tarazona‐Santabalbina,1
person:author:ebebfab3aff77b15,Carolina Burgos Díez,person:openalex:A5059816361,Joan Carles Contel-Segura,1
person:author:ebebfab3aff77b15,Carolina Burgos Díez,person:openalex:A5070586838,Rosa Maria Sequera Requero,1
person:author:ebebfab3aff77b15,Carolina Burgos Díez,person:openalex:A5072417004,M Monzó-Planella,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:eqmember:17936,Mihir Gandhi,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:eqmember:17944,Nan Luo,2
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:leader:09fa3c498378,Asrul Shafie,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:leader:da2b6bcaceb6,Annushiah Vasan Thakumar,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5000367184,Yin Bun Cheung,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5007311021,Chee‐Keong Toh,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5011661751,Phong Teck Lee,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5023048065,Su Pin Choo,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5027649343,Ru‐San Tan,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5067422552,Carolyn S.P. Lam,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5069923703,Ching Jou Lim,1
