finding_id,ordinal,publication_id,doi,publication_year,outcome,reported_value,unit,denominator,time,subgroup,comparator,direction,uncertainty
P00088d2d4963:F1,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,19.6,% reporting any problems,5346 respondents,2.5 months post-injury,Cognition dimension,,,
P00088d2d4963:F1,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,62.4,% reporting any problems,5346 respondents,2.5 months post-injury,Pain/discomfort dimension,,,
P00088d2d4963:F1,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,2.7,% reporting extreme problems,5346 respondents,2.5 months post-injury,Cognition and mobility dimensions,,,
P00088d2d4963:F2,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,9.0,% of observed EQ-5D+C profiles,5346 profiles,,Cognition level 1 with usual activities level 3,Cognition level 3 with usual activities level 1 (<1%),Cognition dominant,
P00088d2d4963:F3,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,0.223,Spearman rank correlation,,,Mobility and cognition,,,
P00088d2d4963:F3,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,0.42,Spearman rank correlation,,,Cognition and anxiety/depression,,,
P00088d2d4963:F3,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Descriptive dependency and dominance between EQ-5D+C dimensions,0.592,Spearman rank correlation,,,Usual activities and pain/discomfort (highest overall),,,
P00088d2d4963:F4,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Mean EQ VAS score by cognition level,74.5,EQ VAS points,4298 respondents,2.5 months post-injury,Cognition level 1 (no problems),,,95% CI 74.0 to 75.0
P00088d2d4963:F4,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Mean EQ VAS score by cognition level,57.7,EQ VAS points,949 respondents,2.5 months post-injury,Cognition level 2 (moderate problems),,,95% CI 56.5 to 59.0
P00088d2d4963:F4,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Mean EQ VAS score by cognition level,41.1,EQ VAS points,157 respondents,2.5 months post-injury,Cognition level 3 (extreme problems),,,95% CI 37.7 to 44.4
P00088d2d4963:F5,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.173,R-squared,,,Usual activities level 3,,,
P00088d2d4963:F5,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.087,R-squared,,,Cognition level 2,,,
P00088d2d4963:F5,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.062,R-squared,,,Cognition level 3,,,
P00088d2d4963:F5,4,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,-30.5,EQ VAS points (unstandardized b),,,Cognition level 3,Cognition level 1,Decrease,95% CI -33.7 to -27.3
P00088d2d4963:F6,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.456,R-squared,,,EQ-5D-3L five dimensions,,,
P00088d2d4963:F6,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.469,R-squared,,,EQ-5D+C six dimensions,EQ-5D-3L,Increase,
P00088d2d4963:F6,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.487,R-squared,,,EQ-5D+C dimensions plus comorbidity (final model),,,
P00088d2d4963:F7,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.556 to 0.565,R-squared,,,Traumatic brain injury patients,EQ-5D versus EQ-5D+C,Increase of 0.9 percentage points,
