limitation_id,study_id,publication_id,doi,publication_year,primary_research_family,statement,about_ids
P00088d2d4963:L1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,"The follow-up survey was administered 2.5 months post-injury, by which time many injured patients, including those with mild traumatic brain injury, have already recovered from cognitive symptoms.",P00088d2d4963:AD1
P00088d2d4963:L2,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,Respondents were not representative of the patients registered in the surveillance system because severe and less common injuries were deliberately oversampled and young males were less likely to respond.,P00088d2d4963:POP1 | P00088d2d4963:SAM3
P00088d2d4963:L3,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,The EQ VAS was used as a proxy for health-related quality of life and is subject to end-of-scale bias.,P00088d2d4963:IU3
P00088d2d4963:L4,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,"The cognition question was placed immediately after the EQ-5D and before the EQ VAS on the same page, so responses to the original EQ-5D items may have been influenced by the added question and its sequence.",P00088d2d4963:AD1 | P00088d2d4963:IU2
P00088d2d4963:L5,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,MEASUREMENT_PROPERTY_EVALUATION,"Some subgroup analyses of EQ VAS by cognition level were not significant, probably because of small sample sizes for specific profiles.",P00088d2d4963:F4
P0018d6033430:L1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,The study recruited outpatients because cognitively demanding valuation tasks were difficult to conduct with hospitalized patients; prior hospitalization was required to enrich the sample for severe health experience.,
P0018d6033430:L2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,"The literacy requirement could have selectively excluded otherwise eligible participants, especially older patients.",
P0018d6033430:L3,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,The preferences came from patients in Singapore and can differ across countries because of cultural and healthcare-system differences; suitability should be evaluated before use elsewhere.,
P0018d6033430:L4,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,"The study did not assess how heart-disease type, comorbidities, disease duration, treatment, or socioeconomic characteristics affected preferences for health states of different severity.",
P0018d6033430:L5,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,A Singapore general-population EQ-5D-5L value set was not available for comparison at the time of this study.,
P0018d6033430:L6,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,VALUE_SET_DEVELOPMENT,The study did not collect discrete-choice experiment preferences even though the cited EQ-5D-5L valuation protocol requires them.,
P0076e3bd5c99:LIM1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,Single-centre recruitment in Shanghai and the sample's high education and socioeconomic status can limit generalisability.,
P0076e3bd5c99:LIM2,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,"The 2- to 3-week retest interval may have allowed true health changes, which can affect reliability estimates.",
P0076e3bd5c99:LIM3,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,"The stable-health reliability sample included only 65 carers, which can limit generalisability and underestimate true reliability.",
P0076e3bd5c99:LIM4,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,Unmeasured health conditions and financial or social challenges may have confounded the results.,
P0076e3bd5c99:LIM5,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,"Vaccination status was not recorded for children or parents, and most children were unvaccinated, so its effect could not be assessed.",
P0076e3bd5c99:LIM6,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,"The EQ-HWB-S was scored with a United Kingdom value set because no Chinese value set was available, which may disadvantage comparison with EQ-5D-5L scored with a Chinese value set.",
P0076e3bd5c99:LIM7,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,The experimental EQ-HWB-S may be modified in the future.,
P0076e3bd5c99:LIM8,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,MEASUREMENT_PROPERTY_EVALUATION,"When the same caregiver reports the child's health and their own HRQoL, caregiver emotion and burden may bias proxy assessments and spillover estimates.",
P00957738e538:L1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,"The number of participants was limited, although the authors judged it sufficient for statistically significant coefficients.",
P00957738e538:L2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,"The sample represented the Russian population only by age and sex; rural residents were underrepresented, and education, employment, and income quotas were not controlled.",
