person_id,display_name,family_name,given_names,orcid,openalex_id,entity_kind,identity_status,euroqol_member,n_projects_as_pi,n_publications,first_publication_year,last_publication_year
group:author:1e551c2f51c060d7,the ePRO Consortium,Consortium,the ePRO,,,GROUP,PUBLICATION_LOCAL,0,0,1,2020,2020
group:author:26130cd0a2f35765,on Behalf of the CAPACITY-COVID Consortium,Consortium,on Behalf of the CAPACITY-COVID,,,GROUP,PUBLICATION_LOCAL,0,0,1,2022,2022
group:author:33bbe78f50120a31,ESMI and EUROSCA Study groupsReetzKathrinRaponsoMafaldaGonzalesCarlosKoyakBerkanOenderDemetde AlmeidaLuís PereiraSilvaPatrickRibeiroJoana AfonsoThiemeAndreasErdlenbruchFriedrichde VriesJeroenOnyikeChiadikaobiGiuntiPaolaGarcia-MorenoHectorÖzGülinBischoffAlmut Turidvan de WarrenburgBartvan GaalenJudithInfanteJonManriqueLeireSchölsLudgerRiessOlafdu MontcelSophie TezenasBauerPeterGiuntiPaolaCookArronLabrumRobynParkinsonMichael H.DurrAlexandraBriceAlexisCharlesPerrineMarelliCeciliaMariottiCaterinaNanettiLorenzoPanzeriMartaRakowiczMariaSulekAnnaSobanskaAnnaHengelHolgerBalikoLaszloMeleghBelaFillaAlessandroAntenoraAntonellaBercianoJoséTimmannDagmarSzymanskiSandraBoeschSylviaKangJun-SukPadolfoMassimoSchulzJörg B.MolhoSoniaDialloAlhassane,B.MolhoSoniaDialloAlhassane,ESMI and EUROSCA Study groupsReetzKathrinRaponsoMafaldaGonzalesCarlosKoyakBerkanOenderDemetde AlmeidaLuís PereiraSilvaPatrickRibeiroJoana AfonsoThiemeAndreasErdlenbruchFriedrichde VriesJeroenOnyikeChiadikaobiGiuntiPaolaGarcia-MorenoHectorÖzGülinBischoffAlmut Turidvan de WarrenburgBartvan GaalenJudithInfanteJonManriqueLeireSchölsLudgerRiessOlafdu MontcelSophie TezenasBauerPeterGiuntiPaolaCookArronLabrumRobynParkinsonMichael H.DurrAlexandraBriceAlexisCharlesPerrineMarelliCeciliaMariottiCaterinaNanettiLorenzoPanzeriMartaRakowiczMariaSulekAnnaSobanskaAnnaHengelHolgerBalikoLaszloMeleghBelaFillaAlessandroAntenoraAntonellaBercianoJoséTimmannDagmarSzymanskiSandraBoeschSylviaKangJun-SukPadolfoMassimoSchulzJörg,,,GROUP,PUBLICATION_LOCAL,0,0,1,2025,2025
group:author:3af6d1a766f925b6,CAPACITY-COVID Collaborative Consortium,Consortium,CAPACITY-COVID Collaborative,,,GROUP,PUBLICATION_LOCAL,0,0,1,2025,2025
group:author:412455ccd417cc65,on behalf of the CAPACITY-COVID collaborative consortium,consortium,on behalf of the CAPACITY-COVID collaborative,,,GROUP,PUBLICATION_LOCAL,0,0,1,2022,2022
group:author:45bc3c9f5df0b70b,EFACTS Study Group,Group,EFACTS Study,,,GROUP,PUBLICATION_LOCAL,0,0,1,2024,2024
group:author:555b7aac3302f154,Dutch Covid and Thrombosis Coalition & the CAPACITY-COVID collaborative consortium,consortium,Dutch Covid and Thrombosis Coalition & the CAPACITY-COVID collaborative,,,GROUP,PUBLICATION_LOCAL,0,0,1,2025,2025
group:author:6ca18b685d1bb1fe,the CAPACITY-COVID Collaborative Consortium Al-AliAKAl-MuhannaFAAl-WindyNYYAlmubarakYAAlnafieANAlshahraniMAlshehriAMAnthonioRLAsselbergsFWAujayebAten BergJMvan BoxemAJMCapturGCaputoMCharlotteNDarkPDe SutterJDelsingCEDormanHGRDrostJTEmansMEFerreiraJBGabrielLvan GilstWHGroenemeijerBEHaerkens-ArendsHEvan der HarstPHedayatBvan der HeijdenDJHellouEHermanidesRSHermans-van AstJFvan HessenMWJHeymansSRBvan der HorstICCvan IersselSHJewbaliLSKearneyMTvan KesterenHAMBLJHKietselaerKoningAMHKopylovPYKuijperAFMKwakkel-vanErpJMvan der Linden MMJMLinschotenMLinssenGCMRuiz RMaciasMagdelijnsFJHFMACMartensMcCannGPvan der MeerPMeijsMFLMessiaenPMonraatsPSMontagnaLMoriartyAMosterdANieropPRvan Ofwegen-HanekampCEEPintoYMPoorhosseiniHPrasadSRedónJReidingaACRibeiroMIARipleyDPSalahRSaneeiESaxenaMSchaapJDAAMSchellingsSchutAShafieeAShoreACSiebelinkHJvan SmedenMSmitsPCPistersRTessitoreETielemanRGTimmermansPTioRATjongFVYden UilCAVan CraenenbroeckEMHPAAvan VeenVenemanTVerschureDOde VriesJKvan de WalRMAvan de WateringDJWestendorpICDWestendorpPHMWeytjensCWierdaEWilliamsBWoudstraPWuKWZaalRZamanAGvan derZeePM,derZeePM,the CAPACITY-COVID Collaborative Consortium Al-AliAKAl-MuhannaFAAl-WindyNYYAlmubarakYAAlnafieANAlshahraniMAlshehriAMAnthonioRLAsselbergsFWAujayebAten BergJMvan BoxemAJMCapturGCaputoMCharlotteNDarkPDe SutterJDelsingCEDormanHGRDrostJTEmansMEFerreiraJBGabrielLvan GilstWHGroenemeijerBEHaerkens-ArendsHEvan der HarstPHedayatBvan der HeijdenDJHellouEHermanidesRSHermans-van AstJFvan HessenMWJHeymansSRBvan der HorstICCvan IersselSHJewbaliLSKearneyMTvan KesterenHAMBLJHKietselaerKoningAMHKopylovPYKuijperAFMKwakkel-vanErpJMvan der Linden MMJMLinschotenMLinssenGCMRuiz RMaciasMagdelijnsFJHFMACMartensMcCannGPvan der MeerPMeijsMFLMessiaenPMonraatsPSMontagnaLMoriartyAMosterdANieropPRvan Ofwegen-HanekampCEEPintoYMPoorhosseiniHPrasadSRedónJReidingaACRibeiroMIARipleyDPSalahRSaneeiESaxenaMSchaapJDAAMSchellingsSchutAShafieeAShoreACSiebelinkHJvan SmedenMSmitsPCPistersRTessitoreETielemanRGTimmermansPTioRATjongFVYden UilCAVan CraenenbroeckEMHPAAvan VeenVenemanTVerschureDOde VriesJKvan de WalRMAvan de WateringDJWestendorpICDWestendorpPHMWeytjensCWierdaEWilliamsBWoudstraPWuKWZaalRZamanAGvan,,,GROUP,PUBLICATION_LOCAL,0,0,1,2023,2023
group:author:78d2060370a5aea3,The ESMI study group,group,The ESMI study,,,GROUP,PUBLICATION_LOCAL,0,0,2,2023,2024
group:author:85de22641c2a8c1c,CAPACITY-COVID Collaborative ConsortiumAl-AliAKAl-MuhannaFAAl-WindyNYYAlmubarakYAAlnafieANAlshahraniMAlshehriAMAnthonioRLAujayebAten BergJMvan BoxemAJMCapturGCaputoMCharlotteNDarkPDe SutterJDelsingCEDormanHGRDrostJTEmansMEFerreiraJBGabrielLvan GilstWHGroenemeijerBEHaerkens-ArendsHEvan derHarstPHedayatBvan derHeijdenDJHellouEHermanidesRSHermans-van AstJFvan HessenMWJHeymansSRBvan derHorstICCvan IersselSHJewbaliLSKearneyMTvan KesterenHAMBLJHKietselaerKoningAMHKopylovPYKuijperAFMKwakkel-van ErpJMMMJMvan derLindenLinssenGCMMacias RuizRMagdelijnsFJHFMACMartensMcCannGPvan derMeerPMeijsMFLMessiaenPMonraatsPSMontagnaLMoriartyAMosterdANieropPRvan Ofwegen-HanekampCEEPintoYMPoorhosseiniHPrasadSRedónJReidingaACRibeiroMIARipleyDPSalahRSaneeiESaxenaMSchaapJDAAMSchellingsSchutAShafieeAShoreACSiebelinkHJvan SmedenMSmitsPCPistersRTessitoreETielemanRGTioRATjongFVYden UilCAVan CraenenbroeckEMHPAAvan VeenVenemanTVerschureDOde VriesJKvan deWalRMAvan deWateringDJWestendorpICDWestendorpPHMWeytjensCWierdaEWoudstraPKWWuZaalRZamanAGvan derZeePM,derZeePM,CAPACITY-COVID Collaborative ConsortiumAl-AliAKAl-MuhannaFAAl-WindyNYYAlmubarakYAAlnafieANAlshahraniMAlshehriAMAnthonioRLAujayebAten BergJMvan BoxemAJMCapturGCaputoMCharlotteNDarkPDe SutterJDelsingCEDormanHGRDrostJTEmansMEFerreiraJBGabrielLvan GilstWHGroenemeijerBEHaerkens-ArendsHEvan derHarstPHedayatBvan derHeijdenDJHellouEHermanidesRSHermans-van AstJFvan HessenMWJHeymansSRBvan derHorstICCvan IersselSHJewbaliLSKearneyMTvan KesterenHAMBLJHKietselaerKoningAMHKopylovPYKuijperAFMKwakkel-van ErpJMMMJMvan derLindenLinssenGCMMacias RuizRMagdelijnsFJHFMACMartensMcCannGPvan derMeerPMeijsMFLMessiaenPMonraatsPSMontagnaLMoriartyAMosterdANieropPRvan Ofwegen-HanekampCEEPintoYMPoorhosseiniHPrasadSRedónJReidingaACRibeiroMIARipleyDPSalahRSaneeiESaxenaMSchaapJDAAMSchellingsSchutAShafieeAShoreACSiebelinkHJvan SmedenMSmitsPCPistersRTessitoreETielemanRGTioRATjongFVYden UilCAVan CraenenbroeckEMHPAAvan VeenVenemanTVerschureDOde VriesJKvan deWalRMAvan deWateringDJWestendorpICDWestendorpPHMWeytjensCWierdaEWoudstraPKWWuZaalRZamanAGvan,,,GROUP,PUBLICATION_LOCAL,0,0,1,2025,2025
