publication_id,doi,pmid,pmcid,title,publication_year,publication_date,journal,publisher,article_type,open_access,licence_url,canonical_url,full_text_format,euroqol_support,support_scope,project_ids,n_projects,study_ids,primary_research_families,countries,eq_instruments,instruments,n_authors,n_findings,n_limitations,n_products,cited_by_count,citation_match_status,citation_retrieved_at,keywords,funding_statement,abstract
P506f670d0dee,,,,New Methods for Analysing the Distribution of EQ-5D Observations,2018,2018,,,article,0,,https://ideas.repec.org/p/ohe/respap/001984.html,PDF,explicit,"Research grant from the EuroQol Research Foundation funding the project that developed and tested the new distributional methods (HSDI, HSDC, power law functions) for EQ-5D profile data.",2016320,1,P506f670d0dee:S1,METHODS_RESEARCH,United Kingdom,EQ-5D-3L | EQ-5D-5L,EQ-5D-3L | EQ-5D-5L,6,7,4,2,4,EXACT,2026-08-27T00:00:00Z,,,"This paper reports new methods for analysing the distribution of EQ-5D observations. The Health State Density Index and Health State Density Curve are used to summarise the extent to which people's self-reported health on the EQ-5D is concentrated on a few health states, or distributed more evenly over a wide range of health states. This information can be useful in understanding patients' treatment needs, as well as providing a way of comparing the nature of data provided by different patients or collected using different patient-reported outcome measures."
Pd973a2060b41,,,,E-QALY: face validity testing the items for a new generic preference-based measure,2020,2020,Deakin Research Online (Deakin University),,conference-abstract,0,,"http://doi,org/10.1007/s11136-020-02626-y",PDF,explicit,"The Extending the QALY project, including this Stage 3 face validity work in six countries, was funded by the UK MRC and the EuroQol Foundation.",20170660 | 20170670 | 20180010 | 20180060 | 20180080,5,Pd973a2060b41:S1,INSTRUMENT_VERSION_DEVELOPMENT,Australia | China | Germany | United Kingdom | United States,,E-QALY approximately 100-item candidate pool,18,7,0,1,1,EXACT,2026-08-27T00:00:00Z,,,"Carlton J, Connell J, Peasgood T, et al. E-QALY: face validity testing the items for a new generic preference-based measure. &lt;em&gt;Quality of Life Research&lt;/em&gt;. 2020;29(SUPPL 1):S4-S5."
doi:10.1002/alz.089782,10.1002/alz.089782,,,Health‐related Quality of Life in People living with Dementia – Over and Underestimation of Proxy‐ratings,2024,2024,Alzheimer s & Dementia,,article,0,,https://doi.org/10.1002/alz.089782,PDF,none-stated,,1582-RA,1,Pf9b39f8adbf8:S1,MEASUREMENT_PROPERTY_EVALUATION,Germany,EQ-5D-5L,EQ-5D-5L | Mini-Mental State Examination,4,4,0,0,0,EXACT,2026-08-27T00:00:00Z,,,"Abstract Background Proxy ratings primarily provided by informal caregivers are usually administered if patients living with dementia (PlwD) are cognitively unable to rate health independently. The literature is limited by the use of typically agreement statistics, reporting that proxies generally underestimate PlwD health. Additional analyses of self‐ and proxy‐rated discrepancies in individual responses that focus on HRQoL dimensions are lacking. We examined discrepancies between self‐ and proxy‐rated health in PlwD on an individual response level. Method We analyzed baseline data of n = 174 dyads (PlwD and their caregivers) of a cluster‐randomized, controlled intervention trial. HRQoL was assessed with the EQ‐5D‐5L from a self‐ and proxy‐proxy perspective together with sociodemographic and clinical data. The EQ‐5D‐5L consists of five dimensions (“mobility”, “self‐care”, “usual activity”, “pain/discomfort”, “anxiety/depression”), each with five response options. Initially, we calculated agreement statistics (weighted kappa) for each dimension. For individual response levels, we analyzed the degree of inconsistencies between self‐ and proxy ratings ranging from 0 (identical responses in all dimensions) to 5 (different responses in all five dimensions). We grouped the PlwD into “no problems” and “problems” depending on the EQ‐5D‐5L response of each dimensions to compare the response distances between PlwD and caregivers. Result PlwD had a mean age of 80.1 years (49.1% female) with a MMSE mean score of 19.2; informal caregivers were, on average, 67.9 years old (67.8% female). Every third PlwD lived alone. In general, PlwD rated their HRQoL better than proxies (EQ‐5D‐5L indices: 0.75±0.25 vs 0.68±0.23; p&lt;0.01). Nine dyads (5%) showed identical ratings, whereas 95% rated their health differently. Weighted kappa coefficients were lowest for the dimension usual activity (0.23) and highest for pain/discomfort (0.40). Among the grouped PlwD without and with problems, proxies estimated PlwD HRQoL worse (underestimation) or better (overestimation), respectively. This was due to a central‐tendency‐bias of caregivers, two times more frequently selecting mid‐response options, particularly apparent in mobility, usual activities, and self‐care. Conclusion The two trends of contrary response behaviour (over‐ and underestimation &amp; central tendency bias) could be caused by uncertainties of caregivers, underlining the challenge of using both perspectives interchangeably. Further research is needed when using HRQoL measures as proxy instruments."
doi:10.1002/hec.1596,10.1002/hec.1596,,,A uniform time trade off method for states better and worse than dead: feasibility study of the ‘lead time’ approach,2010,2010,Health Economics,,article,0,,https://doi.org/10.1002/hec.1596,PDF,explicit,"EuroQol Foundation funded the lead time TTO feasibility study, including the general public interview data collection in South Yorkshire.",,0,Pf2fb15ee8123:S1,METHODS_RESEARCH,United Kingdom,EQ VAS | EQ-5D-3L,EQ VAS | EQ-5D-3L,4,11,8,1,145,EXACT,2026-08-27T00:00:00Z,,F4320323856,"The way time trade off (TTO) values are elicited for states of health considered 'worse than being dead' has important implications for the mean values used in economic evaluation. Conventional approaches to TTO, as used in the UK's 'MVH' value set, are problematic because they require fundamentally different trade-offs tasks for the valuation of states better and worse than dead. This study aims to refine and test the feasibility of a new approach described by Robinson and Spencer (2006. Health Economics 15: 393-402), and to explore the characteristics of the valuation data it generates. The approach introduces a 'lead time' into the TTO, producing a uniform procedure for generating values either >0 or<0. We used this lead time TTO to value 10 moderate to severe EQ-5D states using a sample of the general public (n=109). We conclude that the approach is feasible for use in valuation studies and appears to overcome the discontinuity in values around 0 evident in conventional methods. However, further research is required to resolve the issue of how to handle participants who 'use up' all lead time; to develop ways of controlling for individual time preferences; and to better understand the implications for valuations of states better than dead."
doi:10.1002/hec.3444,10.1002/hec.3444,,,Transforming Latent Utilities to Health Utilities: East Does Not Meet West,2016,2016,Health Economics,,article,0,,https://doi.org/10.1002/hec.3444,PDF,explicit,EuroQol Research Foundation fast-track research grant #2013180 sponsored this project; EQ-VT valuation datasets from eight countries were shared by EuroQol colleagues.,2013180,1,Pc53dd4adbe97:S1,METHODS_RESEARCH,Canada | China | Japan | Netherlands | South Korea | Spain | Thailand | United Kingdom,,,6,5,5,1,18,EXACT,2026-08-27T00:00:00Z,,F4320334506,"Discrete choice experiments (DCEs) are a promising alternative to more resource-intensive preference elicitation methods such as time trade-off (TTO), as pairwise comparisons are more amenable to online completion, which can save time and money. However, modeling DCE data produces latent utilities which are on an unknown scale. Therefore, latent utilities need to be transformed to a full health-dead scale before they can be used in quality-adjusted life year calculations. We aimed to explore transformation functions from DCE-derived latent utilities to TTO-derived health utilities. We used EQ-5D-5L valuation data from eight different countries that collected both DCE and TTO data by using a standardized protocol. Results found less variation in the function that transformed latent utilities to health utilities in the western countries than in the eastern countries. While a global transformation function is not recommended, results suggest that regional transformation functions could potentially be used to derive health utilities from DCE data. Copyright © 2016 John Wiley & Sons, Ltd."
doi:10.1002/hec.3445,10.1002/hec.3445,27790801,,Are Health State Valuations from the General Public Biased? A Test of Health State Reference Dependency Using Self‐assessed Health and an Efficient Discrete Choice Experiment,2016,2016,Health Economics,,article,0,,https://doi.org/10.1002/hec.3445,PDF,explicit,"The acknowledgements state the work received financial support from the EuroQol Research Foundation; the paper also reports the DCE test of EQ-5D-5L health state reference dependency described in project 2013310 (PI Versteegh, Valuation working group).",2013310,1,P80bae15dd798:S1,METHODS_RESEARCH,Netherlands,EQ-5D-5L,EQ-5D-5L,5,4,2,0,43,EXACT,2026-08-27T00:00:00Z,,F4320321800 | F4320323856 | F4320324594,"Health state valuations of patients and non-patients are not the same, whereas health state values obtained from general population samples are a weighted average of both. The latter constitutes an often-overlooked source of bias. This study investigates the resulting bias and tests for the impact of reference dependency on health state valuations using an efficient discrete choice experiment administered to a Dutch nationally representative sample of 788 respondents. A Bayesian discrete choice experiment design consisting of eight sets of 24 (matched pairwise) choice tasks was developed, with each set providing full identification of the included parameters. Mixed logit models were used to estimate health state preferences with respondents' own health included as an additional predictor. Our results indicate that respondents with impaired health worse than or equal to the health state levels under evaluation have approximately 30% smaller health state decrements. This confirms that reference dependency can be observed in general population samples and affirms the relevance of prospect theory in health state valuations. At the same time, the limited number of respondents with severe health impairments does not appear to bias social tariffs as obtained from general population samples. Copyright © 2016 John Wiley & Sons, Ltd."
doi:10.1002/hec.3560,10.1002/hec.3560,28833854,PMC5836982,New methods for modelling EQ‐5D‐5L value sets: An application to English data,2018,2018-01,Health Economics,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1002/hec.3560,JATS,explicit,EuroQol Research Foundation gave additional funding and technical support for the English EQ-5D-5L valuation study and its value set modelling (EQ-VT protocol and software from the EuroQol Group).,,0,P64c5339b0827:S1,VALUE_SET_DEVELOPMENT,United Kingdom,EQ-5D-5L,EQ-5D-5L,5,6,5,1,80,EXACT,2026-08-27T00:00:00Z,EQ‐5D‐5L | econometric modelling | health utilities | health‐related quality of life | value set,Department of Health Policy Research ProgrammeNational Institute for Health Research PRP 070/0073 | EuroQol Research Foundation,"AbstractValue sets for the EQ‐5D‐5L are required to facilitate its use in estimating quality‐adjusted life years. An international protocol has been developed to guide the collection of stated preference data for this purpose and has been used to generate EQ‐5D‐5L valuation data for England. The aim of this paper is report the innovative methods used for modelling those data to obtain a value set.Nine hundred and ninety‐six members of the English general public completed time trade‐off (TTO) and discrete choice experiment (DCE) tasks. We estimate models, with and without interactions, using DCE data only, TTO data only, and TTO/DCE data combined. TTO data are interpreted as both left and right censored. Heteroskedasticity and preference heterogeneity between individuals are accounted for. We use Bayesian methods in the econometric analysis. The final model is chosen based on the deviance information criterion (DIC).Censoring and taking account of heteroskedasticity have important effects on parameter estimation. For DCE data only, TTO data only, and DCE/TTO data combined, models with parameters for all dimensions and levels perform best, as judged by the DIC. Taking account of heterogeneity improves fit, and the multinomial model reports the lowest DIC. This paper presents approaches that suit observed characteristics of EQ‐5D‐5L valuation data and recognise respondents' preference heterogeneity. The methods described are potentially relevant to other value set studies."
doi:10.1002/hec.3564,10.1002/hec.3564,28833869,PMC6680214,Valuing health‐related quality of life: An EQ‐5D‐5L value set for England,2017,2017-08-22,Health Economics,,research-article,1,http://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1002/hec.3564,JATS,explicit,EuroQol Research Foundation provided additional funding and technical support (EQ-VT software and valuation protocol) for the England EQ-5D-5L valuation study; main funding came from the Department of Health Policy Research Programme.,,0,P7b8a6079aed9:S1,VALUE_SET_DEVELOPMENT,United Kingdom,EQ VAS | EQ-5D-5L,EQ VAS | EQ-5D-5L,5,6,5,1,1416,EXACT,2026-08-27T00:00:00Z,,,"AbstractA new version of the EQ‐5D, the EQ‐5D‐5L, is available. The aim of this study is to produce a value set to support use of EQ‐5D‐5L data in decision‐making.The study design followed an international research protocol. Randomly selected members of the English general public completed 10 time trade‐off and 7 discrete choice experiment tasks in face‐to‐face interviews.A 20‐parameter hybrid model was used to combine time trade‐off and discrete choice experiment data to generate values for the 3,125 EQ‐5D‐5L health states.Valuation data are available for 996 respondents. Face validity of the data has been demonstrated, with more severe health states generally given lower values. Problems with pain/discomfort and anxiety/depression received the greatest weight. Compared to the existing EQ‐5D‐3L value set, there are considerably fewer “worse than dead” states (5.1%, compared with over one third), and the minimum value is higher. Values range from −0.285 (extreme problems on all dimensions) to 0.950 (for health states 11211 and 21111).Results have important implications for users of the EQ‐5D‐5L both in England and internationally. Quality‐adjusted life year gains from interventions seeking to improve very poor health may be smaller using this value set and may previously have been overestimated.Keywords: EQ‐5D‐5L, NICE, PROMs, quality of life, stated preferences"
doi:10.1002/hec.3773,10.1002/hec.3773,29774632,PMC6055741,An exploration of the non‐iterative time trade‐off method to value health states,2018,2018-05-17,Health Economics,,research-article,1,http://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1002/hec.3773,JATS,explicit,"EuroQol Research Foundation funded this study, covering the eight-variant online valuation experiment with 6,618 UK respondents and its quantitative and qualitative analysis.",2015180,1,Pac1310015ab8:S1,METHODS_RESEARCH,United Kingdom,EQ-5D-5L,EQ-5D-5L,5,8,4,0,1,EXACT,2026-08-27T00:00:00Z,,,"AbstractTime Trade‐Off (TTO) usually relies on “iteration,” which is susceptible to bias. Discrete Choice Experiment with duration (or DCETTO) is free of such bias, but respondents find this cognitively more challenging. This paper explores non‐iterative TTO with or without lead time: NI(LT)TTO. In NI(LT)TTO, respondents see a series of independent pairwise choices without iteration (similar to DCETTO), but one of the two scenarios always involves full health for a shorter duration (similar to TTO). We compare three different “types” of NI(LT)TTO relative to DCETTO. Each type is presented in two “modes”: (a) verbally tabulated (as in a DCE) and (b) with visual aids (as in a TTO). The study has 8 survey variants, each with 12 experimental choice tasks and a 13th task with a logically determined answer. Data on the 12 experimental choices from an online survey of 6,618 respondents are modelled, by variant, using conditional logistic regressions. The results indicate that NI(LT)TTO is feasible, but some relatively mild states appear to have implausibly low predicted values, and the range of predicted values is much narrower than in DCETTO. The presentation of NI(LT)TTO tasks needs further improvement.Keywords: exhaustion of lead time, general public health state preferences, iteration bias, online survey, states worse than dead"
doi:10.1002/hec.3846,10.1002/hec.3846,30565338,PMC6590347,"Attribute level overlap (and color coding) can reduce task complexity, improve choice consistency, and decrease the dropout rate in discrete choice experiments",2019,2019-03,Health Economics,,research-article,1,https://creativecommons.org/licenses/by-nc/4.0/,https://doi.org/10.1002/hec.3846,JATS,explicit,EuroQol Research Foundation funded the reported randomized controlled DCE study and its data collection.,2015430,1,Pc2ea2071ca5b:S1,METHODS_RESEARCH,Netherlands,"EQ-5D-5L, Dutch, Netherlands","EQ-5D-5L, Dutch, Netherlands",4,8,4,0,110,EXACT,2026-08-27T00:00:00Z,choice consistency | conjoint analysis | discrete choice experiment | task complexity,EuroQol Research Foundation,"AbstractA randomized controlled discrete choice experiment (DCE) with 3,320 participating respondents was used to investigate the individual and combined impact of level overlap and color coding on task complexity, choice consistency, survey satisfaction scores, and dropout rates. The systematic differences between the study arms allowed for a direct comparison of dropout rates and cognitive debriefing scores and accommodated the quantitative comparison of respondents' choice consistency using a heteroskedastic mixed logit model. Our results indicate that the introduction of level overlap made it significantly easier for respondents to identify the differences and choose between the choice options. As a stand‐alone design strategy, attribute level overlap reduced the dropout rate by 30%, increased the level of choice consistency by 30%, and avoided learning effects in the initial choice tasks of the DCE. The combination of level overlap and color coding was even more effective: It reduced the dropout rate by 40% to 50% and increased the level of choice consistency by more than 60%. Hence, we can recommend attribute level overlap, with color coding to amplify its impact, as a standard design strategy in DCEs."
