product_id,study_id,publication_id,doi,publication_year,product,product_type,status,development_state,validation_state,deployment_state,approval_state,n_scoring_uses
P0018d6033430:PROD1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,Singapore EQ-5D-5L heart-disease patient-preference value set,VALUE_SET,"DEPLOYMENT:Authors recommend the rescaled values for patient-centered economic evaluation, clinical decision making, and HRQoL measurement in patients with heart disease. | DEVELOPMENT:Developed from cTTO values supplied by 576 patients with heart disease using a constrained 20-parameter linear random-effects model with N45 and rescaling. | VALIDATION:Demonstrated known-groups discriminative ability across NYHA, CCS, EQ VAS, and HeartQoL classes in the development sample.",Developed from cTTO values supplied by 576 patients with heart disease using a constrained 20-parameter linear random-effects model with N45 and rescaling.,"Demonstrated known-groups discriminative ability across NYHA, CCS, EQ VAS, and HeartQoL classes in the development sample.","Authors recommend the rescaled values for patient-centered economic evaluation, clinical decision making, and HRQoL measurement in patients with heart disease.",,1
P0076e3bd5c99:PROD1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,EQ-5D-5L or EQ-HWB-S parental carer COVID-19 study dataset,DATASET,"DEPLOYMENT:Openly available in Mendeley Data as version 1, DOI 10.17632/t98vt5yg8v.1",,,"Openly available in Mendeley Data as version 1, DOI 10.17632/t98vt5yg8v.1",,0
P00957738e538:PROD1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,Russian EQ-5D-3L value set (2021),VALUE_SET,"DEVELOPMENT:Completed and reported as the first Russian EQ-5D-3L value set | VALIDATION:Preferred model selected by coefficient significance, logical consistency, goodness of fit, and predictive performance",Completed and reported as the first Russian EQ-5D-3L value set,"Preferred model selected by coefficient significance, logical consistency, goodness of fit, and predictive performance",,,1
P00957738e538:PROD2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,Russian EQ-5D-5L crosswalk value set (2021),MAPPING_FUNCTION,DEVELOPMENT:Completed and supplied as an interim mapped EQ-5D-5L value set | VALIDATION:Crosswalk was not based on Russian paired EQ-5D-3L and EQ-5D-5L responses; possible bias was acknowledged,Completed and supplied as an interim mapped EQ-5D-5L value set,Crosswalk was not based on Russian paired EQ-5D-3L and EQ-5D-5L responses; possible bias was acknowledged,,,1
P02434cacc68a:PR1,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,EQ-HWB-S level summary score scoring approach,SCORING_ALGORITHM,"VALIDATION:Preliminary empirical support; repeat analysis with the current EQ-HWB-S items and broader, multilingual patient samples is required.",,"Preliminary empirical support; repeat analysis with the current EQ-HWB-S items and broader, multilingual patient samples is required.",,,1
P028e859a3a23:PD1,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Slovenian EQ-5D-5L value set,VALUE_SET,"DEPLOYMENT:Recommended for use in population studies, cost-utility studies and health technology assessment in Slovenia and neighbouring countries without their own value set | DEVELOPMENT:Completed: values estimated for all 3125 EQ-5D-5L health states, range -1.090 to 1","Completed: values estimated for all 3125 EQ-5D-5L health states, range -1.090 to 1",,"Recommended for use in population studies, cost-utility studies and health technology assessment in Slovenia and neighbouring countries without their own value set",,0
P03dcc963dc1a:PR1,P03dcc963dc1a:S1,doi:10.5114/aoms.2015.52126,10.5114/aoms.2015.52126,2015,Polish EQ-5D-5L population norms (dimension distributions and index values by age and gender),POPULATION_REFERENCE_DATA,,,,,,0
P04394749b281:PROD1,P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,Mulhern criteria for developing and selecting EQ-5D bolt-ons,CHECKLIST_OR_TOOL,DEVELOPMENT:Developed as a set of 23 guidance criteria,Developed as a set of 23 guidance criteria,,,,0
P04adc98177a2:P1,P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,Norwegian EQ-5D-5L value set,VALUE_SET,DEVELOPMENT:Final weighted EQ-5D-5L value set derived from the selected censored heteroscedastic 8-parameter cTTO-DCE hybrid model without an intercept,Final weighted EQ-5D-5L value set derived from the selected censored heteroscedastic 8-parameter cTTO-DCE hybrid model without an intercept,,,,1
P04adc98177a2:P2,P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,Anonymized Norwegian EQ-5D-5L valuation study raw dataset,DATASET,DEPLOYMENT:Anonymized raw data are publicly available through the MathsInHealth ValuationStudyData GitHub repository,,,Anonymized raw data are publicly available through the MathsInHealth ValuationStudyData GitHub repository,,0
