use_id,study_id,publication_id,doi,publication_year,part_id,use_type,source_label,canonical_label,registry_id,parent_registry_id,parent_label,variant_kind,language_code,jurisdiction,version,respondent_form,context,function,analytic_role
P00088d2d4963:IU1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,CURRENT_STUDY_OBJECT,MEASUREMENT_PROPERTY_TEST_OBJECT,
P00088d2d4963:IU2,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Instrument,EQ-5D cognition bolt-on,EQ-5D cognition bolt-on,instrument:eq-5d-bolton-cognition,,,FORM_VERSION,,,,,CURRENT_STUDY_OBJECT,MEASUREMENT_PROPERTY_TEST_OBJECT,
P00088d2d4963:IU3,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,SOURCE_STUDY_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P00088d2d4963:IU4,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Instrument,EUROCOST injury classification,EUROCOST injury classification,instrument:eurocost-injury-classification,,,,,,,,SOURCE_STUDY_ACTIVITY,PREDICTOR_MEASURE,
P00088d2d4963:MU1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Dimension dominance analysis using level 1 versus level 3 contrast frequencies relative to chance,Dimension dominance analysis using level 1 versus level 3 contrast frequencies relative to chance,method:dimension-dominance-analysis-using-level-1-versus-level-3-contrast-frequencies-relative-to-chance,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P00088d2d4963:MU2,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Spearman's rank correlation,Spearman's rank correlation,method:spearman-rank-correlation,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P00088d2d4963:MU3,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Multivariate regression analysis,Multivariate regression analysis,method:multivariate-regression-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P00088d2d4963:MU4,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Known-groups validity analysis,Known-groups validity analysis,method:known-groups-validity-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P00088d2d4963:MU5,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Stratified sampling of emergency department patients with oversampling of severe and less common injuries,Stratified sampling of emergency department patients with oversampling of severe and less common injuries,method:stratified-sampling-of-emergency-department-patients-with-oversampling-of-severe-and-less-common-injuries,,,,,,,,SOURCE_STUDY_ACTIVITY,SAMPLING,
P00088d2d4963:MU6,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Method,Postal survey,Postal survey,method:postal-survey,,,,,,,,SOURCE_STUDY_ACTIVITY,QUANTITATIVE_DATA_COLLECTION,
