study_id,publication_id,doi,publication_year,study_ordinal,label,primary_research_family,execution_status,source_status,purposes,countries,component_approach,temporal_structure,comparison_structure,allocation_structure,synthesis_design,mixed_method_integration,project_ids,n_parts,n_instrument_uses,n_method_uses,n_findings,n_limitations,n_products
P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,1,Added value of a cognition bolt-on to the EQ-5D-3L in Dutch injury patients (DISS follow-up surveys),MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,INSTRUMENT_DEVELOPMENT | MEASUREMENT_PROPERTY_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,NOT_APPLICABLE,,,2016670,0,4,6,8,5,0
P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,1,EQ-5D-5L valuation based on preferences of patients with heart disease in Singapore,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | MEASUREMENT_PROPERTY_EVALUATION | VALUE_SET_DEVELOPMENT,Singapore,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NOT_APPLICABLE,NOT_APPLICABLE,,20170180,2,7,7,8,6,1
P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,1,Qualitative study of worse-than-death health states in Ghana,HEALTH_PREFERENCE_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,,,234-VS,0,0,2,2,0,0
P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,1,Psychometric comparison of EQ-HWB-S and EQ-5D-5L for parental COVID-19 spillover effects,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,China,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,,NONRANDOMIZED,,,1654-TVG,3,11,12,7,8,1
P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,1,Russian EQ-5D-3L valuation study,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | MAPPING_OR_CROSSWALK | VALUE_SET_DEVELOPMENT,,,,,,,,,2,5,6,7,4,2
P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,1,Targeted review of the origin and conceptual framework of the EQ VAS,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS,,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,NONCOMPARATIVE,NOT_APPLICABLE,NARRATIVE_SYNTHESIS,,329-RA,3,1,5,10,2,0
P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,1,Cognitive debrief of OPUF valuation tasks for the EQ-HWB-S,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,United Kingdom,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,1508-RA,0,3,10,8,4,0
P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,1,Non-parametric item response theory evaluation of EQ-HWB-S level summary scoring,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,Australia | United Kingdom | United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,127-RA,0,3,12,9,6,1
P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,1,Narrative review of myocarditis and pericarditis after COVID-19 mRNA vaccination,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | OUTCOME_DESCRIPTION,Denmark | Netherlands | United Kingdom | United States,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,BETWEEN_CONTEXT,NOT_APPLICABLE,NARRATIVE_SYNTHESIS,,,0,0,2,6,3,0
P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,1,EQ-5D-5L value set for Slovenia based on composite time trade-off data from 1012 adults,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUE_SET_DEVELOPMENT,Slovenia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,RANDOMIZED,NOT_APPLICABLE,,377-VS,0,5,12,9,4,1
