sample_group	final_quota	reserve_rank	record_id	screen_code	screen_reason	title	year	doi	pmid	pmcid	openalex_ids	linked_people	availability_class	oa_status	landing_url	candidate_urls_json	current_graph_overlap	overlap_method	identity_issue	status	format	source_method	source_url	final_url	license	raw_path	bytes	sha256	retrieved_at	attempts_json
boundary-retained	20	2	Pff2e18ec0580	RU	[RU] The review includes glaucoma health-state valuation studies alongside treatment and service preferences, so central relevance is unresolved from the abstract.	Eliciting preferences in glaucoma management—a systematic review of stated-preference studies	2023	10.1038/s41433-023-02482-3		PMC10564796	W4328134619	Brigitte Essers	XML_CANDIDATE	hybrid	https://doi.org/10.1038/s41433-023-02482-3	"[{""url"":""https://www.nature.com/articles/s41433-023-02482-3.pdf"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10564796/pdf/41433_2023_Article_2482.pdf"",""host_type"":""repository"",""license"":""cc-by"",""version"":""submittedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC10564796?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC10564796?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC10564796	cc by	scale/protocol-2.0/fulltext-pilot-v1/documents/Pff2e18ec0580.pdf	882236	38d84ebbcabb0b60a2e6ac3d7aea642001acfb45afc755f60d586ff25dff8f69	2026-08-22T15:55:59.028435+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC10564796?pdf=render"",""error"":""""}]"
boundary-retained	20	3	Pbcc0642a34b1	RU	[RU] It develops a method to select trial outcomes, but whether this outcome-selection approach is in-scope health measurement needs full-text review.	Novel method to select meaningful outcomes for evaluation in clinical trials	2021	10.1136/bmjresp-2021-000877		PMC8499339	W3203060198	Richard Norman	XML_CANDIDATE	gold	https://doi.org/10.1136/bmjresp-2021-000877	"[{""url"":""https://bmjopenrespres.bmj.com/content/bmjresp/8/1/e000877.full.pdf"",""host_type"":""journal"",""license"":""cc-by-nc"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC8499339?pdf=render"",""host_type"":""repository"",""license"":""cc by-nc"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC8499339?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC8499339	cc by-nc	scale/protocol-2.0/fulltext-pilot-v1/documents/Pbcc0642a34b1.pdf	744619	d4197145539c77445a78e42a7b0ae8fc6eeec6b23b11418801233a33b68a7e2c	2026-08-22T15:55:59.028610+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC8499339?pdf=render"",""error"":""""}]"
boundary-retained	20	4	P152946a3db1c	RU	[RU] The study examines interaction between TANDI and EQ-5D health ratings, but the abstract leaves unclear whether its primary contribution is measurement evaluation.	Influence of the child's perceived general health on the primary caregiver's health status.	2018	10.1186/s12955-018-0840-z	29321017	PMC5763523	W2782744966	Janine Verstraete; Jennifer Jelsma	XML_CANDIDATE	gold	https://doi.org/10.1186/s12955-018-0840-z	"[{""url"":""https://hqlo.biomedcentral.com/track/pdf/10.1186/s12955-018-0840-z"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC5763523?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC5763523?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC5763523	cc by	scale/protocol-2.0/fulltext-pilot-v1/documents/P152946a3db1c.pdf	557342	2cb3bb9f98fbc40526c5f95d59ef57c5ed8357b650247cafbd90c337e1fb9c08	2026-08-22T15:55:59.028735+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC5763523?pdf=render"",""error"":""""}]"
boundary-retained	20	5	Pa8e7ac25a290	RU	[RU] The study elicits population concepts of health and their relevance to existing health-status measures, leaving its measurement focus uncertain.	Lay people's evaluations of health: are there variations between different subgroups?	1994	10.1136/jech.48.3.248	8051522	PMC1059954	W2065548973	Claire Gudex	XML_CANDIDATE	bronze	https://doi.org/10.1136/jech.48.3.248	"[{""url"":""https://jech.bmj.com/content/jech/48/3/248.full.pdf"",""host_type"":""journal"",""license"":"""",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC1059954/pdf/jepicomh00198-0032.pdf"",""host_type"":""repository"",""license"":"""",""version"":""submittedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC1059954?pdf=render"",""host_type"":""repository"",""license"":"""",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC1059954?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC1059954		scale/protocol-2.0/fulltext-pilot-v1/documents/Pa8e7ac25a290.pdf	1116449	15744f0878e2920b6b595978165df4536a1258c4d703624de38554520b1b646a	2026-08-22T15:56:00.055118+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC1059954?pdf=render"",""error"":""""}]"
boundary-retained	20	6	P6435bfe97f3b	RU	[RU] The intervention is primary, but the abstract also evaluates which wellbeing instruments best detect change, requiring full-text clarification.	An empowerment intervention for Indigenous communities: an outcome assessment	2015	10.1186/s40359-015-0086-z		PMC4546092	W1946029654	Irina Kinchin	XML_CANDIDATE	gold	https://doi.org/10.1186/s40359-015-0086-z	"[{""url"":""https://bmcpsychology.biomedcentral.com/counter/pdf/10.1186/s40359-015-0086-z"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://researchonline.jcu.edu.au/40206/1/Empowerment_intervention.pdf"",""host_type"":""repository"",""license"":"""",""version"":""submittedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC4546092?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC4546092?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC4546092	cc by	scale/protocol-2.0/fulltext-pilot-v1/documents/P6435bfe97f3b.pdf	457433	a59b65414fee92af0cff891c992072ce74f5fb1895bfd0575fe0ac8c46a0a56a	2026-08-22T15:56:00.055596+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC4546092?pdf=render"",""error"":""""}]"
boundary-retained	20	9	P2dcda0cec7c9	R1	[R1] This review directly examines EQ-5D use as a non-economic clinical outcome assessment endpoint.	A Review of the Use of EQ-5D for Clinical Outcome Assessment in Health Technology Assessment, Regulatory Claims, and Published Literature.	2024	10.1007/s40271-023-00662-7	38085457	PMC11039499	W4389616566	Louise Longworth	XML_CANDIDATE	hybrid	https://doi.org/10.1007/s40271-023-00662-7	"[{""url"":""https://link.springer.com/content/pdf/10.1007/s40271-023-00662-7.pdf"",""host_type"":""journal"",""license"":""other-oa"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11039499/pdf/40271_2023_Article_662.pdf"",""host_type"":""repository"",""license"":""cc-by-nc"",""version"":""submittedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC11039499?pdf=render"",""host_type"":""repository"",""license"":""cc by-nc"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC11039499?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC11039499	cc by-nc	scale/protocol-2.0/fulltext-pilot-v1/documents/P2dcda0cec7c9.pdf	857090	0468030e58508d3675bf6fac24b10c4e5e802b169d522cbdd62b416ef217e0a4	2026-08-22T15:56:01.382784+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC11039499?pdf=render"",""error"":""""}]"
boundary-retained	20	10	P9187609b99d6	R2	[R2] This clinical-study protocol develops and evaluates functional, structural, and patient-reported endpoints for future AMD trials.	Clinical study protocol for a low-interventional study in intermediate age-related macular degeneration developing novel clinical endpoints for interventional clinical trials with a regulatory and patient access intention-MACUSTAR.	2020	10.1186/s13063-020-04595-6	32682441	PMC7368769	W3043154550	Donna Rowen; Jan Henrik Terheyden	XML_CANDIDATE	gold	https://doi.org/10.1186/s13063-020-04595-6	"[{""url"":""https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-020-04595-6"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC7368769?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""},{""url"":""https://trialsjournal.biomedcentral.com/counter/pdf/10.1186/s13063-020-04595-6"",""host_type"":"""",""license"":"""",""version"":"""",""origin"":""screening_metadata""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC7368769?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC7368769	cc by	scale/protocol-2.0/fulltext-pilot-v1/documents/P9187609b99d6.pdf	586294	13e4d1fbe46889b856e006f909edbef3a9501280de222876496917d39ccbb063	2026-08-22T15:56:01.383249+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC7368769?pdf=render"",""error"":""""}]"
boundary-retained	20	11	P068928b2dacd	R1	[R1] The article studies implementation of EQ-5D-5L as a routine outcome measure in rehabilitation services.	Implementation of EQ-5D-5L as a routine outcome measure in Community Outpatient and Specialized Rehabilitation Services	2021	10.1186/s41687-021-00369-z		PMC8511254	W3205232937	Fatima Al Sayah	XML_CANDIDATE	gold	https://doi.org/10.1186/s41687-021-00369-z	"[{""url"":""https://jpro.springeropen.com/track/pdf/10.1186/s41687-021-00369-z"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://ucalgary.scholaris.ca/bitstreams/7280f327-08cd-4a57-bc86-f1eda3af31c8/download"",""host_type"":""repository"",""license"":"""",""version"":""submittedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC8511254?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC8511254?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC8511254	cc by	scale/protocol-2.0/fulltext-pilot-v1/documents/P068928b2dacd.pdf	1063814	1cad9e92715bdeffe7ee3295bc03f2f2382ba5ae850a5bd21a2b1720c8c74add	2026-08-22T15:56:01.383557+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC8511254?pdf=render"",""error"":""""}]"
boundary-retained	20	12	Pf509d6a86cb7	R2	[R2] The protocol’s central aim is to develop a core outcome set and consensus methods for measuring outcomes in cystic-fibrosis exacerbation studies.	Protocol for establishing a core outcome set for evaluation in studies of pulmonary exacerbations in people with cystic fibrosis	2022	10.1136/bmjopen-2021-056528		PMC9511571	W4297253941	Richard Norman	XML_CANDIDATE	gold	https://doi.org/10.1136/bmjopen-2021-056528	"[{""url"":""https://bmjopen.bmj.com/content/bmjopen/12/9/e056528.full.pdf"",""host_type"":""journal"",""license"":""cc-by-nc"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC9511571?pdf=render"",""host_type"":""repository"",""license"":""cc by-nc"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	europe_pmc_pdf	https://europepmc.org/articles/PMC9511571?pdf=render	https://europepmc.org/api/getPdf?pmcid=PMC9511571	cc by-nc	scale/protocol-2.0/fulltext-pilot-v1/documents/Pf509d6a86cb7.pdf	633621	0448fed9fee9a5028fae87e203b8dc03411174b9dc1b5d31a9d53896df70372c	2026-08-22T15:56:01.383895+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC9511571?pdf=render"",""error"":""""}]"
boundary-retained	20	13	P820fee81cd4b	R1	[R1] This study evaluates a new EQ VAS application for assessing the acceptability of health states across ages.	Determinants of the acceptability of health problems in different ages: exploring a new application of the EQ VAS.	2019	10.1007/s10198-019-01060-3	31111401	PMC6544591	W2946281877	Fanni Rencz; Márta Péntek	XML_CANDIDATE	hybrid	https://doi.org/10.1007/s10198-019-01060-3	"[{""url"":""https://link.springer.com/content/pdf/10.1007/s10198-019-01060-3.pdf"",""host_type"":""journal"",""license"":""cc-by"",""version"":""publishedVersion"",""origin"":""openalex""},{""url"":""http://real.mtak.hu/93558/1/Zrubka2019_Article_DeterminantsOfTheAcceptability.pdf"",""host_type"":""repository"",""license"":"""",""version"":""acceptedVersion"",""origin"":""openalex""},{""url"":""http://unipub.lib.uni-corvinus.hu/5295/1/Zrubka2019_Article_DeterminantsOfTheAcceptability.pdf"",""host_type"":""repository"",""license"":"""",""version"":""acceptedVersion"",""origin"":""openalex""},{""url"":""https://europepmc.org/articles/PMC6544591?pdf=render"",""host_type"":""repository"",""license"":""cc by"",""version"":""publishedVersion"",""origin"":""europe_pmc""}]"	0			REUSED	pdf	openalex_pdf	http://real.mtak.hu/93558/1/Zrubka2019_Article_DeterminantsOfTheAcceptability.pdf	https://real.mtak.hu/93558/1/Zrubka2019_Article_DeterminantsOfTheAcceptability.pdf		scale/protocol-2.0/fulltext-pilot-v1/documents/P820fee81cd4b.pdf	608267	2479c73a0c44f037d64f1f61449cf910f2eb826d700093bdfbe0f206285dafcb	2026-08-22T15:56:02.564473+00:00	"[{""method"":""pdf"",""url"":""https://europepmc.org/articles/PMC6544591?pdf=render"",""error"":""HTTPError: 429 Client Error: Too Many Requests for url: https://europepmc.org/api/getPdf?pmcid=PMC6544591""},{""method"":""pdf"",""url"":""http://real.mtak.hu/93558/1/Zrubka2019_Article_DeterminantsOfTheAcceptability.pdf"",""error"":""""}]"
