openalex_id,title,year,publication_date,document_type,document_gate,doi,venue,authors,abstract_status,abstract,funder_id,funder_name,euroqol_award_ids,funding_metadata_signal,requires_fulltext_confirmation,in_pilot_discovery_by_doi,in_pilot_retained_by_doi
W1990166011,Development and preliminary testing of the new five-level version of EQ-5D (EQ-5D-5L),2011,2011-04-09,article,candidate_article,10.1007/s11136-011-9903-x,Quality of Life Research,Michael Herdman; Claire Gudex; Andrew Lloyd; M.H.M. Janssen; Paul Kind; David Parkin; Gouke J. Bonsel; Xavier Badı́a,available,"PURPOSE: This article introduces the new 5-level EQ-5D (EQ-5D-5L) health status measure. METHODS: EQ-5D currently measures health using three levels of severity in five dimensions. A EuroQol Group task force was established to find ways of improving the instrument's sensitivity and reducing ceiling effects by increasing the number of severity levels. The study was performed in the United Kingdom and Spain. Severity labels for 5 levels in each dimension were identified using response scaling. Focus groups were used to investigate the face and content validity of the new versions, including hypothetical health states generated from those versions. RESULTS: Selecting labels at approximately the 25th, 50th, and 75th centiles produced two alternative 5-level versions. Focus group work showed a slight preference for the wording 'slight-moderate-severe' problems, with anchors of 'no problems' and 'unable to do' in the EQ-5D functional dimensions. Similar wording was used in the Pain/Discomfort and Anxiety/Depression dimensions. Hypothetical health states were well understood though participants stressed the need for the internal coherence of health states. CONCLUSIONS: A 5-level version of the EQ-5D has been developed by the EuroQol Group. Further testing is required to determine whether the new version improves sensitivity and reduces ceiling effects.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
W2527824850,"Global, regional, and national incidence, prevalence, and years lived with disability for 310 diseases and injuries, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015",2016,2016-10-01,article,candidate_article,10.1016/s0140-6736(16)31678-6,The Lancet,Theo Vos; Christine A. Allen; Megha Arora; Ryan M Barber; Zulfiqar A Bhutta; Alexandria Brown; Austin Carter; Daniel Casey; Fiona Charlson; Alan Z Chen; Megan Coggeshall; Leslie Cornaby; Lalit Dandona; Daniel Dicker; Tina Dilegge; Holly E Erskine; Alize J Ferrari; Christina Fitzmaurice; Tom Fleming; Mohammad H. Forouzanfar; Nancy Fullman; Peter W. Gething; Ellen M Goldberg; Nicholas Graetz; Juanita A. Haagsma; Simon I Hay; Catherine O. Johnson; Nicholas J Kassebaum; Toana Kawashima; Laura Kemmer; Ibrahim A Khalil; Yohannes Kinfu; Hmwe Hmwe Kyu; Janni Leung; Xiaofeng Liang; Stephen S Lim; Alan D López; Rafael Lozano; Laurie B. Marczak; George A. Mensah; Ali H. Mokdad; Mohsen Naghavi; Grant Nguyen; Elaine O. Nsoesie; Helen Elizabeth Olsen; David M. Pigott; Christine Pinho; Zane Rankin; Nikolas Reinig; Joshua A. Salomon; Logan Sandar; A. Gordon Smith; Jeffrey D Stanaway; Caitlyn Steiner; Stephanie Teeple; Bernadette A Thomas; Christopher Troeger; Joseph A. Wagner; Haidong Wang; Valentine Wanga; Harvey Whiteford; Leo Zoeckler; Amanuel Alemu Abajobir; Kalkidan Hassen Abate; Cristiana Abbafati; Kaja Abbas; Foad Abd-Allah; Biju Abraham; Ibrahim Abubakar; Laith J. Abu‐Raddad; Niveen M. E. Abu-Rmeileh; Ilana N. Ackerman; Akindele O. Adebiyi; Zanfina Ademi; Arsène Kouablan Adou; Kossivi Agbélénko Afanvi; Emilie Agardh; Arnav Agarwal; Ali Kiadaliri; Hamid Ahmadieh; Oluremi N Ajala; Rufus Akinyemi; Nadia Akseer; Ziyad Al‐Aly; Khurshid Alam; Noore Alam; Saleh Fahed Aldhahri; Miguel Angel Alegretti; Zewdie Aderaw Alemu; Lily Alexander; Samia Alhabib; Raghib Ali; Ala’a Alkerwi; François Alla; Peter Allebeck; Rajaa Al‐Raddadi; Ubai Alsharif; Khalid A Altirkawi; Nelson Alvis‐Guzmán; Azmeraw T. Amare,available,"BACKGROUND: Non-fatal outcomes of disease and injury increasingly detract from the ability of the world's population to live in full health, a trend largely attributable to an epidemiological transition in many countries from causes affecting children, to non-communicable diseases (NCDs) more common in adults. For the Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015), we estimated the incidence, prevalence, and years lived with disability for diseases and injuries at the global, regional, and national scale over the period of 1990 to 2015. METHODS: We estimated incidence and prevalence by age, sex, cause, year, and geography with a wide range of updated and standardised analytical procedures. Improvements from GBD 2013 included the addition of new data sources, updates to literature reviews for 85 causes, and the identification and inclusion of additional studies published up to November, 2015, to expand the database used for estimation of non-fatal outcomes to 60 900 unique data sources. Prevalence and incidence by cause and sequelae were determined with DisMod-MR 2.1, an improved version of the DisMod-MR Bayesian meta-regression tool first developed for GBD 2010 and GBD 2013. For some causes, we used alternative modelling strategies where the complexity of the disease was not suited to DisMod-MR 2.1 or where incidence and prevalence needed to be determined from other data. For GBD 2015 we created a summary indicator that combines measures of income per capita, educational attainment, and fertility (the Socio-demographic Index [SDI]) and used it to compare observed patterns of health loss to the expected pattern for countries or locations with similar SDI scores. FINDINGS: We generated 9·3 billion estimates from the various combinations of prevalence, incidence, and YLDs for causes, sequelae, and impairments by age, sex, geography, and year. In 2015, two causes had acute incidences in excess of 1 billion: upper respiratory infections (17·2 billion, 95% uncertainty interval [UI] 15·4-19·2 billion) and diarrhoeal diseases (2·39 billion, 2·30-2·50 billion). Eight causes of chronic disease and injury each affected more than 10% of the world's population in 2015: permanent caries, tension-type headache, iron-deficiency anaemia, age-related and other hearing loss, migraine, genital herpes, refraction and accommodation disorders, and ascariasis. The impairment that affected the greatest number of people in 2015 was anaemia, with 2·36 billion (2·35-2·37 billion) individuals affected. The second and third leading impairments by number of individuals affected were hearing loss and vision loss, respectively. Between 2005 and 2015, there was little change in the leading causes of years lived with disability (YLDs) on a global basis. NCDs accounted for 18 of the leading 20 causes of age-standardised YLDs on a global scale. Where rates were decreasing, the rate of decrease for YLDs was slower than that of years of life lost (YLLs) for nearly every cause included in our analysis. For low SDI geographies, Group 1 causes typically accounted for 20-30% of total disability, largely attributable to nutritional deficiencies, malaria, neglected tropical diseases, HIV/AIDS, and tuberculosis. Lower back and neck pain was the leading global cause of disability in 2015 in most countries. The leading cause was sense organ disorders in 22 countries in Asia and Africa and one in central Latin America; diabetes in four countries in Oceania; HIV/AIDS in three southern sub-Saharan African countries; collective violence and legal intervention in two north African and Middle Eastern countries; iron-deficiency anaemia in Somalia and Venezuela; depression in Uganda; onchoceriasis in Liberia; and other neglected tropical diseases in the Democratic Republic of the Congo. INTERPRETATION: Ageing of the world's population is increasing the number of people living with sequelae of diseases and injuries. Shifts in the epidemiological profile driven by socioeconomic change also contribute to the continued increase in years lived with disability (YLDs) as well as the rate of increase in YLDs. Despite limitations imposed by gaps in data availability and the variable quality of the data available, the standardised and comprehensive approach of the GBD study provides opportunities to examine broad trends, compare those trends between countries or subnational geographies, benchmark against locations at similar stages of development, and gauge the strength or weakness of the estimates available. FUNDING: Bill & Melinda Gates Foundation.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
W2343426002,Valuing health-related quality of life: An EQ-5D-5L value set for England,2017,2017-08-22,article,candidate_article,10.1002/hec.3564,Health Economics,Nancy Devlin; Koonal Shah; Yan Feng; Brendan Mulhern; Ben van Hout,available,"A new version of the EQ-5D, the EQ-5D-5L, is available. The aim of this study is to produce a value set to support use of EQ-5D-5L data in decision-making. The study design followed an international research protocol. Randomly selected members of the English general public completed 10 time trade-off and 7 discrete choice experiment tasks in face-to-face interviews. A 20-parameter hybrid model was used to combine time trade-off and discrete choice experiment data to generate values for the 3,125 EQ-5D-5L health states. Valuation data are available for 996 respondents. Face validity of the data has been demonstrated, with more severe health states generally given lower values. Problems with pain/discomfort and anxiety/depression received the greatest weight. Compared to the existing EQ-5D-3L value set, there are considerably fewer ""worse than dead"" states (5.1%, compared with over one third), and the minimum value is higher. Values range from -0.285 (extreme problems on all dimensions) to 0.950 (for health states 11211 and 21111). Results have important implications for users of the EQ-5D-5L both in England and internationally. Quality-adjusted life year gains from interventions seeking to improve very poor health may be smaller using this value set and may previously have been overestimated.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,1,1
W2587851012,"EQ-5D and the EuroQol Group: Past, Present and Future",2017,2017-02-13,article,candidate_article,10.1007/s40258-017-0310-5,Applied Health Economics and Health Policy,Nancy Devlin; Richard Brooks,available,"Over the period 1987-1991 an inter-disciplinary five-country group developed the EuroQol instrument, a five-dimensional three-level generic measure subsequently termed the 'EQ-5D'. It was designed to measure and value health status. The salient features of its development and its consolidation and expansion are discussed. Initial expansion came, in particular, in the form of new language versions. Their development raised translation and semantic issues, experience with which helped feed into the design of two further instruments, the EQ-5D-5L and the youth version EQ-5D-Y. The expanded usage across clinical programmes, disease and condition areas, population surveys, patient-reported outcomes, and value sets is outlined. Valuation has been of continued relevance for the Group as this has allowed its instruments to be utilised as part of the economic appraisal of health programmes and their incorporation into health technology assessments. The future of the Group is considered in the context of: (1) its scientific strategy, (2) changes in the external environment affecting the demand for EQ-5D, and (3) a variety of issues it is facing in the context of the design of the instrument, its use in health technology assessment, and potential new uses for EQ-5D outside of clinical trials and technology appraisal.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
W3111512677,Psychometric properties of the EQ-5D-5L: a systematic review of the literature,2020,2020-12-07,review,candidate_article,10.1007/s11136-020-02688-y,Quality of Life Research,You‐Shan Feng; Thomas Kohlmann; Mathieu F. Janssen; Ines Buchholz,available,"PURPOSE: Although the EQ-5D has a long history of use in a wide range of populations, the newer five-level version (EQ-5D-5L) has not yet had such extensive experience. This systematic review summarizes the available published scientific evidence on the psychometric properties of the EQ-5D-5L. METHODS: Pre-determined key words and exclusion criteria were used to systematically search publications from 2011 to 2019. Information on study characteristics and psychometric properties were extracted: specifically, EQ-5D-5L distribution (including ceiling and floor), missing values, reliability (test-retest), validity (convergent, known-groups, discriminate) and responsiveness (distribution, anchor-based). EQ-5D-5L index value means, ceiling and correlation coefficients (convergent validity) were pooled across the studies using random-effects models. RESULTS: Of the 889 identified publications, 99 were included for review, representing 32 countries. Musculoskeletal/orthopedic problems and cancer (n = 8 each) were most often studied. Most papers found missing values (17 of 17 papers) and floor effects (43 of 48 papers) to be unproblematic. While the index was found to be reliable (9 of 9 papers), individual dimensions exhibited instability over time. Index values and dimensions demonstrated moderate to strong correlations with global health measures, other multi-attribute utility instruments, physical/functional health, pain, activities of daily living, and clinical/biological measures. The instrument was not correlated with life satisfaction and cognition/communication measures. Responsiveness was addressed by 15 studies, finding moderate effect sizes when confined to studied subgroups with improvements in health. CONCLUSIONS: The EQ-5D-5L exhibits excellent psychometric properties across a broad range of populations, conditions and settings. Rigorous exploration of its responsiveness is needed.",F4320323856,EuroQol Research Foundation,EQ Project 2016170,openalex_funder_relation,1,0,0
W2029997282,Development of the EQ-5D-Y: a child-friendly version of the EQ-5D,2010,2010-04-19,article,candidate_article,10.1007/s11136-010-9648-y,Quality of Life Research,Nora Wille; Xavier Badı́a; Gouke J. Bonsel; Kristina Burström; Giulia Cavrini; Nancy Devlin; Ann‐Charlotte Egmar; Wolfgang Greiner; Narcís Gusi; Michael Herdman; Jennifer Jelsma; Paul Kind; L Scalone; Ulrike Ravens‐Sieberer,available,"PURPOSE: To develop a self-report version of the EQ-5D for younger respondents, named the EQ-5D-Y (Youth); to test its comprehensibility for children and adolescents and to compare results obtained using the standard adult EQ-5D and the EQ-5D-Y. METHODS: An international task force revised the content of EQ-5D and wording to ensure relevance and clarity for young respondents. Children's and adolescents' understanding of the EQ-5D-Y was tested in cognitive interviews after the instrument was translated into German, Italian, Spanish and Swedish. Differences between the EQ-5D and the EQ-5D-Y regarding frequencies of reported problems were investigated in Germany, Spain and South Africa. RESULTS: The content of the EQ-5D dimensions proved to be appropriate for the measurement of HRQOL in young respondents. The wording of the questionnaire had to be adapted which led to small changes in the meaning of some items and answer options. The adapted EQ-5D-Y was satisfactorily understood by children and adolescents in different countries. It was better accepted and proved more feasible than the EQ-5D. The administration of the EQ-5D and of the EQ-5D-Y causes differences in frequencies of reported problems. CONCLUSIONS: The newly developed EQ-5D-Y is a useful tool to measure HRQOL in young people in an age-appropriate manner.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
W2788008365,German Value Set for the EQ-5D-5L,2018,2018-02-19,article,candidate_article,10.1007/s40273-018-0615-8,PharmacoEconomics,Kristina Ludwig; J.﻿-﻿Matthias Graf von der Schulenburg; Wolfgang Greiner,available,"OBJECTIVES: The objective of this study was to develop a value set for EQ-5D-5L based on the societal preferences of the German population. As the first country to do so, the study design used the improved EQ-5D-5L valuation protocol 2.0 developed by the EuroQol Group, including a feedback module as internal validation and a quality control process that was missing in the first wave of EQ-5D-5L valuation studies. METHODS: A representative sample of the general German population (n = 1158) was interviewed using a composite time trade-off and a discrete choice experiment under close quality control. Econometric modeling was used to estimate values for all 3125 possible health states described by EQ-5D-5L. The value set was based on a hybrid model including all available information from the composite time trade-off and discrete choice experiment valuations without any exclusions due to data issues. RESULTS: The final German value set was constructed from a combination of a conditional logit model for the discrete choice experiment data and a censored at -1 Tobit model for the composite time trade-off data, correcting for heteroskedasticity. The value set had logically consistent parameter estimates (p < 0.001 for all coefficients). The predicted EQ-5D-5L index values ranged from -0.661 to 1. CONCLUSIONS: This study provided values for the health states of the German version of EQ-5D-5L representing the preferences of the German population. The study successfully employed for the first time worldwide the improved protocol 2.0. The value set enables the use of the EQ-5D-5L instrument in economic evaluations and in clinical studies.",F4320323856,EuroQol Research Foundation,2012020,openalex_funder_relation,1,0,0
W2064869088,"Feasibility, reliability, and validity of the EQ-5D-Y: results from a multinational study",2010,2010-04-16,article,candidate_article,10.1007/s11136-010-9649-x,Quality of Life Research,Ulrike Ravens‐Sieberer; Nora Wille; Xavier Badı́a; Gouke J. Bonsel; Kristina Burström; Giulia Cavrini; Nancy Devlin; Ann‐Charlotte Egmar; Narcís Gusi; Michael Herdman; Jennifer Jelsma; Paul Kind; Pedro R. Olivares; L Scalone; Wolfgang Greiner,available,"PURPOSE: To examine the feasibility, reliability, and validity of the newly developed EQ-5D-Y. METHODS: The EQ-5D-Y was administered in population samples of children and adolescents in Germany, Italy, South Africa, Spain, and Sweden. Percentages of missing values and reported problems were calculated. Test-retest reliability was determined. Spearman's rank correlation coefficients with other generic measures of HRQOL were calculated. Known groups' validity was examined by comparing groups with a priori expected differences in HRQOL. RESULTS: Between 91 and 100% of the respondents provided valid scorings. Sweden had the lowest proportion of reported problems (1-24.9% across EQ-5D-Y dimensions), with the highest proportions in South Africa (2.8-47.3%) and Italy (4.3-39.0%). Percentages of agreement in test-retest reliability ranged between 69.8 and 99.7% in the EQ-5D-Y dimensions; Kappa coefficients were up to 0.67. Correlation coefficients with other measures of self-rated health indicated convergent validity (up to r = -0.56). Differences between groups classified according to presence of chronic conditions, self-rated overall health and psychological problems provided preliminary evidence of known groups' validity. CONCLUSIONS: Results provide preliminary evidence of the instrument's feasibility, reliability and validity. Further study is required in clinical samples and for possible future applications in economic analyses.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
W2788315630,Is EQ-5D-5L Better Than EQ-5D-3L? A Head-to-Head Comparison of Descriptive Systems and Value Sets from Seven Countries,2018,2018-02-22,article,candidate_article,10.1007/s40273-018-0623-8,PharmacoEconomics,Mathieu F. Janssen; Gouke J. Bonsel; Nan Luo,available,"OBJECTIVE: This study describes the first empirical head-to-head comparison of EQ-5D-3L (3L) and EQ-5D-5L (5L) value sets for multiple countries. METHODS: A large multinational dataset, including 3L and 5L data for eight patient groups and a student cohort, was used to compare 3L versus 5L value sets for Canada, China, England/UK (5L/3L, respectively), Japan, The Netherlands, South Korea and Spain. We used distributional analyses and two methods exploring discriminatory power: relative efficiency as assessed by the F statistic, and an area under the curve for the receiver-operating characteristics approach. Differences in outcomes were explored by separating descriptive system effects from valuation effects, and by exploring distributional location effects. RESULTS: In terms of distributional evenness, efficiency of scale use and the face validity of the resulting distributions, 5L was superior, leading to an increase in sensitivity and precision in health status measurement. When compared with 5L, 3L systematically overestimated health problems and consequently underestimated utilities. This led to bias, i.e. over- or underestimations of discriminatory power. CONCLUSION: We conclude that 5L provides more precise measurement at individual and group levels, both in terms of descriptive system data and utilities. The increased sensitivity and precision of 5L is likely to be generalisable to longitudinal studies, such as in intervention designs. Hence, we recommend the use of the 5L across applications, including economic evaluation, clinical and public health studies. The evaluative framework proved to be useful in assessing preference-based instruments and might be useful for future work in the development of descriptive systems or health classifications.",F4320323856,EuroQol Research Foundation,EQ Project 2016620,openalex_funder_relation,1,0,0
W2945409099,United States Valuation of EQ-5D-5L Health States Using an International Protocol,2019,2019-05-25,article,candidate_article,10.1016/j.jval.2019.02.009,Value in Health,A. Simon Pickard; Ernest H. Law; Ruixuan Jiang; Eleanor Pullenayegum; James W. Shaw; Feng Xie; Mark Oppe; Kristina S. Boye; Richard H. Chapman; Cynthia L. Gong; Alan Balch; Jan J.V. Busschbach,available,"OBJECTIVE: To derive a US-based value set for the EQ-5D-5L questionnaire using an international, standardized protocol developed by the EuroQol Group. METHODS: Respondents from the US adult population were quota-sampled on the basis of age, sex, ethnicity, and race. Trained interviewers guided participants in completing composite time trade-off (cTTO) and discrete choice experiment (DCE) tasks using the EuroQol Valuation Technology software and routine quality control measures. Data were modeled using a Tobit model for cTTO data, a mixed logit model for DCE data, and a hybrid model that combined cTTO and DCE data. Model performance was compared on the basis of logical ordering of coefficients, statistical significance, parsimony, and theoretical considerations. RESULTS: Of 1134 respondents, 1062, 1099, and 1102 respondents provided useable cTTO, DCE, and cTTO or DCE responses, respectively, on the basis of quality control criteria and interviewer judgment. Respondent demographic characteristics and health status were similar to the 2015 US Census. The Tobit model was selected as the preferred model to generate the value set. Values ranged from -0.573 (55 555) to 1 (11 111), with 20% of all predicted health states scores less than 0 (ie, worse than dead). CONCLUSIONS: A societal value set for the EQ-5D-5L was developed that can be used for economic evaluations and decision making in US health systems. The internationally established, standardized protocol used to develop this US-based value set was recommended by the EuroQol Group and can facilitate cross-country comparisons.",F4320323856,EuroQol Research Foundation,,openalex_funder_relation,1,0,0
