record_id,doi,title,metadata_match,openalex_ids,euroqol_award_ids,assessment_status,funding_raw,funding_scope,project_link
Pd3331b7c872d,10.1002/hec.4805,"Exploring health preference heterogeneity in the UK: Using the online elicitation of personal utility functions approach to construct EQ‐5D‐5L value functions on societal, group and individual level",0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P81fe3275ea7f,10.1016/j.jval.2023.12.009,Using the Online Elicitation of Personal Utility Functions Approach to Derive a Patient-Based 5-Level Version of EQ-5D Value Set: A Study in 122 Patients With Rheumatic Diseases From Germany,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P57ec0de21501,10.12688/wellcomeopenres.17518.1,The Online Elicitation of Personal Utility Functions (OPUF) tool: a new method for valuing health states,0,,,assessed,other_funding_only,other_funding_only,none
P371ccbf7c0d5,10.1016/j.jval.2021.03.009,Mapping EQ-5D-3L to EQ-5D-5L.,1,W3160585902,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pe650b362c8a4,10.1016/j.jval.2019.10.013,The EQ-5D-5L Value Set for England: Response to the “Quality Assurance”,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P5a10aa051f45,10.1007/s11136-018-2081-3,Comparison of quality of life measurements: EQ-5D-5L versus disease/treatment-specific measures in pulmonary embolism and deep vein thrombosis,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P25a8a0815f71,10.1007/s10198-018-0993-z,A new method for valuing health: directly eliciting personal utility functions,1,W2883208346,2014170,assessed,explicit_euroqol,study_funding,possible
Pac1310015ab8,10.1002/hec.3773,An exploration of the non‐iterative time trade‐off method to value health states,1,W2801715822,19 June 2015,assessed,explicit_euroqol,study_funding,possible
P13a50c7a151d,10.1007/s40273-018-0628-3,Comparing the UK EQ-5D-3L and English EQ-5D-5L Value Sets,0,,,assessed,explicit_euroqol,related_work_funding,possible
Pea5d7fc0472b,10.1007/s40273-017-0544-y,International Regulations and Recommendations for Utility Data for Health Technology Assessment,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
