review_scope,name,scale_status,next_action,review_reason,resolution_status,chosen_id,additional_profile_ids_held,chosen_name,orcid,affiliation,member_affiliation,total_works,eq_works,alternatives,project_ids,is_member,cached_profile_path
primary_profile,Jeffrey Johnson,needs_review,manually_verify_profile,High-work-count profile: verify identity,ok,A5067514299,,Jeffrey Johnson,0000-0001-8290-2857,Dakota State University,University of Alberta,1277,142,A5068867603=Jeffrey L. Johnson(1 eq); A5056814298=Jeffrey G. Johnson(2 eq); A5016249965=Jeffrey D. Johnson(4 eq),1871-RA;1989-SG;2016500;2016520;20170610;20180170R1;20190690;20190810;216-RA;2257-RA;2553-RA;367-RA;445-RA,1,artefacts/03_works/A5067514299.json
primary_profile,Richard Xu,needs_review,manually_verify_profile,High-work-count profile: verify identity,ok,A5057171540,,Richard Huan Xu,0000-0002-4720-5172,Hong Kong Polytechnic University,The Hong Kong Polytechnic University,143,50,A5101613292=Rui‐Hua Xu(12 eq),1495-RA;1549-RA;1804-RA;1897-RA;2181-RA;2183-RA;2184-RA;2351-BT;2375-RA;2409-RA;444-RA;85-RA,1,artefacts/03_works/A5057171540.json
primary_profile,Samar Farid,needs_review,manually_verify_profile,ambiguous,ambiguous,A5091305227,,Samar Farid,0000-0002-6048-847X,Cairo University,,81,10,A5003458011=Samar M. Farid(1 eq); A5001251189=Samar Farid(5 eq); A5137593163=Samar Farid(2 eq); A5140654507=Samar F. Farid(1 eq),1492-RA;1594-RA;20180130;2063-RA;2145-RA;2341-RA;2402-BT;2492-RA;2522-EO;335-RA;338-EO,0,artefacts/03_works/A5091305227.json
primary_profile,pei wang,needs_review,manually_verify_profile,ambiguous,ambiguous,A5100462615,,Pei Wang,0000-0001-7787-6498,Southwest University,,228,4,A5051368106=Pei Wang(3 eq),1863-RA;20170530;2454-RA;401-RA,0,artefacts/03_works/A5100462615.json
primary_profile,Clement Cheuk Wai Ng,needs_review,manually_verify_profile,ambiguous,ambiguous,A5102680222,,Clement Cheuk Wai Ng,,Chinese University of Hong Kong,,3,3,A5001642847=Charis Wei Ling Ng(2 eq); A5079557144=Clement Cheuk-Wai Ng(1 eq),1691-RA;1703-RA;211-RA,0,artefacts/03_works/A5102680222.json
primary_profile,Jonathan Nazari,needs_review,manually_verify_profile,ambiguous,ambiguous,A5076426425,,Jonathan Nazari,0000-0002-4758-7588,Pfizer (United States),,19,3,A5083342500=Jonathan L. Nazari(2 eq); A5120416926=Jonathan Nazari(1 eq); A5058527781=J Nazari(2 eq); A5137981527=Jonathan L. Nazari(1 eq),2264-EO;2414-RA;2583-EO,0,artefacts/03_works/A5076426425.json
primary_profile,Paul Schneider,needs_review,manually_verify_profile,ambiguous,ambiguous,A5086411644,,Paul M. Schneider,0000-0003-2776-4441,The University of Melbourne,,354,2,A5009816526=Bryan P. Schneider(2 eq); A5028665038=Paul Schneider(1 eq),1508-RA;1596-RA;2582-SG,0,artefacts/03_works/A5086411644.json
primary_profile,yaling Yang,needs_review,manually_verify_profile,Common-name OpenAlex profile appears contaminated,ok,A5008455417,,Yaling Yang,0000-0002-9529-1685,Shanghai Public Health Clinical Center,Oxford University,163,28,A5000074603=Yi Yang(2 eq),1807-RA;2130-PHD;2172-RA,1,artefacts/03_works/A5008455417.json
primary_profile,Jarinne Woudstra-de Jong,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2289-BT;2326-RA,0,
primary_profile,Maresa Buchholz,needs_review,manually_verify_profile,ambiguous,ambiguous,A5061680498,,Maresa Buchholz,0000-0002-4486-8632,Universitätsmedizin Greifswald,,40,16,A5126533651=Maresa Buchholz(8 eq); A5121100821=Maresa Buchholz(1 eq); A5125998044=Maresa Buchholz(1 eq); A5134006794=Maresa Buchholz(1 eq),1582-RA;2057-TVG,0,artefacts/03_works/A5061680498.json
primary_profile,Wojciech Trzebiński,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,1698-RA;2343-RA,0,
primary_profile,Abdulhamid Musa,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,20210010,0,
primary_profile,Afewerki Gebremeskel,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,396-RA,0,
primary_profile,Ahmed Hamdan AlJedai,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,1666-VS,0,
primary_profile,Aysenur Ahsen,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2206-RA,0,
primary_profile,Bosiljka Djikanovic,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2128-VS,0,
primary_profile,Carrie-Anne Ng,needs_review,manually_verify_profile,ambiguous,ambiguous,A5035818265,,Carrie‐Anne Ng,0000-0001-9326-8492,University of Technology Sydney,,23,5,A5135197841=Carrie-Anne Ng(2 eq),2157-RA,0,artefacts/03_works/A5035818265.json
primary_profile,Chris Flood,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2005-SG,0,
