name,scale_status,next_action,review_reason,resolution_status,chosen_id,additional_profile_ids_held,chosen_name,orcid,affiliation,member_affiliation,total_works,eq_works,alternatives,project_ids,is_member,cached_profile_path
Jeffrey Johnson,needs_review,manually_verify_profile,High-work-count profile: verify identity,ok,A5067514299,,Jeffrey Johnson,0000-0001-8290-2857,Dakota State University,University of Alberta,1277,142,A5068867603=Jeffrey L. Johnson(1 eq); A5056814298=Jeffrey G. Johnson(2 eq); A5016249965=Jeffrey D. Johnson(4 eq),1871-RA;1989-SG;2016500;2016520;20170610;20180170R1;20190690;20190810;216-RA;2257-RA;2553-RA;367-RA;445-RA,1,artefacts/03_works/A5067514299.json
Richard Xu,needs_review,manually_verify_profile,High-work-count profile: verify identity,ok,A5057171540,,Richard Huan Xu,0000-0002-4720-5172,Hong Kong Polytechnic University,The Hong Kong Polytechnic University,143,50,A5101613292=Rui‐Hua Xu(12 eq),1495-RA;1549-RA;1804-RA;1897-RA;2181-RA;2183-RA;2184-RA;2351-BT;2375-RA;2409-RA;444-RA;85-RA,1,artefacts/03_works/A5057171540.json
Samar Farid,needs_review,manually_verify_profile,ambiguous,ambiguous,A5091305227,,Samar Farid,0000-0002-6048-847X,Cairo University,,81,10,A5003458011=Samar M. Farid(1 eq); A5001251189=Samar Farid(5 eq); A5137593163=Samar Farid(2 eq); A5140654507=Samar F. Farid(1 eq),1492-RA;1594-RA;20180130;2063-RA;2145-RA;2341-RA;2402-BT;2492-RA;2522-EO;335-RA;338-EO,0,artefacts/03_works/A5091305227.json
pei wang,needs_review,manually_verify_profile,ambiguous,ambiguous,A5100462615,,Pei Wang,0000-0001-7787-6498,Southwest University,,228,4,A5051368106=Pei Wang(3 eq),1863-RA;20170530;2454-RA;401-RA,0,artefacts/03_works/A5100462615.json
Clement Cheuk Wai Ng,needs_review,manually_verify_profile,ambiguous,ambiguous,A5102680222,,Clement Cheuk Wai Ng,,Chinese University of Hong Kong,,3,3,A5001642847=Charis Wei Ling Ng(2 eq); A5079557144=Clement Cheuk-Wai Ng(1 eq),1691-RA;1703-RA;211-RA,0,artefacts/03_works/A5102680222.json
Jonathan Nazari,needs_review,manually_verify_profile,ambiguous,ambiguous,A5076426425,,Jonathan Nazari,0000-0002-4758-7588,Pfizer (United States),,19,3,A5083342500=Jonathan L. Nazari(2 eq); A5120416926=Jonathan Nazari(1 eq); A5058527781=J Nazari(2 eq); A5137981527=Jonathan L. Nazari(1 eq),2264-EO;2414-RA;2583-EO,0,artefacts/03_works/A5076426425.json
Paul Schneider,needs_review,manually_verify_profile,ambiguous,ambiguous,A5086411644,,Paul M. Schneider,0000-0003-2776-4441,The University of Melbourne,,354,2,A5009816526=Bryan P. Schneider(2 eq); A5028665038=Paul Schneider(1 eq),1508-RA;1596-RA;2582-SG,0,artefacts/03_works/A5086411644.json
yaling Yang,needs_review,manually_verify_profile,Common-name OpenAlex profile appears contaminated,ok,A5008455417,,Yaling Yang,0000-0002-9529-1685,Shanghai Public Health Clinical Center,Oxford University,163,28,A5000074603=Yi Yang(2 eq),1807-RA;2130-PHD;2172-RA,1,artefacts/03_works/A5008455417.json
Jarinne Woudstra-de Jong,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2289-BT;2326-RA,0,
Maresa Buchholz,needs_review,manually_verify_profile,ambiguous,ambiguous,A5061680498,,Maresa Buchholz,0000-0002-4486-8632,Universitätsmedizin Greifswald,,40,16,A5126533651=Maresa Buchholz(8 eq); A5121100821=Maresa Buchholz(1 eq); A5125998044=Maresa Buchholz(1 eq); A5134006794=Maresa Buchholz(1 eq),1582-RA;2057-TVG,0,artefacts/03_works/A5061680498.json
Wojciech Trzebiński,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,1698-RA;2343-RA,0,
Abdulhamid Musa,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,20210010,0,
Afewerki Gebremeskel,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,396-RA,0,
Ahmed Hamdan AlJedai,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,1666-VS,0,
Aysenur Ahsen,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2206-RA,0,
Bosiljka Djikanovic,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2128-VS,0,
Carrie-Anne Ng,needs_review,manually_verify_profile,ambiguous,ambiguous,A5035818265,,Carrie‐Anne Ng,0000-0001-9326-8492,University of Technology Sydney,,23,5,A5135197841=Carrie-Anne Ng(2 eq),2157-RA,0,artefacts/03_works/A5035818265.json
Chris Flood,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2005-SG,0,
Cristina Guttierez,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,20180290,0,
Daliya Kaskirbayeva,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2013-RA,0,
Edwine Barasa,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2233-VS,0,
Elizabeth Tompkins,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,1572-RA,0,
Emma Pleeging,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2186-RA,0,
Esther de Bekker-Grob,needs_review,manually_verify_profile,weak_via_works,weak_via_works,A5007711014,,Esther W. de Bekker‐Grob,0000-0001-7645-6168,Erasmus University Rotterdam,,202,4,,2095-EO,0,artefacts/03_works/A5007711014.json
Felix Masiye,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2238-VS,0,
Frank De Charro,needs_review,manually_verify_profile,OpenAlex profile also assigned to Rosalind de Charro,ok,A5080909830,,Frank de Charro,0000-0002-5280-5551,,,64,18,A5111927574=Frank T. de Charro(1 eq),2013080,1,artefacts/03_works/A5080909830.json
Gordon Liu,needs_review,manually_verify_profile,ambiguous,ambiguous,A5074307362,,Gordon G. Liu,0000-0002-4339-2644,Peking University,,171,8,A5064540278=Gordon Liu(4 eq),2012010,0,artefacts/03_works/A5074307362.json
Hajer Falfel,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,20190040,0,
Hoang Van Mi,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,20170220,0,
Julia Fox-Rushby,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2109-RA,0,
Lyazzat Kosherbayeva,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2232-VS,0,
Meles Tekie,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,223-RA,0,
Merhawit Gerezgiher,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,1490-RA,0,
Nadine Zawadzkli,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,140-RA,0,
Nicholas Smeele,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2320-TR,0,
Norma Bulamu,needs_review,find_and_verify_profile,not_found,not_found,,,,,,,,,,2205-RA,0,
Priyanka Banik,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2530-RA,0,
Raf Van Gestel,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,1672-SG,0,
Rini Noviyani,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2598-RA,0,
Sandjar Djalalov,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,59-VS,0,
Sesil Lim,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,20180420,0,
Sofia Vallejo,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,2517-RA,0,
Teresa Bago d'Uva,needs_review,find_and_verify_profile,unresolved,unresolved,,,,,,,,,,1463-PHD,0,
Johannes Clouth,needs_review,manually_verify_profile,ambiguous,ambiguous,A5029021088,,Johannes Clouth,0000-0001-8941-6739,Eli Lilly (Germany),Retired,52,4,A5004580198=Felix J. Clouth(4 eq),,1,
Rosalind de Charro,needs_review,manually_verify_profile,OpenAlex profile also assigned to Frank De Charro,ok_via_works,A5080909830,,Frank de Charro,0000-0002-5280-5551,,,,4,,,1,artefacts/03_works/A5080909830.json
Nan Luo,ready,use_cached_profile,,ok,A5064398143,,Nan Luo,0000-0001-7980-6979,National University of Singapore,National University of Singapore,477,263,,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA,1,artefacts/03_works/A5064398143.json
Feng Xie,ready,use_cached_profile,,ok,A5102994482,A5015716999,Feng Xie,0000-0003-3454-6266,Qingdao University,McMaster University,385,110,A5015716999=Feng Xie(36 eq),137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD,1,artefacts/03_works/A5102994482.json
Zhihao Yang,ready,use_cached_profile,,ok,A5028809099,A5051597671,Zhihao Yang,0000-0001-5468-0847,Guiyang Medical University,Guizhou Medical University,108,76,A5051597671=Zhihao Yang(5 eq); A5103097710=Zhihao Yang(1 eq),1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA,1,artefacts/03_works/A5028809099.json
Nancy Devlin,ready,use_cached_profile,,ok,A5103206776,A5108295899,Nancy Devlin,0000-0002-1561-5361,The University of Melbourne,University of Melbourne,380,198,A5029151069=Nancy Devlin(1 eq); A5108295899=Nancy Devlin(4 eq),1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA,1,artefacts/03_works/A5103206776.json
Marcel Jonker,ready,use_cached_profile,,ok,A5063358434,,Marcel F. Jonker,0000-0001-8433-1402,Erasmus University Rotterdam,,61,11,,1413-RA;1484-RA;1489-RA;1611-RA;1612-RA;163-RA;1679-RA;1693-RA;1695-RA;1919-RA;20180320;20190170;20191070;20191180;2178-RA;2204-RA;356-PHD;415-RA,1,artefacts/03_works/A5063358434.json
Juanita Haagsma,ready,use_cached_profile,,ok,A5060133399,,Juanita A. Haagsma,0000-0002-2055-548X,Erasmus MC,Erasmus MC,360,94,A5108136368=Juanita A. Haagsma(1 eq); A5108548502=J Haagsma(1 eq); A5114155705=J A Haagsma(1 eq),141-RA;1498-PHD;151-RA;1604-RA;1954-RA;20180330;20180380;20180630;20190120;2159-RA;2426-PHD;243-RA;2456-BT;315-RA;420-RA;460-RA;77-RA,1,artefacts/03_works/A5060133399.json
