batch_id,record_id,outcome,code,reason,year,linked_people,title
batch-0001,P0050f4bb865f,exclude,E4,"[E4] This proposes a policy framework for coastal cancer inequalities, not health measurement or valuation research.",2026,Katie Spencer,Coastal Cancer Care: A Blueprint to address the unmet needs through place-based research and policy approaches
batch-0001,P02195cb9b229,exclude,E1,"[E1] PROMIS HRQoL is a postoperative clinical outcome after colectomy, not the study's research object.",2026,Ilan Koppen,Patient reported outcomes after subtotal colectomy in pediatric therapy-resistant constipation: A combined retrospective and cross-sectional study
batch-0001,P02f0b4e7f850,exclude,E1,[E1] The qualitative framework describes hypoglycaemia impacts on quality of life rather than developing or evaluating a measure.,2026,Jill Carlton; Philip Powell,'There is more to life than HbA1c': A comprehensive qualitative framework from the Hypo-RESOLVE project evidencing the impacts of hypoglycaemia on the quality of life of adults living with type 1 or type 2 diabetes.
batch-0001,P031eed2f2698,exclude,E4,"[E4] This bibliometric analysis maps rural cancer research and policy gaps, not measurement or valuation.",2026,Katie Spencer,"Rural cancer research activity across Europe: A bibliometric analysis on patterns, gaps and policy implications"
batch-0001,P03a46ae3b0da,exclude,E1,[E1] EQ-5D-5L utilities estimate Parkinson symptom burden for economic models and are not the primary research object.,2026,Hannah Penton; Maja Kuharic,Burden and disutility of sleep disturbance and early morning OFF symptoms in people with advancing Parkinson’s disease: a vignette-based approach using the EQ-5D-5L
batch-0001,P03c10a0b70c0,exclude,E4,"[E4] Conjoint analysis examines clinicians' ECMO weaning decisions, a clinical decision-support topic outside measurement and valuation.",2026,Janine van Til,Guiding complexity in V-A ECMO weaning decisions for cardiogenic shock
batch-0001,P03d6aa05638e,exclude,E4,"[E4] This examines awareness, use, and preferences for campus mental-health services rather than a health measure or valuation method.",2026,Jermaine Dambi,"Awareness, utility and preferences of campus-based mental health services at tertiary institutions in Harare, Zimbabwe: A cross-sectional study."
batch-0001,P05e5d6fe8a0a,exclude,E2,[E2] This cost-utility and budget-impact model uses QALYs to evaluate secukinumab rather than studying measurement or valuation.,2026,Piyameth Dilokthornsakul,Economic Evaluation and Budget Impact Analysis of Secukinumab as a Second-Line Treatment Among Patients With Psoriatic Arthritis Who Were Tumor Necrosis Factor Inadequate Responders in Thailand
batch-0001,P05fda76aa727,exclude,E4,"[E4] This cohort study evaluates diabetes-associated complications, mortality, and costs after hip fracture.",2026,Carlos Wong,Type 2 Diabetes Is Associated With Increased Complications and Mortality After Hip Fracture in Older Adults Aged 60 Years or Older.
batch-0001,P063a3d1cd431,exclude,E4,[E4] This qualitative study concerns patient and parent treatment preferences and shared IBD management decisions.,2026,Deborah Marshall,Child and parent perspectives in IBD management: a literature review and qualitative study.
