batch_id,record_id,outcome,code,reason,year,linked_people,title
batch-0001,P0366b5734a4e,retain,R1,[R1] The study compares methods for valuing EQ-5D-5L health states expanded with vision and cognition bolt-ons.,2026,Kim Rand,Valuation of EQ-5D-5L With 2 Bolt-On Items: Further Evaluation of the Scaling Factor Model
batch-0001,P041151026771,retain,R2,[R2] The person trade-off study directly investigates societal weights for child and adolescent QALY health gains.,2026,Cate Bailey; Koonal Shah; Nancy Devlin; Richard Norman; Rosalie Viney; Tessa Peasgood,Are Health Gains to Children and Adolescents More Important Than Health Gains to Adults? A Person Trade-Off Study.
batch-0001,P05c40a4eca1e,retain,R2,[R2] This develops and psychometrically validates the new Eating Behavior and Appetite Questionnaire.,2026,Kristina Secnik Boye,Psychometric Validation of the Eating Behavior and Appetite Questionnaire (EBAQ) for Individuals with Obesity or Overweight.
batch-0001,P06049c3772b6,retain,R2,[R2] This culturally adapts the Kiddy-KINDL HRQoL questionnaire and evaluates its content validity.,2026,Ulrike Ravens-Sieberer,A cross-cultural adaptation and content validity assessment of the Czech Version Kiddy-KINDL Questionnaire
batch-0001,P0832ff420d70,retain,R2,[R2] The review's stated aim is to appraise measurement properties of malocclusion patient-reported outcome measures.,2026,Tomos Robinson,Patient-reported outcome measures in children and adolescents with malocclusion: a systematic review using COSMIN guidelines
batch-0002,P0c47cd4a93bc,retain,R1,[R1] This EQ-5D-3L valuation-study analysis examines factors associated with cTTO health-state valuations under the EuroQol protocol.,2026,Abeer Al Rabayah; Fatima Al Sayah,Factors associated with health state valuations: a secondary analysis of an EQ-5D-3L valuation study from Jordan.
batch-0002,P0e008af1d7b0,retain,R2,[R2] The study directly evaluates responsiveness and individual-level change properties of fatigue patient-reported measures.,2026,Maja Kuharic,"Measuring group‑ and individual‑level change of FACIT- fatigue, NFLymSI-18 and PROMIS fatigue measures (4a, 7a and 13a) in lymphoma."
batch-0002,P133e55e53d10,retain,R1,"[R1] This qualitative study assesses wording, content validity, and conceptual coverage of the EuroQol EQ-TIPS instrument.",2026,Janine Verstraete; Kim Dalziel; Nancy Devlin,Developing the EuroQol toddler and infant populations (EQ-TIPS) instrument: qualitative analysis of expert views on content validity and conceptual challenges.
batch-0002,P1780f2a43ab5,retain,R2,[R2] The study develops a patient-informed conceptual model of BKV-related HRQoL to underpin future patient-reported measurement.,2026,Maja Kuharic,Development of a conceptual model of BKV impacts on health-related quality of life in kidney transplant recipients: a qualitative study.
batch-0003,P197cf1f57e96,retain,R2,[R2] The review evaluates collaborative engagement practices in health-state valuation and develops a framework to improve valuation research.,2026,Janine Verstraete; Jill Carlton; Michael Herdman; Nancy Devlin; Philip Powell; Simone Schieskow,Improving Collaborative Engagement in Health State Valuation: A Scoping Review of Current Practices and Emerging Recommendations.
batch-0003,P1a0015e41d2a,retain,R1,[R1] This qualitative study investigates how interviewer administration of EQ-5D-3L affects data collection and response quality.,2026,Tianxin Pan,Challenges with interviewer administration of EQ-5D questionnaires in a large-scale population survey in China: a qualitative analysis.
batch-0003,P1ad2348216b2,retain,R2,[R2] The study develops and psychometrically validates the QID-12 quality-of-life proxy-report measure.,2026,Jenny Downs,From QI-disability to QID-12: creating a brief proxy-report measure of quality of life for children with intellectual disability.
batch-0003,P1d7c40602e83,retain,R2,[R2] The study evaluates response processes and feasibility of capability and health-focused quality-of-life measures in dementia.,2026,Irina Kinchin,Self-reporting quality of life in mild-to-moderate Alzheimer's disease and Lewy body dementia: Comparing capability and health-focused measures using response process validation
batch-0003,P1d8b85eefffe,retain,R1,[R1] This study evaluates validity and added contribution of EQ-5D-5L breathing and cognition bolt-on items.,2026,Knut Stavem,Validity of EQ-5D-5L breathing and cognition bolt-ons in non-hospitalized patients after COVID-19.
batch-0003,P1de4bedca39b,retain,R2,[R2] This survey directly examines current practices and needs in measuring and valuing HRQoL evidence for HTA.,2026,Annushiah Vasan Thakumar; Dominik Golicki; Fredrick Purba; Kim Rand; Louise Longworth; Paula Lorgelly; Rosalie Viney,What do HTA agencies need for generating health-related quality of life evidence? Findings from a global survey.
batch-0003,P1e55a7c2b347,retain,R2,[R2] This protocol centrally appraises the psychometric properties and utility of the Hope Index measurement instrument.,2026,Jermaine Dambi,An evaluation of psychometric properties and utility of the Hope Index (HI): a systematic review and meta-analysis protocol.
batch-0003,P1f6b4b43f6fa,retain,R1,[R1] This study develops and tests a nonlinear DCE approach for valuing EQ-5D-Y-5L health states.,2026,Bram Roudijk; Brendan Mulhern; Deborah Street; Richard Norman; Rosalie Viney,Valuation of the EQ-5D-Y-5L Using DCE Methods That Account for Nonlinear Time Preferences.
batch-0003,P208a51a07196,retain,R2,[R2] This study develops and content-validates the CID-OR communication measurement instrument.,2026,Jenny Downs,Content Validation of the Communication Inventory Disability-Observer Reported (CID-OR).
